Sales per Person,Region,Store Name,Sales Person,Percent of Store Sales,Sale Value
29749.2546,East,Lewisham,ML,26,114420.21
24028.2441,East,Lewisham,PR,21,114420.21
19451.4357,East,Lewisham,JK,17,114420.21
22388.8959,East,Dulwich,CA,21,106613.79
15992.0685,East,Dulwich,JM,15,106613.79
12793.6548,East,Dulwich,TP,12,106613.79
39349.08,East,Shoreditch,JA,40,98372.7
14755.905,East,Shoreditch,OF,15,98372.7
8853.543,East,Shoreditch,TF,9,98372.7
15097.8352,West,Wimbledon,YP,14,107841.68
14019.4184,West,Wimbledon,FS,13,107841.68
10784.168,West,Wimbledon,FH,10,107841.68
22221.5775,West,Chelsea,JS,25,88886.31
10666.3572,West,Chelsea,JJ,12,88886.31
8888.631,West,Chelsea,PA,10,88886.31
36628.039,West,Notting Hill,AA,37,98994.700000000
23758.728,West,Notting Hill,DD,24,98994.700000000
18808.993,West,Notting Hill,RW,19,98994.700000000
