Sales Person,Percent of Store Sales,Region,Store Name,Sale Value,Sales per Person
ML,26,East,Lewisham,114420.21,29749.2546
PR,21,East,Lewisham,114420.21,24028.2441
JK,17,East,Lewisham,114420.21,19451.4357
CA,21,East,Dulwich,106613.79,22388.8959
JM,15,East,Dulwich,106613.79,15992.0685
TP,12,East,Dulwich,106613.79,12793.6548
JA,40,East,Shoreditch,98372.7,39349.08
OF,15,East,Shoreditch,98372.7,14755.905
TF,9,East,Shoreditch,98372.7,8853.543
YP,14,West,Wimbledon,107841.68000000001,15097.8352
FS,13,West,Wimbledon,107841.68000000001,14019.4184
FH,10,West,Wimbledon,107841.68000000001,10784.168
JS,25,West,Chelsea,88886.31,22221.5775
JJ,12,West,Chelsea,88886.31,10666.3572
PA,10,West,Chelsea,88886.31,8888.631
AA,37,West,Notting Hill,98994.7,36628.039
DD,24,West,Notting Hill,98994.7,23758.728
RW,19,West,Notting Hill,98994.7,18808.993000000002
