Monthly Payment Date,Store,Capital Outstanding Total,Remaining Capital to Repay
10/02/2040,Lewisham,189605,60100
10/05/2035,Lewisham,300470,111400
10/05/2024,Lewisham,557210,230200
10/06/2049,Wimbledon,12465,12465
10/05/2043,Wimbledon,113750,88750
10/03/2040,Wimbledon,187660,128460
10/07/2045,Lewisham,63180,1600
10/10/2034,Lewisham,314085,117700
10/08/2027,Wimbledon,481355,286255
10/06/2041,Wimbledon,158485,112785
10/07/2025,Lewisham,529980,217600
10/08/2049,Wimbledon,10375,10375
10/05/2041,Lewisham,160430,46600
10/12/2035,Lewisham,286855,105100
10/10/2049,Wimbledon,8285,8285
10/05/2049,Wimbledon,13510,13510
10/11/2030,Wimbledon,405500,245500
10/04/2031,Wimbledon,395775,240275
10/05/2046,Wimbledon,51130,51130
10/11/2033,Lewisham,335480,127600
10/09/2038,Wimbledon,222670,147270
10/01/2036,Lewisham,284910,104200
10/01/2045,Wimbledon,74850,67850
10/12/2036,Lewisham,263515,94300
10/04/2030,Lewisham,419115,166300
10/07/2039,Lewisham,203220,66400
10/10/2029,Wimbledon,430785,259085
10/02/2029,Lewisham,446345,178900
10/10/2031,Lewisham,384105,150100
10/05/2034,Lewisham,323810,122200
10/10/2028,Wimbledon,454125,271625
10/08/2044,Wimbledon,84575,73075
10/10/2022,Wimbledon,594165,346865
10/12/2042,Lewisham,123475,29500
10/10/2038,Wimbledon,220725,146225
10/01/2037,Lewisham,261570,93400
10/01/2047,Wimbledon,42770,42770
10/11/2031,Wimbledon,382160,232960
10/04/2045,Wimbledon,69015,64715
10/07/2042,Wimbledon,133200,99200
10/12/2034,Lewisham,310195,115900
10/01/2026,Wimbledon,518310,306110
10/06/2038,Lewisham,228505,78100
10/06/2044,Wimbledon,88465,75165
10/01/2039,Lewisham,214890,71800
10/08/2031,Lewisham,387995,151900
10/10/2028,Lewisham,454125,182500
10/03/2041,Wimbledon,164320,115920
10/05/2026,Lewisham,510530,208600
10/08/2022,Wimbledon,598055,348955
10/01/2024,Lewisham,564990,233800
10/07/2035,Wimbledon,296580,186980
10/09/2041,Lewisham,152650,43000
10/02/2035,Wimbledon,306305,192205
10/10/2045,Wimbledon,58445,58445
10/04/2041,Lewisham,162375,47500
10/03/2029,Wimbledon,444400,266400
10/12/2043,Lewisham,100135,18700
10/05/2024,Wimbledon,557210,327010
10/05/2025,Lewisham,533870,219400
10/12/2029,Lewisham,426895,169900
10/02/2030,Wimbledon,423005,254905
10/07/2044,Lewisham,86520,12400
10/08/2029,Wimbledon,434675,261175
10/05/2033,Wimbledon,347150,214150
10/05/2043,Lewisham,113750,25000
10/03/2031,Lewisham,397720,156400
10/06/2026,Lewisham,508585,207700
10/07/2036,Lewisham,273240,98800
10/07/2043,Lewisham,109860,23200
10/11/2030,Lewisham,405500,160000
10/04/2039,Wimbledon,209055,139955
10/09/2027,Lewisham,479410,194200
10/02/2036,Lewisham,282965,103300
10/05/2031,Wimbledon,393830,239230
10/03/2038,Wimbledon,234340,153540
10/09/2029,Wimbledon,432730,260130
10/12/2036,Wimbledon,263515,169215
10/03/2042,Lewisham,140980,37600
10/01/2037,Wimbledon,261570,168170
10/02/2034,Lewisham,329645,124900
10/06/2023,Wimbledon,578605,338505
10/10/2035,Wimbledon,290745,183845
10/04/2027,Lewisham,489135,198700
10/10/2034,Wimbledon,314085,196385
10/08/2048,Wimbledon,22915,22915
10/03/2031,Wimbledon,397720,241320
10/01/2023,Lewisham,588330,244600
10/11/2044,Lewisham,78740,8800
10/09/2036,Wimbledon,269350,172350
10/04/2035,Wimbledon,302415,190115
10/02/2026,Lewisham,516365,211300
10/01/2024,Wimbledon,564990,331190
10/08/2043,Wimbledon,107915,85615
10/11/2045,Wimbledon,57400,57400
10/01/2031,Wimbledon,401610,243410
10/06/2040,Wimbledon,181825,125325
10/09/2042,Wimbledon,129310,97110
10/01/2038,Lewisham,238230,82600
10/06/2037,Lewisham,251845,88900
10/12/2044,Lewisham,76795,7900
10/09/2022,Wimbledon,596110,347910
10/03/2030,Wimbledon,421060,253860
10/07/2026,Wimbledon,506640,299840
10/08/2027,Lewisham,481355,195100
10/11/2042,Wimbledon,125420,95020
10/03/2037,Wimbledon,257680,166080
10/11/2040,Wimbledon,172100,120100
10/03/2025,Lewisham,537760,221200
10/09/2032,Lewisham,362710,140200
10/04/2029,Lewisham,442455,177100
10/05/2039,Lewisham,207110,68200
10/01/2033,Lewisham,354930,136600
10/12/2025,Wimbledon,520255,307155
10/03/2030,Lewisham,421060,167200
10/01/2031,Lewisham,401610,158200
10/09/2045,Wimbledon,59290,59490
10/08/2022,Lewisham,598055,249100
10/12/2022,Wimbledon,590275,344775
10/06/2027,Wimbledon,485245,288345
10/03/2044,Lewisham,94300,16000
10/05/2030,Wimbledon,417170,251770
10/04/2048,Wimbledon,27095,27095
10/09/2043,Wimbledon,105970,84570
10/06/2040,Lewisham,181825,56500
10/02/2047,Wimbledon,41725,41725
10/11/2037,Lewisham,242120,84400
10/04/2036,Wimbledon,279075,177575
10/04/2037,Wimbledon,255735,165035
10/07/2030,Wimbledon,413280,249680
10/06/2032,Lewisham,368545,142900
10/10/2039,Lewisham,197385,63700
10/02/2025,Lewisham,539705,222100
10/12/2027,Lewisham,473575,191500
10/10/2037,Wimbledon,244065,158765
10/06/2030,Lewisham,415225,164500
10/09/2047,Wimbledon,34410,34410
10/07/2032,Wimbledon,366600,224600
10/03/2032,Lewisham,374380,145600
10/02/2043,Lewisham,119585,27700
10/12/2028,Wimbledon,450235,269535
10/11/2036,Wimbledon,265460,170260
10/10/2029,Lewisham,430785,171700
10/05/2032,Lewisham,370490,143800
10/01/2028,Wimbledon,471630,281030
