Date,Value,Units,Type,
16/12/2020,10,min,Apple Fitness,Bakari - 125 - everything rock
16/12/2020,10,min,Apple Fitness,Kym - 134 - everything rock
17/12/2020,30,min,Apple Fitness,Gregg - 375 - everything rock
18/12/2020,20,min,Apple Fitness,Kym - 232 - everything rock
19/12/2020,45,min,Apple Fitness,Bakari - 565 - latest hits
21/12/2020,20,min,Apple Fitness,Kym - 271 - hiphop
23/12/2020,20,min,Apple Fitness,Emily -  279 - latest hits
24/12/2020,45,min,Apple Fitness,Sherica - 588 - latest hits
28/12/2020,30,min,Apple Fitness,Emily - 401 - everything rock
29/12/2020,30,min,Apple Fitness,Kym - 445 - upbeat anthems
30/12/2020,45,min,Apple Fitness,Sherica - 663 - upbeat anthems
01/01/2021,30,min,Apple Fitness,Gregg - 422 - everything rock
01/01/2021,20,min,Apple Fitness,Kym - 306 - everything rock
02/01/2021,30,min,Apple Fitness,Kym - 425 - upbeat anthems
03/01/2021,45,min,Apple Fitness,Tyrell - 668 - hiphop
04/01/2021,20,min,Apple Fitness,Tyrell - 263 - latin grooves
05/01/2021,30,min,Apple Fitness,Gregg - 387 - upbeat anthems
07/01/2021,45,min,Apple Fitness,Bakari - 668 - upbeat anthems
08/01/2021,20,min,Apple Fitness,Kym - 286 - everything rock
09/01/2021,45,min,Apple Fitness,Kym - 701 - pure dance
10/01/2021,30,min,Apple Fitness,Tyrell - 438 - pure dance
10/01/2021,10,min,Apple Fitness,Kym - 167 - everything rock
11/01/2021,20,min,Apple Fitness,Sherica - 254 - everything rock
12/01/2021,30,min,Apple Fitness,Bakari - 377 - pure dance
13/01/2021,30,min,Apple Fitness,Gregg - 419 - everything rock
14/01/2021,45,min,Apple Fitness,Tyrell - 643 - upbeat anthems
15/01/2021,20,min,Apple Fitness,Gregg - 273 - pure dance
16/01/2021,45,min,Apple Fitness,Tyrell - 669 - upbeat anthems
17/01/2021,20,min,Apple Fitness,Sherica - 254 - everything rock
18/01/2021,30,min,Apple Fitness,Kym - 394 - pure dance
20/01/2021,20,min,Apple Fitness,Gregg - 266 - upbeat anthems
21/01/2021,30,min,Apple Fitness,Gregg - 424 - everything rock
22/01/2021,20,min,Apple Fitness,Sherica - 254 - everything rock
22/01/2021,10,min,Apple Fitness,Sherica - 149 - latest hits
23/01/2021,45,min,Apple Fitness,Tyrell - 666 - upbeat anthems
24/01/2021,30,min,Apple Fitness,Sherica - 438 - pure dance
26/01/2021,30,min,Apple Fitness,Kym - 420 - upbeat anthems
27/01/2021,30,min,Apple Fitness,Tyrell - 431 - hiphop
28/01/2021,20,min,Apple Fitness,Gregg - 263 - throwback hits
29/01/2021,30,min,Apple Fitness,Gregg - 422 - everything rock
31/01/2021,20,min,Apple Fitness,Tyrell - 260 - latest hits
01/02/2021,20,min,Apple Fitness,Kym - 239 - upbeat anthems
01/02/2021,10,min,Apple Fitness,Emily - 144 - top country
02/02/2021,20,min,Apple Fitness,Tyrell - 245 - throwback hits
03/02/2021,45,min,Apple Fitness,Sherica - 580 - throwback hits
04/02/2021,20,min,Apple Fitness,Gregg - 254 - pure dance
05/02/2021,30,min,Apple Fitness,Kym - 419 - hiphop 
06/02/2021,30,min,Apple Fitness,Sherica - 394 - hiphop
09/02/2021,30,min,Apple Fitness,Sherica - 435 - upbeat anthems
10/02/2021,30,min,Apple Fitness,Sherica - 428 - upbeat anthems
12/02/2021,45,min,Apple Fitness,Tyrell - 634 - hiphop
15/02/2021,45,min,Apple Fitness,Bakari - 671 - upbeat anthems
16/02/2021,30,min,Apple Fitness,Kym - 469 - latin grooves
18/02/2021,20,min,Apple Fitness,Gregg - 304 - everything rock
18/02/2021,10,min,Apple Fitness,Kym - 180 - hiphop
20/02/2021,30,min,Apple Fitness,Bakari - 445 - pure dance
24/02/2021,45,min,Apple Fitness,Sherica - 633 - hiphop
25/02/2021,30,min,Apple Fitness,Tyrell - 439 - upbeat anthems
27/02/2021,20,min,Apple Fitness,Gregg - 333 - throwback hits
01/03/2021,30,min,Apple Fitness,Kym - 489 - everything rock
02/03/2021,30,min,Apple Fitness,Gregg - 449 - throwback hits
04/03/2021,20,min,Apple Fitness,Gregg - 301 - throwback hits
06/03/2021,30,min,Apple Fitness,Bakari - 472 - pure dance
08/03/2021,20,min,Apple Fitness,Gregg - 308 - hiphop
10/03/2021,45,min,Apple Fitness,Kym - 727 - everything rock
11/03/2021,30,min,Apple Fitness,Bakari - 477 - upbeat anthems
15/03/2021,30,min,Apple Fitness,Kym - 438 - throwback hits
17/03/2021,45,min,Apple Fitness,Tyrell - 694 - pure dance
20/03/2021,30,min,Apple Fitness,Bakari - 458 - pure dance
24/03/2021,45,min,Apple Fitness,Bakari - 707 - pure dance
26/03/2021,30,min,Apple Fitness,Sherica - 475 - upbeat anthems
27/03/2021,20,min,Apple Fitness,Sherica - 323 - latest hits
23/04/2021,30,min,Apple Fitness,Kym - 481 - upbeat anthems
26/04/2021,30,min,Apple Fitness,Bakari - 466 - hiphop
07/05/2021,45,min,Apple Fitness,Bakari - 714 - upbeat anthems
09/05/2021,20,min,Apple Fitness,Gregg - 314 - everything rock
13/05/2021,30,min,Apple Fitness,Tyrell - 439 - hiphop
31/05/2021,30,min,Apple Fitness,Kym - 436 - upbeat anthems
01/06/2021,30,min,Apple Fitness,Sherica - 412 - pure dance
03/06/2021,30,min,Apple Fitness,Sherica - 432 - upbeat anthems
03/06/2021,10,min,Apple Fitness,Gregg - 138 - everything rock
07/06/2021,30,km,Apple Fitness,Kym - 426 - everything rock
08/06/2021,20,min,Apple Fitness,Bakari - 301 - upbeat anthems
08/06/2021,10,min,Apple Fitness,Gregg - 168 - hiphop
25/06/2021,20,min,Apple Fitness,Bakari - 309 - everything rock
10/07/2021,45,min,Apple Fitness,Bakari - 716 - upbeat anthems
28/11/21,45,min,Apple Fitness,Sherica - 596 - upbeat anthems
4/12/21,30,min,Apple Fitness,Kym - 414 - upbeat anthems
29/12/21,30,min,Apple Fitness ,Kym - 434 - everything rock
31/12/21,30,min,Apple Fitness,Sherica - 435 - upbeat anthems
3/1/22,30,min,Apple Fitness,Bakari - 414 - upbeat anthems
4/1/22,30,min,Apple Fitness,Kym - 417 - upbeat anthems
5/1/22,30,min,Apple Fitness,Emily - 427 - everything rock
6/1/22,30,min,Apple Fitness,Kym - 439 - everything rock
8/1/22,20,min,Apple Fitness,Sherica - 304 - everything rock
8/1/22,20,min,Apple Fitness,Bakari - 337 - everything rock
11/1/22,20,min,Apple Fitness,Sherica - 300 - everything rock
12/1/22,45,min,Apple Fitness,Kym - 707 - upbeat anthems
6/2/22,30,min,Apple Fitness,Bakari - 464 - upbeat anthems
3/4/22,20,min,Apple Fitness,Bakari - 324 - everything rock
10/6/22,45,min,Apple Fitness,Tyrell - 664 - everything rock
28/7/22,20,min,Apple Fitness,Sherica - 310 - everything rock
31/7/22,20,min,Apple Fitness,Sherica - 300 - everything rock
31/7/22,10,min,Apple Fitness,Bakari - 176 - everything rock
1/8/22,30,min,Apple Fitness,Bakari - 470 - pure dance
5/8/22,30,min,Apple Fitness,Tyrell - 495 - everything rock
16/8/22,45,min,Apple Fitness,Sherica - 685 - everything rock
