Name,Category,Required Level,Attack Damage
Gargoyle's Black Axe,Greataxes,54,220
Magma Wyrm's Scalesword,Curved Greatswords,57,188
Regalia of Eochaid,Straight Swords,45,146
Carian Knight's Sword,Straight Swords,38,176
Veteran's Prosthesis,Fists,27,136
Rotten Staff,Colossal Weapons,42,165
Greatsword,Colossal Swords,43,164
Meteoric Ore Blade,Katanas,47,184
Nox Flowing Sword,Curved Swords,23,112
Troll's Hammer,Colossal Weapons,46,198
Guardian's Swordspear,Halberds,33,139
Starscourge Greatsword,Colossal Swords,65,212
Inquisitor's Girandole,Spears,49,168
Gargoyle's Blackblade,Greatswords,50,224
Dragon Greatclaw,Colossal Weapons,44,198
Hammer,Hammers,21,124
Dagger,Daggers,14,74
Beastclaw Greathammer,Great Hammers,48,116
Sword of Night and Flame,Straight Swords,72,199
Royal Greatsword,Colossal Swords,66,246
Devourer's Scepter,Great Hammers,69,181
Banished Knight's Greatsword,Greatswords,26,142
Torch,Torches,10,151
Claymore,Greatswords,29,138
Lazuli Glintstone Sword,Straight Swords,30,173
Helphen's Steeple,Greatswords,51,202
Gargoyle's Black Halberd,Halberds,58,226
Envoy's Greathorn,Colossal Weapons,64,199
Ordovis's Greatsword,Greatswords,53,176
Troll's Golden Sword,Colossal Swords,39,155
Steel-Wire Torch,Torches,18,170
Godslayer's Greatsword,Colossal Swords,62,196
Golden Halberd,Halberds,56,221
Clayman's Harpoon,Spears,34,163
Sacred Relic Sword,Greatswords,60,194
Caestus,Fists,16,90
Godskin Stitcher,Heavy Thrusting Swords,31,127
Serpent-Hunter,Great Spears,0,111
Iron Greatsword,Greatswords,28,149
Bloodhound Claws,Claws,25,94
Treespear,Great Spears,55,201
Great Club,Colossal Weapons,35,154
Troll Knight's Sword,Colossal Swords,52,204
Golden Epitaph,Straight Swords,36,170
Longhaft Axe,Greataxes,32,146
Nox Flowing Hammer,Hammers,24,122
Stone Club,Hammers,24,122
Beast-Repellent Torch,Torches,20,162
Duelist Greataxe,Colossal Weapons,40,170
Large Club,Great Hammers,22,131
Marais Executioner's Sword,Greatswords,61,155
Hand Axe,Axes,17,113
Mace,Hammers,19,115
