Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,Segment__c
0018d00000GMjqpAAD,False,,Sample Account for Entitlements,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GMjqpAAD,,,,,,,,,0058d000004QHaCAAW,31/08/2022 12:43:13,0058d000004QHaCAAW,31/08/2022 12:43:13,0058d000004QHaCAAW,31/08/2022 12:43:13,,,,,,Pending,,,,,,,,,,,,,,,,
0018d00000GgwutAAB,False,,Flores188 Inc,Customer,,,,VA,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwutAAB,47722,Retail,1000000,5000,,,,,0058d000004QHagAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,MM
0018d00000GgwuuAAB,False,,Hoffman387 Inc,Partner,,,,WV,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwuuAAB,74100,Transportation,1000000,5000,,,,,0058d000004QHaaAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Partner,,,,,,,,,,,,,,,GB
0018d00000GgwuvAAB,False,,Ross388 Inc,Customer,,,,IA,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwuvAAB,47710,Education,1000000,5000,,,,,0058d000004QHadAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,07/08/2029,,,,,Pending,Web,,,,,,,,,,,,,,,MM
0018d00000GgwuwAAB,False,,Fleming389 Inc,Customer,,,,,,Switzerland,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwuwAAB,47721,Manufacturing,1000000,5000,,,,,0058d000004QHaqAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Word of mouth,,,,,,,,,,,,,,,ESMB
0018d00000GgwuxAAB,False,,Gardner390 Inc,Customer,,,,,,Germany,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwuxAAB,47722,Energy,1000000,5000,,,,,0058d000004QHacAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Web,,,,,,,,,,,,,,,MM
0018d00000GgwuyAAB,False,,Stephens391 Inc,Customer,,,,MI,,Canada,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwuyAAB,74100,Insurance,1000000,5000,,,,,0058d000004QHadAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,12/09/2029,,,,,Pending,Trade Show,,,,,,,,,,,,,,,COMM
0018d00000GgwuzAAB,False,,Pratt392 Inc,Partner,,,,,,Russian,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GgwuzAAB,47710,Retail,1000000,5000,,,,,0058d000004QHalAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,25/08/2029,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,ESMB
0018d00000Ggwv0AAB,False,,Wilson393 Inc,Customer,,,,,,Brazil,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggwv0AAB,47721,Education,1000000,5000,,,,,0058d000004QHamAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Advertisement,,,,,,,,,,,,,,,MM
0018d00000Ggwv1AAB,False,,Robinson394 Inc,Customer,,,,,,Italy,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggwv1AAB,47722,Education,1000000,5000,,,,,0058d000004QHaoAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,,,,,Pending,Word of mouth,,,,,,,,,,,,,,,MM
