Id,IsDeleted,AccountId,RecordTypeId,IsPrivate,Name,StageName,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,PushCount,LastStageChangeDate,FiscalQuarter,FiscalYear,Fiscal,ContactId,LastViewedDate,LastReferencedDate,HasOpenActivity,HasOverdueTask,LastAmountChangedHistoryId,LastCloseDateChangedHistoryId,DeliveryInstallationStatus__c,TrackingNumber__c,OrderNumber__c,CurrentGenerators__c,MainCompetitors__c,Opportunity_Source__c
0068d000009MWGPAA4,False,0018d00000Ggx86AAB,0128d000001J21VAAS,False,Opportunity for Harper529,Closed Won,17621,100,17621,,09/05/2029,New Business / Add-on,,Web,True,True,Closed,Closed,,False,,0058d000004QHaiAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,0,,2,2022,2022 2,,,,False,False,,,,,,,,AE
0068d000009MWGQAA4,False,0018d00000Ggwy8AAB,0128d000001J21VAAS,False,Opportunity for Duncan873,Closed Won,2400250,100,2400250,4151,25/08/2028,New Business,,Advertisement,True,True,Closed,Closed,,True,01s8d000005Us9zAAC,0058d000004QHapAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,0,,3,2021,2021 3,,,,False,False,0088d00000Ou4NEAAZ,,,,,,,Marketing
0068d000009MWGRAA4,False,0018d00000GgwzDAAR,0128d000001J21VAAS,False,Opportunity for Daniel875,Closed Won,5023650,100,5023650,7235,15/05/2029,Existing Business,,Employee Referral,True,True,Closed,Closed,,True,01s8d000005Us9zAAC,0058d000004QHadAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,0,,2,2022,2022 2,,,,False,False,0088d00000Ou4NFAAZ,,,,,,,Marketing
0068d000009MWGTAA4,False,0018d00000GgwugAAB,0128d000001J21VAAS,False,Opportunity for McKenzie881,Closed Won,1684050,100,1684050,1359,13/07/2028,New Business,,Web,True,True,Closed,Closed,,True,01s8d000005Us9zAAC,0058d000004QHacAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,0,,3,2021,2021 3,,,,False,False,0088d00000Ou4NGAAZ,,,,,,,Marketing
0068d000009MWGUAA4,False,0018d00000Ggx3VAAR,0128d000001J21VAAS,False,Opportunity for Duncan885,Qualification,413101,10,41310.1,,19/10/2029,New Business,,Advertisement,False,False,Pipeline,Pipeline,,False,,0058d000004QHapAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,08/08/2029,0,,4,2022,2022 4,,,,True,False,,,,,,,,Alliances
0068d000009MWGZAA4,False,0018d00000GgwumAAB,0128d000001J21VAAS,False,Opportunity for Baker1261,Closed Lost,41580,0,0,462,18/06/2029,New Business / Add-on,,Word of mouth,True,False,Omitted,Omitted,,True,01s8d000005Us9zAAC,0058d000004QHaiAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,0,,2,2022,2022 2,,,,False,False,,,,,,,,Marketing
0068d000009MWJVAA4,False,0018d00000Ggx4sAAB,0128d000001J21VAAS,False,Opportunity for White1730,Negotiation/Review,1994920,90,1795428,2703,26/09/2029,New Business / Add-on,,Employee Referral,False,False,Forecast,Commit,,True,01s8d000005Us9zAAC,0058d000004QHaaAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,19/08/2029,0,,3,2022,2022 3,,,,True,False,0088d00000Ou4OdAAJ,,,,,,,Marketing
0068d000009MWJWAA4,False,0018d00000Ggx5QAAR,0128d000001J21VAAS,False,Opportunity for Griffin1731,Closed Won,455096,100,455096,,11/10/2028,New Business / Add-on,,Word of mouth,True,True,Closed,Closed,,False,,0058d000004QHagAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,0,,4,2021,2021 4,,,,False,False,,,,,,,,Marketing
0068d000009MWJXAA4,False,0018d00000GgwxsAAB,0128d000001J21VAAS,False,Opportunity for Marsh1734,Closed Won,309686,100,309686,,20/01/2029,New Business,,Advertisement,True,True,Closed,Closed,,False,,0058d000004QHapAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,0,,1,2022,2022 1,,,,False,False,,,,,,,,AE
0068d000009MWJZAA4,False,0018d00000Ggx6jAAB,0128d000001J21VAAS,False,Opportunity for Arnold1738,Closed Lost,257045,0,0,,12/10/2028,New Business / Add-on,,Partner,True,False,Omitted,Omitted,,False,,0058d000004QHajAAG,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,0058d000004B2qYAAS,31/08/2022 12:37:13,,0,,4,2021,2021 4,,,,False,False,,,,,,,,AE
