Account Name,Number of Opportunities,Amount
Hart717 Inc,1,3729975
Stone167 Inc,1,2169600
Marsh614 Inc,2,219600
Rose673 Inc,1,384840
Jackson589 Inc,2,5385720
Nichols134 Inc,1,431073
Martinez649 Inc,1,800000
Weaver350 Inc,1,2669875
Gordon630 Inc,1,2868400
Stone533 Inc,1,2303500
Norman484 Inc,1,398311
Haynes326 Inc,1,532950
Rivera969 Inc,3,3664330
Vega214 Inc,1,352350
Carlson744 Inc,1,788800
Benson346 Inc,3,6388570
Graham11 Inc,1,238018
Elliott270 Inc,1,2294400
Wade723 Inc,4,4406560
Rodriquez626 Inc,1,475597
Stokes935 Inc,1,538820
Page703 Inc,1,1132470
Davidson606 Inc,2,4779500
Klein591 Inc,1,254500
Casey767 Inc,1,535160
Martinez181 Inc,1,205489
Anderson269 Inc,1,249600
Flores188 Inc,2,7341100
Colon817 Inc,1,3314900
Warren397 Inc,1,620200
Newman432 Inc,1,3077200
Glover254 Inc,2,2642950
Bryan926 Inc,1,53325
Clarke268 Inc,2,1091335
Mann154 Inc,1,3198400
Hicks332 Inc,1,459280
Briggs955 Inc,1,209104
Joseph419 Inc,1,327600
Reese490 Inc,1,458680
Bennett519 Inc,2,2374500
Hoffman697 Inc,1,802240
Hill463 Inc,1,3209120
McDaniel467 Inc,1,710500
Burton810 Inc,1,136800
Edwards434 Inc,1,19640
Castillo620 Inc,1,87409
Myers448 Inc,1,339815
McKenzie531 Inc,1,73600
Myers581 Inc,4,7739533
Ingram217 Inc,1,460956
Becker755 Inc,2,4117875
Johnston241 Inc,1,2371900
Marshall977 Inc,1,1918900
Tran645 Inc,1,1163610
Pope139 Inc,1,2049800
May967 Inc,1,835870
Higgins666 Inc,1,583800
Bowman940 Inc,1,201572
Williamson530 Inc,1,3351780
Fleming762 Inc,2,552393
Brewer934 Inc,1,2649500
Patrick806 Inc,2,2646340
Warner699 Inc,1,327145
Clayton557 Inc,1,2684465
Haynes623 Inc,1,57510
Hogan989 Inc,3,2763955
Horton569 Inc,1,802000
West416 Inc,2,2166778
Gordon406 Inc,3,3268590
Gonzales409 Inc,2,3443900
Wade312 Inc,1,1454500
Bowman347 Inc,2,3632671
McKinney542 Inc,1,1817815
Myers408 Inc,1,902400
Tucker284 Inc,2,4131840
Gonzales209 Inc,1,89400
Summers987 Inc,1,155600
Shaw160 Inc,1,466000
Yates593 Inc,1,196890
Cook117 Inc,2,886010
Aguilar870 Inc,2,1072200
Schneider841 Inc,2,1885780
Moran300 Inc,2,4962370
Webster118 Inc,2,2859405
Owen872 Inc,1,1438500
Wells259 Inc,1,646400
Lowe352 Inc,1,776540
Ingram644 Inc,2,1160706
Lopez524 Inc,1,1128970
Carr43 Inc,3,2698769
Greer831 Inc,1,63600
Dunn368 Inc,1,258140
Stevenson954 Inc,2,5100920
Chandler98 Inc,1,32480
Harris13 Inc,3,12766150
Barber878 Inc,1,3072000
Hart828 Inc,2,1199740
McGuire151 Inc,1,2623525
Riley999 Inc,4,5941315
Love256 Inc,1,65920
Martin949 Inc,1,51480
Tate321 Inc,1,130230
Banks379 Inc,3,3803230
Rowe333 Inc,2,2129345
Mann440 Inc,4,4466616
Norton877 Inc,2,187880
Owens441 Inc,2,1719298
Pittman399 Inc,1,206000
Warren653 Inc,3,3210075
Smith558 Inc,1,809810
Lane81 Inc,1,376862
Foster410 Inc,1,115290
Ellis327 Inc,1,248276
Butler249 Inc,1,676500
Ramirez137 Inc,3,8489495
Owens400 Inc,1,219000
Curtis678 Inc,1,2855840
Adams335 Inc,1,1153670
Hawkins276 Inc,1,791500
Pratt392 Inc,1,313425
Maxwell670 Inc,1,364760
Cross858 Inc,1,259500
Joseph775 Inc,1,1313950
Alvarez45 Inc,1,200400
Daniels141 Inc,1,582035
Sims952 Inc,1,2719000
Dixon915 Inc,2,3432790
Bailey19 Inc,2,2764100
Coleman170 Inc,2,3340330
Casey47 Inc,2,4838700
Mitchell743 Inc,1,197075
Tucker401 Inc,2,1595650
Fowler307 Inc,2,725146
Pittman435 Inc,1,991350
Brown495 Inc,2,1070300
Estrada864 Inc,2,791840
Stokes80 Inc,1,230520
Quinn144 Inc,1,3251640
Gilbert774 Inc,1,3055100
Gill754 Inc,1,229470
Phillips722 Inc,1,822800
Fletcher234 Inc,2,1800265
Lopez140 Inc,2,2932425
Vega718 Inc,2,2672000
Rivera395 Inc,1,448068
Padilla472 Inc,1,179225
Ross364 Inc,2,765047
Crawford14 Inc,1,1417400
Bailey893 Inc,1,24536
Lopez621 Inc,1,39960
Herrera2 Inc,1,23642
Tran514 Inc,2,742049
Duncan433 Inc,1,136464
West990 Inc,1,728525
Stone555 Inc,1,3306425
Dean95 Inc,1,918500
Henry405 Inc,1,261400
Robbins449 Inc,2,3370695
Watts76 Inc,1,1535500
Phillips253 Inc,1,3612800
Higgins494 Inc,1,524400
Reeves202 Inc,3,2661145
Bass661 Inc,2,1003453
Rodriguez768 Inc,3,1241930
Salazar150 Inc,2,2106574
Briggs402 Inc,1,951000
Rios384 Inc,1,857500
Lynch943 Inc,1,2058100
Hall230 Inc,2,2673330
Carroll694 Inc,1,54090
Lloyd845 Inc,1,2254450
Harmon221 Inc,1,325680
Harper70 Inc,1,2124300
Gray676 Inc,2,6271740
Griffin587 Inc,1,388760
Duncan773 Inc,2,492169
Maldonado464 Inc,2,773740
Payne411 Inc,1,1052275
Cummings220 Inc,1,163800
Lawrence50 Inc,1,3164200
West706 Inc,1,22240
Gill296 Inc,1,789160
Schneider736 Inc,1,2221650
Parks99 Inc,1,240747
Erickson874 Inc,1,218798
Tran866 Inc,3,1882242
Bishop597 Inc,1,2660660
Elliott903 Inc,1,399300
Greene248 Inc,2,393782
Henderson891 Inc,2,784105
Simmons663 Inc,3,879911
Roberson8 Inc,1,3626550
Valdez792 Inc,1,39600
Moss489 Inc,1,72720
Carter172 Inc,2,3852380
Collins451 Inc,1,5423800
Todd566 Inc,2,1009350
Gutierrez38 Inc,2,357606
Anderson638 Inc,3,2376660
Adkins907 Inc,2,2051038
Schwartz492 Inc,1,2601440
Webb96 Inc,1,179700
Jensen729 Inc,1,2745600
Stokes200 Inc,1,27800
Christensen892 Inc,1,2598300
Wood74 Inc,1,430330
Collins928 Inc,1,89320
Wright507 Inc,2,1598800
