Account Name,Number of Opportunities,Amount
Abbott358 Inc,1,98850
Abbott372 Inc,1,1498260
Adams335 Inc,1,1153670
Adkins42 Inc,1,773640
Adkins907 Inc,2,2051038
Aguilar870 Inc,2,1072200
Alexander704 Inc,1,637600
Allen182 Inc,1,4067300
Allison992 Inc,1,2592000
Alvarez45 Inc,1,200400
Alvarez72 Inc,1,52440
Anderson269 Inc,1,249600
Anderson638 Inc,3,2376660
Armstrong345 Inc,2,2449416
Armstrong378 Inc,2,1268620
Arnold813 Inc,2,2083337
Austin22 Inc,1,273090
Bailey19 Inc,2,2764100
Bailey893 Inc,1,24536
Banks163 Inc,1,488860
Banks379 Inc,3,3803230
Barber878 Inc,1,3072000
Barnett543 Inc,3,2832970
Bass271 Inc,1,15760
Bass661 Inc,2,1003453
Beck266 Inc,1,1132600
Beck370 Inc,2,1458554
Beck894 Inc,1,470865
Becker488 Inc,1,761000
Becker755 Inc,2,4117875
Bennett519 Inc,2,2374500
Bennett922 Inc,1,412385
Benson346 Inc,3,6388570
Benson594 Inc,1,201720
Benson689 Inc,1,594760
Bishop597 Inc,1,2660660
Black598 Inc,1,1683760
Black702 Inc,1,449660
Bowen938 Inc,1,2641175
Bowers460 Inc,2,2181537
Bowman347 Inc,2,3632671
Bowman940 Inc,1,201572
Bradley715 Inc,2,663696
Bradley791 Inc,1,1630580
Brewer763 Inc,3,1825496
Brewer934 Inc,1,2649500
Brewer941 Inc,1,1049880
Bridges776 Inc,1,1337090
Briggs402 Inc,1,951000
Briggs955 Inc,1,209104
Brock75 Inc,1,1750200
Brown495 Inc,2,1070300
Bryan926 Inc,1,53325
Bryant250 Inc,2,661785
Bryant456 Inc,1,1269390
Buchanan609 Inc,1,3168250
Burton810 Inc,1,136800
Bush454 Inc,3,5916790
Butler152 Inc,3,7551530
Butler249 Inc,1,676500
Byrd23 Inc,1,3426450
Cain574 Inc,1,3960970
Cannon212 Inc,1,278337
Carlson744 Inc,1,788800
Carr43 Inc,3,2698769
Carroll694 Inc,1,54090
Carson909 Inc,1,2276590
Carter172 Inc,2,3852380
Casey47 Inc,2,4838700
Casey767 Inc,1,535160
Castillo620 Inc,1,87409
Chambers869 Inc,2,3247560
Chandler98 Inc,1,32480
Chapman475 Inc,1,198000
Christensen164 Inc,1,1684050
Christensen840 Inc,1,683100
Christensen892 Inc,1,2598300
Clarke268 Inc,2,1091335
Clayton557 Inc,1,2684465
Cobb132 Inc,1,1411200
Cohen28 Inc,2,2205998
Cohen950 Inc,1,114000
Coleman170 Inc,2,3340330
Collins451 Inc,1,5423800
Collins522 Inc,1,1994920
Collins928 Inc,1,89320
Colon817 Inc,1,3314900
Conner513 Inc,2,442950
Conner538 Inc,1,1488450
Cook117 Inc,2,886010
Cortez324 Inc,1,21640
Cox450 Inc,3,4255300
Crawford14 Inc,1,1417400
Crawford184 Inc,3,8125885
Crawford536 Inc,2,613925
Crawford701 Inc,1,2942705
Cross858 Inc,1,259500
Cummings220 Inc,1,163800
Cummings974 Inc,2,1513850
Curtis678 Inc,1,2855840
Daniel415 Inc,1,7747190
Daniels141 Inc,1,582035
Davidson606 Inc,2,4779500
Dawson161 Inc,1,3463920
Dawson277 Inc,1,537880
Dean902 Inc,2,2767008
Dean95 Inc,1,918500
Diaz190 Inc,1,493255
Dixon915 Inc,2,3432790
Doyle498 Inc,1,3712300
Doyle59 Inc,2,874660
Duncan187 Inc,1,318600
Duncan433 Inc,1,136464
Duncan773 Inc,2,492169
Dunn368 Inc,1,258140
Edwards434 Inc,1,19640
Elliott270 Inc,1,2294400
Elliott903 Inc,1,399300
Ellis327 Inc,1,248276
Ellis805 Inc,1,476918
Erickson874 Inc,1,218798
Estrada864 Inc,2,791840
Evans281 Inc,2,4169710
Evans674 Inc,1,577250
Ferguson738 Inc,1,363901
Ferguson911 Inc,1,2183750
Figueroa166 Inc,1,679555
Figueroa68 Inc,1,1318960
Fitzgerald503 Inc,1,2158750
Fleming389 Inc,1,236610
Fleming710 Inc,2,3426900
Fleming762 Inc,2,552393
Fleming816 Inc,1,3709600
Fletcher234 Inc,2,1800265
Fletcher429 Inc,2,2238655
Flores159 Inc,1,65070
Flores188 Inc,2,7341100
Flowers529 Inc,1,103690
Floyd100 Inc,1,446461
Floyd832 Inc,1,1093390
Ford835 Inc,2,3275510
Foster410 Inc,1,115290
Fowler307 Inc,2,725146
Fowler322 Inc,5,3429902
Fox517 Inc,2,2310795
Fox572 Inc,1,206640
Freeman751 Inc,1,1578500
Gardner499 Inc,1,1241900
Gibson62 Inc,2,1067840
Gilbert774 Inc,1,3055100
Gill296 Inc,1,789160
Gill754 Inc,1,229470
Glover254 Inc,2,2642950
Glover937 Inc,1,1193160
Gomez871 Inc,2,1366300
Gonzales209 Inc,1,89400
Gonzales409 Inc,2,3443900
Goodman21 Inc,1,51920
Goodwin856 Inc,1,152400
Gordon294 Inc,1,975175
Gordon406 Inc,3,3268590
Gordon630 Inc,1,2868400
Gordon814 Inc,1,898800
Graham11 Inc,1,238018
Graham705 Inc,1,60160
Grant712 Inc,1,987000
Graves147 Inc,4,715781
Graves33 Inc,3,3167260
Graves925 Inc,2,801750
Gray676 Inc,2,6271740
Green672 Inc,1,237840
Greene248 Inc,2,393782
Greer746 Inc,1,1979000
Greer831 Inc,1,63600
Griffin587 Inc,1,388760
Griffith580 Inc,2,2094351
Gutierrez305 Inc,2,3421000
Gutierrez38 Inc,2,357606
Gutierrez48 Inc,1,279405
Gutierrez801 Inc,1,142400
Hall230 Inc,2,2673330
Hall758 Inc,1,498520
Hampton15 Inc,2,2580315
Hansen264 Inc,1,78400
Hansen313 Inc,1,377520
Hanson683 Inc,1,1542350
Harmon221 Inc,1,325680
Harper70 Inc,1,2124300
