Player,Session,Date,Score
Player 1,Strength Building,2022-01-03,10
Player 1,Agility,2022-01-03,7
Player 1,Cardio,2022-01-03,3
Player 2,Strength Building,2022-01-03,9
Player 2,Agility,2022-01-03,9
Player 2,Cardio,2022-01-03,6
Player 3,Strength Building,2022-01-03,9
Player 3,Agility,2022-01-03,10
Player 3,Cardio,2022-01-03,10
Player 4,Strength Building,2022-01-03,7
Player 4,Agility,2022-01-03,10
Player 4,Cardio,2022-01-03,5
Player 5,Strength Building,2022-01-03,9
Player 5,Agility,2022-01-03,5
Player 5,Cardio,2022-01-03,3
Player 6,Strength Building,2022-01-03,7
Player 6,Agility,2022-01-03,6
Player 6,Cardio,2022-01-03,9
Player 7,Strength Building,2022-01-03,4
Player 7,Agility,2022-01-03,7
Player 7,Cardio,2022-01-03,6
Player 8,Strength Building,2022-01-03,6
Player 8,Agility,2022-01-03,7
Player 8,Cardio,2022-01-03,5
Player 9,Strength Building,2022-01-03,4
Player 9,Agility,2022-01-03,6
Player 9,Cardio,2022-01-03,3
Player 10,Strength Building,2022-01-03,8
Player 10,Agility,2022-01-03,9
Player 10,Cardio,2022-01-03,5
Player 11,Strength Building,2022-01-03,10
Player 11,Agility,2022-01-03,10
Player 11,Cardio,2022-01-03,4
Player 12,Strength Building,2022-01-03,3
Player 12,Agility,2022-01-03,6
Player 12,Cardio,2022-01-03,8
Player 13,Strength Building,2022-01-03,9
Player 13,Agility,2022-01-03,7
Player 13,Cardio,2022-01-03,6
Player 14,Strength Building,2022-01-03,4
Player 14,Agility,2022-01-03,5
Player 14,Cardio,2022-01-03,8
Player 15,Strength Building,2022-01-03,3
Player 15,Agility,2022-01-03,7
Player 15,Cardio,2022-01-03,9
Player 1,Strength Building,2022-01-05,5
Player 1,Strength Building,2022-01-06,10
Player 1,Strength Building,2022-01-07,5
Player 1,Strength Building,2022-01-10,6
Player 1,Strength Building,2022-01-11,4
Player 1,Strength Building,2022-01-17,9
Player 1,Strength Building,2022-01-18,10
Player 1,Strength Building,2022-01-20,5
Player 1,Strength Building,2022-01-25,6
Player 1,Strength Building,2022-01-26,10
Player 1,Strength Building,2022-01-27,10
Player 1,Strength Building,2022-01-28,3
Player 1,Strength Building,2022-01-31,9
Player 1,Strength Building,2022-02-01,8
Player 1,Strength Building,2022-02-02,8
Player 1,Strength Building,2022-02-03,10
Player 1,Strength Building,2022-02-04,6
Player 1,Strength Building,2022-02-10,5
Player 1,Strength Building,2022-02-14,5
Player 1,Strength Building,2022-02-15,8
Player 1,Strength Building,2022-02-16,8
Player 1,Strength Building,2022-02-17,5
Player 1,Strength Building,2022-02-21,3
Player 1,Strength Building,2022-02-22,8
Player 1,Strength Building,2022-02-25,6
Player 1,Strength Building,2022-02-28,4
Player 1,Strength Building,2022-03-03,10
Player 1,Strength Building,2022-03-07,6
Player 1,Strength Building,2022-03-08,8
Player 1,Strength Building,2022-03-09,3
Player 1,Strength Building,2022-03-10,9
Player 1,Strength Building,2022-03-14,7
Player 1,Strength Building,2022-03-16,10
Player 1,Strength Building,2022-03-17,10
Player 1,Strength Building,2022-03-18,9
Player 1,Strength Building,2022-03-21,5
Player 1,Strength Building,2022-03-22,10
Player 1,Strength Building,2022-03-24,10
Player 1,Strength Building,2022-03-25,5
Player 1,Strength Building,2022-03-28,9
Player 1,Strength Building,2022-03-29,9
Player 1,Strength Building,2022-03-30,6
Player 1,Strength Building,2022-04-01,7
Player 1,Strength Building,2022-04-04,8
Player 1,Strength Building,2022-04-05,8
Player 1,Strength Building,2022-04-06,4
Player 1,Strength Building,2022-04-07,4
Player 1,Strength Building,2022-04-08,7
Player 1,Strength Building,2022-04-20,7
Player 1,Strength Building,2022-04-21,8
Player 1,Strength Building,2022-04-25,7
Player 1,Strength Building,2022-04-26,5
Player 1,Strength Building,2022-04-28,7
Player 1,Strength Building,2022-04-29,10
Player 1,Strength Building,2022-05-03,10
Player 1,Strength Building,2022-05-04,10
Player 1,Strength Building,2022-05-05,7
Player 1,Strength Building,2022-05-06,3
Player 1,Strength Building,2022-05-09,4
Player 1,Strength Building,2022-05-10,7
Player 1,Strength Building,2022-05-12,7
Player 1,Strength Building,2022-05-13,9
Player 1,Strength Building,2022-05-17,6
