Flag,Player,Session,Score,Session Date
Actual,Player 1,Cardio,3,03/01/2022
Carried over,Player 1,Cardio,10,05/01/2022
Actual,Player 1,Cardio,10,04/01/2022
Actual,Player 1,Cardio,10,06/01/2022
Actual,Player 1,Cardio,7,07/01/2022
Actual,Player 1,Cardio,3,10/01/2022
Carried over,Player 1,Cardio,7,14/01/2022
Carried over,Player 1,Cardio,7,13/01/2022
Carried over,Player 1,Cardio,7,12/01/2022
Actual,Player 1,Cardio,7,11/01/2022
Actual,Player 1,Cardio,8,17/01/2022
Carried over,Player 1,Cardio,8,19/01/2022
Actual,Player 1,Cardio,8,18/01/2022
Carried over,Player 1,Cardio,6,21/01/2022
Actual,Player 1,Cardio,6,20/01/2022
Carried over,Player 1,Cardio,3,25/01/2022
Actual,Player 1,Cardio,3,24/01/2022
Carried over,Player 1,Cardio,4,28/01/2022
Carried over,Player 1,Cardio,4,27/01/2022
Actual,Player 1,Cardio,4,26/01/2022
Carried over,Player 1,Cardio,8,01/02/2022
Actual,Player 1,Cardio,8,31/01/2022
Actual,Player 1,Cardio,6,02/02/2022
Actual,Player 1,Cardio,10,03/02/2022
Carried over,Player 1,Cardio,8,08/02/2022
Carried over,Player 1,Cardio,8,07/02/2022
Actual,Player 1,Cardio,8,04/02/2022
Actual,Player 1,Cardio,7,09/02/2022
Actual,Player 1,Cardio,9,10/02/2022
Actual,Player 1,Cardio,9,11/02/2022
Actual,Player 1,Cardio,7,14/02/2022
Carried over,Player 1,Cardio,8,16/02/2022
Actual,Player 1,Cardio,8,15/02/2022
Actual,Player 1,Cardio,8,17/02/2022
Actual,Player 1,Cardio,10,18/02/2022
Carried over,Player 1,Cardio,6,22/02/2022
Actual,Player 1,Cardio,6,21/02/2022
Actual,Player 1,Cardio,9,23/02/2022
Actual,Player 1,Cardio,5,24/02/2022
Carried over,Player 1,Cardio,3,28/02/2022
Actual,Player 1,Cardio,3,25/02/2022
Carried over,Player 1,Cardio,5,02/03/2022
Actual,Player 1,Cardio,5,01/03/2022
Carried over,Player 1,Cardio,3,08/03/2022
Carried over,Player 1,Cardio,3,07/03/2022
Carried over,Player 1,Cardio,3,04/03/2022
Actual,Player 1,Cardio,3,03/03/2022
