Player,Session,Session Date,Score,Flag
Player 1,Strength Building,03/01/2022,10.000000,Actual
Player 1,Strength Building,04/01/2022,10.000000,Carried over
Player 1,Strength Building,05/01/2022,5.000000,Actual
Player 1,Strength Building,06/01/2022,10.000000,Actual
Player 1,Strength Building,07/01/2022,5.000000,Actual
Player 1,Strength Building,10/01/2022,6.000000,Actual
Player 1,Strength Building,11/01/2022,4.000000,Actual
Player 1,Strength Building,12/01/2022,4.000000,Carried over
Player 1,Strength Building,13/01/2022,4.000000,Carried over
Player 1,Strength Building,14/01/2022,4.000000,Carried over
Player 1,Strength Building,17/01/2022,9.000000,Actual
Player 1,Strength Building,18/01/2022,10.000000,Actual
Player 1,Strength Building,19/01/2022,10.000000,Carried over
Player 1,Strength Building,20/01/2022,5.000000,Actual
Player 1,Strength Building,21/01/2022,5.000000,Carried over
Player 1,Strength Building,24/01/2022,5.000000,Carried over
Player 1,Strength Building,25/01/2022,6.000000,Actual
Player 1,Strength Building,26/01/2022,10.000000,Actual
Player 1,Strength Building,27/01/2022,10.000000,Actual
Player 1,Strength Building,28/01/2022,3.000000,Actual
Player 1,Strength Building,31/01/2022,9.000000,Actual
Player 1,Strength Building,01/02/2022,8.000000,Actual
Player 1,Strength Building,02/02/2022,8.000000,Actual
Player 1,Strength Building,03/02/2022,10.000000,Actual
Player 1,Strength Building,04/02/2022,6.000000,Actual
Player 1,Strength Building,07/02/2022,6.000000,Carried over
Player 1,Strength Building,08/02/2022,6.000000,Carried over
Player 1,Strength Building,09/02/2022,6.000000,Carried over
Player 1,Strength Building,10/02/2022,5.000000,Actual
Player 1,Strength Building,11/02/2022,5.000000,Carried over
Player 1,Strength Building,14/02/2022,5.000000,Actual
Player 1,Strength Building,15/02/2022,8.000000,Actual
Player 1,Strength Building,16/02/2022,8.000000,Actual
Player 1,Strength Building,17/02/2022,5.000000,Actual
Player 1,Strength Building,18/02/2022,5.000000,Carried over
Player 1,Strength Building,21/02/2022,3.000000,Actual
Player 1,Strength Building,22/02/2022,8.000000,Actual
Player 1,Strength Building,23/02/2022,8.000000,Carried over
Player 1,Strength Building,24/02/2022,8.000000,Carried over
Player 1,Strength Building,25/02/2022,6.000000,Actual
Player 1,Strength Building,28/02/2022,4.000000,Actual
Player 1,Strength Building,01/03/2022,4.000000,Carried over
