Flag,Session Date,Player,Session,Score
Carried over,04/08/2021,Player 15,Agility,7
Carried over,03/08/2021,Player 15,Agility,7
Actual,02/08/2021,Player 15,Agility,7
Actual,05/08/2021,Player 15,Agility,3
Carried over,10/08/2021,Player 15,Agility,3
Carried over,09/08/2021,Player 15,Agility,3
Actual,06/08/2021,Player 15,Agility,3
Actual,11/08/2021,Player 15,Agility,9
Carried over,25/08/2021,Player 15,Agility,7
Carried over,24/08/2021,Player 15,Agility,7
Carried over,23/08/2021,Player 15,Agility,7
Carried over,20/08/2021,Player 15,Agility,7
Carried over,19/08/2021,Player 15,Agility,7
Carried over,18/08/2021,Player 15,Agility,7
Carried over,17/08/2021,Player 15,Agility,7
Carried over,16/08/2021,Player 15,Agility,7
Carried over,13/08/2021,Player 15,Agility,7
Actual,12/08/2021,Player 15,Agility,7
Actual,26/08/2021,Player 15,Agility,3
Carried over,30/08/2021,Player 15,Agility,7
Actual,27/08/2021,Player 15,Agility,7
Carried over,02/09/2021,Player 15,Agility,4
Carried over,01/09/2021,Player 15,Agility,4
Actual,31/08/2021,Player 15,Agility,4
Carried over,06/09/2021,Player 15,Agility,10
Actual,03/09/2021,Player 15,Agility,10
Actual,07/09/2021,Player 15,Agility,7
Actual,08/09/2021,Player 15,Agility,10
Carried over,15/09/2021,Player 15,Agility,10
Carried over,14/09/2021,Player 15,Agility,10
Carried over,13/09/2021,Player 15,Agility,10
Carried over,10/09/2021,Player 15,Agility,10
Actual,09/09/2021,Player 15,Agility,10
Actual,16/09/2021,Player 15,Agility,9
Actual,17/09/2021,Player 15,Agility,8
Carried over,21/09/2021,Player 15,Agility,9
Actual,20/09/2021,Player 15,Agility,9
Carried over,29/09/2021,Player 15,Agility,9
Carried over,28/09/2021,Player 15,Agility,9
Carried over,27/09/2021,Player 15,Agility,9
Carried over,24/09/2021,Player 15,Agility,9
Carried over,23/09/2021,Player 15,Agility,9
Actual,22/09/2021,Player 15,Agility,9
Actual,30/09/2021,Player 15,Agility,8
Carried over,05/10/2021,Player 15,Agility,8
Carried over,04/10/2021,Player 15,Agility,8
Actual,01/10/2021,Player 15,Agility,8
Carried over,07/10/2021,Player 15,Agility,4
Actual,06/10/2021,Player 15,Agility,4
Carried over,12/10/2021,Player 15,Agility,4
Carried over,11/10/2021,Player 15,Agility,4
Actual,08/10/2021,Player 15,Agility,4
Carried over,14/10/2021,Player 15,Agility,9
Actual,13/10/2021,Player 15,Agility,9
Carried over,19/10/2021,Player 15,Agility,7
Carried over,18/10/2021,Player 15,Agility,7
Actual,15/10/2021,Player 15,Agility,7
Actual,20/10/2021,Player 15,Agility,5
Actual,21/10/2021,Player 15,Agility,10
Carried over,09/11/2021,Player 15,Agility,8
Carried over,08/11/2021,Player 15,Agility,8
Carried over,05/11/2021,Player 15,Agility,8
Carried over,04/11/2021,Player 15,Agility,8
Carried over,03/11/2021,Player 15,Agility,8
Carried over,02/11/2021,Player 15,Agility,8
Carried over,01/11/2021,Player 15,Agility,8
Carried over,29/10/2021,Player 15,Agility,8
Carried over,28/10/2021,Player 15,Agility,8
Carried over,27/10/2021,Player 15,Agility,8
Carried over,26/10/2021,Player 15,Agility,8
Carried over,25/10/2021,Player 15,Agility,8
Actual,22/10/2021,Player 15,Agility,8
Actual,10/11/2021,Player 15,Agility,9
Carried over,17/11/2021,Player 15,Agility,4
Carried over,16/11/2021,Player 15,Agility,4
Carried over,15/11/2021,Player 15,Agility,4
Carried over,12/11/2021,Player 15,Agility,4
Actual,11/11/2021,Player 15,Agility,4
Actual,18/11/2021,Player 15,Agility,5
Carried over,24/11/2021,Player 15,Agility,10
Carried over,23/11/2021,Player 15,Agility,10
Carried over,22/11/2021,Player 15,Agility,10
Actual,19/11/2021,Player 15,Agility,10
Carried over,30/11/2021,Player 15,Agility,4
Carried over,29/11/2021,Player 15,Agility,4
Carried over,26/11/2021,Player 15,Agility,4
Actual,25/11/2021,Player 15,Agility,4
Carried over,02/12/2021,Player 15,Agility,7
Actual,01/12/2021,Player 15,Agility,7
Carried over,07/12/2021,Player 15,Agility,8
Carried over,06/12/2021,Player 15,Agility,8
Actual,03/12/2021,Player 15,Agility,8
Carried over,15/12/2021,Player 15,Agility,7
Carried over,14/12/2021,Player 15,Agility,7
Carried over,13/12/2021,Player 15,Agility,7
Carried over,10/12/2021,Player 15,Agility,7
Carried over,09/12/2021,Player 15,Agility,7
Actual,08/12/2021,Player 15,Agility,7
Actual,16/12/2021,Player 15,Agility,5
Carried over,21/12/2021,Player 15,Agility,3
