Store,Date,Sales,Profit
Notting Hill,01/03/2022,1048,563
Lewisham,01/09/2022,2888,197
Notting Hill,01/02/2022,5203,202
Wimbledon,01/10/2022,9679,-706
Lewisham,01/10/2022,2672,-172
Dulwich,01/06/2022,4952,-330
Notting Hill,01/09/2022,2621,-851
Wimbledon,01/03/2022,4855,492
Lewisham,01/06/2022,6893,877
Wimbledon,01/07/2022,4519,-680
Wimbledon,01/01/2022,2263,444
Dulwich,01/01/2022,9822,762
Dulwich,01/05/2022,9073,-125
Notting Hill,01/06/2022,1768,-918
Dulwich,01/04/2022,5386,-301
Notting Hill,01/07/2022,8945,552
Wimbledon,01/06/2022,4659,-394
Notting Hill,01/08/2022,5904,854
Dulwich,01/03/2022,3230,760
Notting Hill,01/05/2022,1896,630
Lewisham,01/01/2022,2909,-129
Dulwich,01/02/2022,4859,299
Wimbledon,01/02/2022,8531,27
Notting Hill,01/01/2022,6100,874
Dulwich,01/10/2022,6418,539
Wimbledon,01/08/2022,8556,284
Dulwich,01/07/2022,7273,574
Lewisham,01/04/2022,7443,-17
Lewisham,01/05/2022,6130,-658
Lewisham,01/03/2022,6262,-446
Lewisham,01/07/2022,4814,-340
Dulwich,01/09/2022,1257,474
Wimbledon,01/04/2022,5505,-87
Notting Hill,01/04/2022,5151,86
Dulwich,01/08/2022,9042,-795
Wimbledon,01/05/2022,7592,-251
Lewisham,01/02/2022,5393,960
Lewisham,01/08/2022,7549,775
Wimbledon,01/09/2022,8782,924
Notting Hill,01/10/2022,9385,656
