Store,Profit,Sales,Date
Dulwich,-301,5386,01/04/2022
Dulwich,-795,9042,01/08/2022
Dulwich,299,4859,01/02/2022
Dulwich,762,9822,01/01/2022
Dulwich,574,7273,01/07/2022
Dulwich,-330,4952,01/06/2022
Dulwich,760,3230,01/03/2022
Dulwich,-125,9073,01/05/2022
Dulwich,539,6418,01/10/2022
Dulwich,474,1257,01/09/2022
Lewisham,-17,7443,01/04/2022
Lewisham,775,7549,01/08/2022
Lewisham,960,5393,01/02/2022
Lewisham,-129,2909,01/01/2022
Lewisham,-340,4814,01/07/2022
Lewisham,877,6893,01/06/2022
Lewisham,-446,6262,01/03/2022
Lewisham,-658,6130,01/05/2022
Lewisham,-172,2672,01/10/2022
Lewisham,197,2888,01/09/2022
Notting Hill,86,5151,01/04/2022
Notting Hill,854,5904,01/08/2022
Notting Hill,202,5203,01/02/2022
Notting Hill,874,6100,01/01/2022
Notting Hill,552,8945,01/07/2022
Notting Hill,-918,1768,01/06/2022
Notting Hill,563,1048,01/03/2022
Notting Hill,630,1896,01/05/2022
Notting Hill,656,9385,01/10/2022
Notting Hill,-851,2621,01/09/2022
Wimbledon,-87,5505,01/04/2022
Wimbledon,284,8556,01/08/2022
Wimbledon,27,8531,01/02/2022
Wimbledon,444,2263,01/01/2022
Wimbledon,-680,4519,01/07/2022
Wimbledon,-394,4659,01/06/2022
Wimbledon,492,4855,01/03/2022
Wimbledon,-251,7592,01/05/2022
Wimbledon,-706,9679,01/10/2022
Wimbledon,924,8782,01/09/2022
