Region,Store,Date,Sales,Profit
Northern,Manchester,01/07/2022,9890,14
London,Notting Hill,01/02/2022,5203,202
Northern,Nottingham,01/04/2022,8638,67
London,Notting Hill,01/01/2022,6100,874
Scotland,Glasgow,01/05/2022,3159,-117
Northern,Manchester,01/05/2022,7336,20
London,Dulwich,01/03/2022,3230,760
Northern,Nottingham,01/08/2022,6840,-52
London,Wimbledon,01/04/2022,5505,-87
London,Lewisham,01/06/2022,6893,877
Wales,Cardiff,01/04/2022,2431,16
Scotland,Edinburgh,01/10/2022,9578,74
Northern,Nottingham,01/02/2022,4547,136
Northern,Manchester,01/09/2022,2230,-110
Scotland,Glasgow,01/01/2022,5378,-65
Wales,Cardiff,01/10/2022,2426,66
London,Lewisham,01/09/2022,2888,197
London,Wimbledon,01/09/2022,8782,924
London,Notting Hill,01/07/2022,8945,552
London,Dulwich,01/02/2022,4859,299
London,Wimbledon,01/10/2022,9679,-706
Wales,Cardiff,01/08/2022,8581,67
Northern,York,01/07/2022,9816,87
Northern,Manchester,01/10/2022,8385,-81
Northern,Nottingham,01/06/2022,2357,128
London,Wimbledon,01/06/2022,4659,-394
Northern,Manchester,01/03/2022,2969,-75
Northern,Nottingham,01/07/2022,5156,-173
London,Dulwich,01/08/2022,9042,-795
London,Lewisham,01/02/2022,5393,960
London,Lewisham,01/04/2022,7443,-17
London,Lewisham,01/08/2022,7549,775
London,Notting Hill,01/03/2022,1048,563
Northern,Nottingham,01/01/2022,1055,-196
London,Dulwich,01/09/2022,1257,474
Scotland,Glasgow,01/10/2022,1811,-132
London,Wimbledon,01/07/2022,4519,-680
Northern,Manchester,01/01/2022,4689,-107
Scotland,Edinburgh,01/07/2022,6386,-51
Northern,York,01/04/2022,6714,17
Northern,Nottingham,01/10/2022,7815,-166
London,Wimbledon,01/05/2022,7592,-251
Northern,Nottingham,01/03/2022,4433,-47
Scotland,Glasgow,01/09/2022,4463,-20
Wales,Cardiff,01/09/2022,9720,68
Scotland,Edinburgh,01/05/2022,8799,138
London,Dulwich,01/10/2022,6418,539
Scotland,Glasgow,01/03/2022,8726,92
Wales,Cardiff,01/03/2022,1416,91
London,Notting Hill,01/10/2022,9385,656
Scotland,Edinburgh,01/03/2022,2379,-4
Scotland,Glasgow,01/04/2022,6415,-116
Wales,Cardiff,01/05/2022,7494,-47
London,Notting Hill,01/05/2022,1896,630
London,Wimbledon,01/02/2022,8531,27
London,Wimbledon,01/08/2022,8556,284
Wales,Cardiff,01/02/2022,2249,79
London,Wimbledon,01/03/2022,4855,492
Scotland,Glasgow,01/06/2022,2406,112
Northern,Manchester,01/06/2022,4504,-17
Northern,York,01/02/2022,3862,-169
Wales,Cardiff,01/01/2022,2752,-62
Wales,Cardiff,01/06/2022,8981,-1
London,Lewisham,01/05/2022,6130,-658
Scotland,Edinburgh,01/04/2022,8011,-43
Scotland,Edinburgh,01/01/2022,9221,92
Scotland,Glasgow,01/02/2022,3995,125
London,Lewisham,01/01/2022,2909,-129
London,Dulwich,01/05/2022,9073,-125
Northern,Manchester,01/08/2022,5066,-3
London,Notting Hill,01/04/2022,5151,86
London,Dulwich,01/04/2022,5386,-301
London,Notting Hill,01/09/2022,2621,-851
Scotland,Edinburgh,01/09/2022,2315,32
Northern,Manchester,01/02/2022,1606,-144
Northern,York,01/05/2022,3841,-191
Scotland,Edinburgh,01/06/2022,1445,86
Northern,York,01/10/2022,7258,56
Northern,York,01/09/2022,4712,-40
Northern,York,01/03/2022,7664,-129
Northern,York,01/08/2022,2243,-172
London,Wimbledon,01/01/2022,2263,444
London,Notting Hill,01/06/2022,1768,-918
London,Dulwich,01/06/2022,4952,-330
London,Dulwich,01/07/2022,7273,574
Northern,York,01/06/2022,1397,-39
Scotland,Glasgow,01/07/2022,4349,-6
Northern,Manchester,01/04/2022,7752,-172
Wales,Cardiff,01/07/2022,1123,-37
Scotland,Edinburgh,01/08/2022,3119,-84
London,Lewisham,01/03/2022,6262,-446
Scotland,Edinburgh,01/02/2022,9535,-98
Northern,Nottingham,01/05/2022,6548,-121
London,Lewisham,01/10/2022,2672,-172
London,Dulwich,01/01/2022,9822,762
London,Notting Hill,01/08/2022,5904,854
Northern,York,01/01/2022,2917,-166
Northern,Nottingham,01/09/2022,4737,-5
Scotland,Glasgow,01/08/2022,1243,-6
London,Lewisham,01/07/2022,4814,-340
