Store,Date,Profit,Sales,Region
Dulwich,01/01/2022,762,9822,London
Dulwich,01/02/2022,299,4859,London
Dulwich,01/03/2022,760,3230,London
Dulwich,01/04/2022,-301,5386,London
Dulwich,01/05/2022,-125,9073,London
Dulwich,01/06/2022,-330,4952,London
Dulwich,01/07/2022,574,7273,London
Dulwich,01/08/2022,-795,9042,London
Dulwich,01/09/2022,474,1257,London
Dulwich,01/10/2022,539,6418,London
Lewisham,01/01/2022,-129,2909,London
Lewisham,01/02/2022,960,5393,London
Lewisham,01/03/2022,-446,6262,London
Lewisham,01/04/2022,-17,7443,London
Lewisham,01/05/2022,-658,6130,London
Lewisham,01/06/2022,877,6893,London
Lewisham,01/07/2022,-340,4814,London
Lewisham,01/08/2022,775,7549,London
Lewisham,01/09/2022,197,2888,London
Lewisham,01/10/2022,-172,2672,London
Notting Hill,01/01/2022,874,6100,London
Notting Hill,01/02/2022,202,5203,London
Notting Hill,01/03/2022,563,1048,London
Notting Hill,01/04/2022,86,5151,London
Notting Hill,01/05/2022,630,1896,London
Notting Hill,01/06/2022,-918,1768,London
Notting Hill,01/07/2022,552,8945,London
Notting Hill,01/08/2022,854,5904,London
Notting Hill,01/09/2022,-851,2621,London
Notting Hill,01/10/2022,656,9385,London
Wimbledon,01/01/2022,444,2263,London
Wimbledon,01/02/2022,27,8531,London
Wimbledon,01/03/2022,492,4855,London
Wimbledon,01/04/2022,-87,5505,London
Wimbledon,01/05/2022,-251,7592,London
Wimbledon,01/06/2022,-394,4659,London
Wimbledon,01/07/2022,-680,4519,London
Wimbledon,01/08/2022,284,8556,London
Wimbledon,01/09/2022,924,8782,London
Wimbledon,01/10/2022,-706,9679,London
Manchester,01/01/2022,-107,4689,Northern
Manchester,01/02/2022,-144,1606,Northern
Manchester,01/03/2022,-75,2969,Northern
Manchester,01/04/2022,-172,7752,Northern
Manchester,01/05/2022,20,7336,Northern
Manchester,01/06/2022,-17,4504,Northern
Manchester,01/07/2022,14,9890,Northern
Manchester,01/08/2022,-3,5066,Northern
Manchester,01/09/2022,-110,2230,Northern
Manchester,01/10/2022,-81,8385,Northern
Nottingham,01/01/2022,-196,1055,Northern
Nottingham,01/02/2022,136,4547,Northern
Nottingham,01/03/2022,-47,4433,Northern
Nottingham,01/04/2022,67,8638,Northern
Nottingham,01/05/2022,-121,6548,Northern
Nottingham,01/06/2022,128,2357,Northern
Nottingham,01/07/2022,-173,5156,Northern
Nottingham,01/08/2022,-52,6840,Northern
Nottingham,01/09/2022,-5,4737,Northern
Nottingham,01/10/2022,-166,7815,Northern
York,01/01/2022,-166,2917,Northern
York,01/02/2022,-169,3862,Northern
York,01/03/2022,-129,7664,Northern
York,01/04/2022,17,6714,Northern
York,01/05/2022,-191,3841,Northern
York,01/06/2022,-39,1397,Northern
York,01/07/2022,87,9816,Northern
York,01/08/2022,-172,2243,Northern
York,01/09/2022,-40,4712,Northern
York,01/10/2022,56,7258,Northern
Edinburgh,01/01/2022,92,9221,Scotland
Edinburgh,01/02/2022,-98,9535,Scotland
Edinburgh,01/03/2022,-4,2379,Scotland
Edinburgh,01/04/2022,-43,8011,Scotland
Edinburgh,01/05/2022,138,8799,Scotland
Edinburgh,01/06/2022,86,1445,Scotland
Edinburgh,01/07/2022,-51,6386,Scotland
Edinburgh,01/08/2022,-84,3119,Scotland
Edinburgh,01/09/2022,32,2315,Scotland
Edinburgh,01/10/2022,74,9578,Scotland
Glasgow,01/01/2022,-65,5378,Scotland
Glasgow,01/02/2022,125,3995,Scotland
Glasgow,01/03/2022,92,8726,Scotland
Glasgow,01/04/2022,-116,6415,Scotland
Glasgow,01/05/2022,-117,3159,Scotland
Glasgow,01/06/2022,112,2406,Scotland
Glasgow,01/07/2022,-6,4349,Scotland
Glasgow,01/08/2022,-6,1243,Scotland
Glasgow,01/09/2022,-20,4463,Scotland
Glasgow,01/10/2022,-132,1811,Scotland
Cardiff,01/01/2022,-62,2752,Wales
Cardiff,01/02/2022,79,2249,Wales
Cardiff,01/03/2022,91,1416,Wales
Cardiff,01/04/2022,16,2431,Wales
Cardiff,01/05/2022,-47,7494,Wales
Cardiff,01/06/2022,-1,8981,Wales
Cardiff,01/07/2022,-37,1123,Wales
Cardiff,01/08/2022,67,8581,Wales
Cardiff,01/09/2022,68,9720,Wales
Cardiff,01/10/2022,66,2426,Wales
