Prime Ministers,Start Date PM,End Date PM,Chelsea Managers,Matches,Matches Won,Matches Lost,Matches Drawn,Win %
Edward Heath,19/06/1970,04/03/1974,1,205,84,59,62,0.41
Harold Macmillan,10/01/1957,18/10/1963,2,305,116,132,57,0.38
Boris Johnson,24/07/2019,05/09/2022,2,181,102,38,41,0.56
John Major,28/11/1990,02/05/1997,5,330,119,109,102,0.36
Tony Blair,02/05/1997,27/06/2007,4,554,322,106,126,0.58
Theresa May,13/07/2016,24/07/2019,3,167,108,30,29,0.65
Liz Truss,05/09/2022,25/10/2022,2,10,6,1,3,0.6
Rishi Sunak,25/10/2022,03/11/2022,1,3,2,1,0,0.67
Harold Wilson,04/03/1974,05/04/1976,3,100,28,39,33,0.28
Margaret Thatcher,04/05/1979,28/11/1990,6,550,225,164,161,0.41
Gordon Brown,27/06/2007,11/05/2010,5,173,113,20,40,0.65
Clement Attlee,26/07/1945,26/10/1951,1,251,82,106,63,0.33
David Cameron,11/05/2010,13/07/2016,8,344,191,72,81,0.56
James Callaghan,05/04/1976,04/05/1979,3,141,41,58,42,0.29
Sir Winston Churchill,26/10/1951,05/04/1955,2,170,64,58,48,0.38
Sir Winston Churchill,10/05/1940,26/07/1945,1,0,0,0,0,
Sir Anthony Eden,06/04/1955,09/01/1957,1,80,25,28,27,0.31
Sir Alec Douglas-Home,19/10/1963,16/10/1964,1,46,27,10,9,0.59
Harold Wilson,16/10/1964,19/06/1970,3,310,153,80,77,0.49
