Prime Ministers,Start Date PM,End Date PM,Chelsea Managers,Matches Drawn,Matches Lost,Matches Won,Matches,Win %
Sir Winston Churchill,10/05/1940,26/07/1945,1,0.0,0.0,0.0,0.0,
Clement Attlee,26/07/1945,26/10/1951,1,63.0,106.0,82.0,251.0,0.33
Sir Winston Churchill,26/10/1951,05/04/1955,2,48.0,58.0,64.0,170.0,0.38
Sir Anthony Eden,06/04/1955,09/01/1957,1,27.0,28.0,25.0,80.0,0.31
Harold Macmillan,10/01/1957,18/10/1963,2,57.0,132.0,116.0,305.0,0.38
Sir Alec Douglas-Home,19/10/1963,16/10/1964,1,9.0,10.0,27.0,46.0,0.59
Harold Wilson,16/10/1964,19/06/1970,3,77.0,80.0,153.0,310.0,0.49
Edward Heath,19/06/1970,04/03/1974,1,62.0,59.0,84.0,205.0,0.41
Harold Wilson,04/03/1974,05/04/1976,3,33.0,39.0,28.0,100.0,0.28
James Callaghan,05/04/1976,04/05/1979,3,42.0,58.0,41.0,141.0,0.29
Margaret Thatcher,04/05/1979,28/11/1990,6,161.0,165.0,225.0,551.0,0.41
John Major,28/11/1990,02/05/1997,5,102.0,109.0,119.0,330.0,0.36
Tony Blair,02/05/1997,27/06/2007,4,126.0,106.0,323.0,555.0,0.58
Gordon Brown,27/06/2007,11/05/2010,5,40.0,20.0,114.0,174.0,0.66
David Cameron,11/05/2010,13/07/2016,8,81.0,72.0,190.0,343.0,0.55
Theresa May,13/07/2016,24/07/2019,3,29.0,30.0,108.0,167.0,0.65
Boris Johnson,24/07/2019,05/09/2022,2,41.0,38.0,102.0,181.0,0.56
Liz Truss,05/09/2022,25/10/2022,2,3.0,1.0,6.0,10.0,0.6
Rishi Sunak,25/10/2022,02/03/2023,1,0.0,1.0,2.0,3.0,0.67
