"Competitors","Pts","G1","G2","G3","G4","G5","G6","G7","G8","W","L","T","event","description","note"
"Patrick Barrie (ETwA)","25","3","3","4","1","6","5","3",NA,3,4,0,"World Singles 71","18 October 2019 · Cambridge · Cambridgeshire · England · UK · CB2 3AP",""
"Larry Kahn (NATwA)","24","4","4","3","6","1","2","4",NA,4,3,0,"World Singles 71","18 October 2019 · Cambridge · Cambridgeshire · England · UK · CB2 3AP",""
"Patrick Barrie (ETwA)","25","6*","1","4","7*","6","1",NA,NA,4,2,0,"World Singles 70","28 April 2017 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",""
"Larry Kahn (NATwA)","17","1*","6","3","0*","1","6",NA,NA,2,4,0,"World Singles 70","28 April 2017 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",""
"Larry Kahn (NATwA)","28","6","6*","5*","6","5",NA,NA,NA,5,0,0,"World Singles 69","29 April 2016 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",""
"Patrick Barrie (ETwA)","7","1","1*","2*","1","2",NA,NA,NA,0,5,0,"World Singles 69","29 April 2016 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",""
"Larry Kahn (NATwA)","25","3","3","4","4","4","6","1*",NA,4,3,0,"World Singles 68","24 April 2015 · Emmanuel College · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",""
"Patrick Barrie (ETwA)","24","4","4","3","3","3","1","6*",NA,3,4,0,"World Singles 68","24 April 2015 · Emmanuel College · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",""
"Patrick Barrie (ETwA)","26","1*","3","7*","4","2","3","6*",NA,3,4,0,"World Singles 67","24 October 2013 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",""
"Larry Kahn (NATwA)","23","6*","4","0*","3","5","4","1*",NA,4,3,0,"World Singles 67","24 October 2013 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",""
"Larry Kahn (NATwA)","28½","6","6*","5*","1*","1½","3","6",NA,4,3,0,"World Singles 66","26 October 2012 · Cambridge · Cambridgeshire · England · UK",""
"Patrick Barrie (ETwA)","20½","1","1*","2*","6*","5½","4","1",NA,3,4,0,"World Singles 66","26 October 2012 · Cambridge · Cambridgeshire · England · UK",""
