status_before_withdrawal,total_in_status,withdrawals,pct_withdrawn
Application Completed,225,6,2.7
Application Reviewed,219,3,1.4
Application Terminated,80,0,0.0
Candidate Withdrew,22,0,0.0
Offer Accepted,20,0,0.0
Offer Extended,21,0,0.0
Offer Rejected,1,0,0.0
On-Site Interview Completed,61,0,0.0
On-Site Interview Requested,68,0,0.0
On-Site Interview Scheduled,68,7,10.3
On-Site Interview Terminated,40,0,0.0
Phone Interview Completed,131,1,0.8
Phone Interview Requested,138,4,2.9
Phone Interview Scheduled,132,1,0.8
Phone Interview Terminated,62,0,0.0
Profile Created,225,0,0.0
