ID,Joining Date,Account Type,Date of Birth,Ethnicity
984843,28/04/2023,Platinum,23/09/1958,Asian
663516,25/04/2023,Gold,07/11/1996,Other
332370,21/08/2023,Basic,26/10/2002,White
826580,28/09/2023,Gold,06/09/1975,Black
929308,05/01/2023,Basic,19/10/2004,Other
595254,06/11/2023,Platinum,06/05/1942,Other
630270,23/08/2023,Platinum,26/01/1964,Other
716900,18/12/2023,Gold,30/09/2003,Asian
642548,08/08/2023,Gold,01/06/2017,Black
863243,01/01/2023,Platinum,30/12/2007,Other
723823,31/05/2023,Basic,17/05/2005,White
430898,11/06/2023,Basic,04/05/1947,Other
458824,19/04/2023,Basic,03/08/1967,Asian
743567,12/09/2023,Platinum,19/09/1971,Other
993967,15/02/2023,Platinum,23/02/1951,Asian
279177,07/11/2023,Basic,26/02/1967,White
940601,09/02/2023,Platinum,04/08/2011,Other
797127,19/04/2023,Platinum,26/06/1987,Black
201696,14/01/2023,Gold,05/02/1996,Asian
221229,13/03/2023,Platinum,26/02/1965,White
664634,06/02/2023,Basic,05/03/1952,Black
333873,16/08/2023,Platinum,31/08/1994,Black
439709,05/10/2023,Basic,21/08/2009,Other
112430,19/07/2023,Basic,08/12/1948,White
913984,15/02/2023,Platinum,06/09/2008,White
237507,02/12/2023,Basic,06/04/1944,Black
720946,26/11/2023,Basic,07/06/1984,White
158058,28/10/2023,Platinum,07/02/1955,Other
212881,16/07/2023,Platinum,19/03/2002,Black
271167,15/12/2023,Platinum,23/05/1944,Asian
625189,24/10/2023,Gold,19/07/1985,Other
808528,26/11/2023,Gold,05/04/1992,White
994611,10/01/2023,Basic,19/06/1994,Black
964885,31/07/2023,Basic,05/01/1990,Asian
830903,07/06/2023,Gold,03/03/1994,Other
313159,27/02/2023,Platinum,23/09/2008,White
884641,12/02/2023,Basic,20/02/1970,Other
385540,30/09/2023,Gold,01/02/1943,White
907496,09/06/2023,Platinum,22/12/2002,Asian
546446,23/09/2023,Basic,31/03/1973,White
152219,03/09/2023,Basic,18/11/1968,Black
210741,15/05/2023,Gold,08/01/1985,White
485343,14/08/2023,Gold,21/06/1945,Other
497082,08/05/2023,Platinum,03/01/1969,Other
178058,29/03/2023,Gold,01/01/1988,Black
994016,29/03/2023,Platinum,29/03/1955,Other
347274,09/04/2023,Basic,17/06/1993,Black
200988,24/02/2023,Platinum,08/10/1969,Asian
423343,27/10/2023,Basic,25/07/1947,White
867729,03/02/2023,Basic,24/04/1957,Black
554998,16/12/2023,Platinum,06/11/1997,Black
582577,11/03/2023,Gold,24/01/1999,Black
569706,18/03/2023,Gold,16/05/2014,Asian
674869,13/01/2023,Platinum,06/06/1991,Asian
166958,27/08/2023,Platinum,02/05/1947,Black
103488,28/08/2023,Basic,26/09/1957,Other
372488,20/04/2023,Basic,13/07/1974,Other
596558,17/01/2023,Gold,22/03/1951,Black
129983,07/11/2023,Basic,12/04/2001,Asian
382180,16/09/2023,Platinum,14/12/1975,Other
951213,31/08/2023,Basic,29/08/1982,Asian
101515,14/04/2023,Gold,11/08/1974,Black
875629,20/05/2023,Basic,04/06/1950,Other
572462,29/07/2023,Platinum,29/05/1965,Black
720200,21/09/2023,Basic,24/12/1996,Other
354147,20/12/2023,Gold,14/04/2019,Black
316468,23/07/2023,Gold,22/09/1963,Asian
729571,26/06/2023,Platinum,01/08/2004,Black
771144,08/04/2023,Basic,21/10/1962,Asian
285157,21/04/2023,Gold,16/01/2010,Asian
398707,22/08/2023,Gold,03/05/2012,Black
334199,05/12/2023,Gold,11/05/2003,White
336949,27/02/2023,Platinum,20/12/1976,White
306487,14/01/2023,Basic,26/06/1970,Black
115026,01/08/2023,Basic,26/02/1993,Asian
497693,19/09/2023,Platinum,14/03/1970,Other
824746,23/11/2023,Platinum,29/11/1984,Black
803346,08/10/2023,Gold,17/09/2015,Other
825747,04/08/2023,Basic,07/10/1958,Black
704688,28/12/2023,Basic,02/01/2017,Other
905817,17/02/2023,Gold,24/04/1969,Other
114484,20/07/2023,Basic,19/01/1987,Black
478687,05/04/2023,Platinum,13/05/1999,White
467374,24/04/2023,Gold,03/01/2006,Black
528074,13/09/2023,Gold,26/05/2013,Other
698182,20/02/2023,Gold,28/12/1960,Asian
336329,28/06/2023,Platinum,23/01/1947,White
638662,05/04/2023,Basic,04/03/2008,Black
305931,09/02/2023,Platinum,01/10/2011,Other
739156,27/07/2023,Platinum,20/10/1976,White
489429,01/07/2023,Platinum,16/11/2007,Black
338686,25/06/2023,Gold,17/12/1979,White
543527,12/10/2023,Gold,23/02/2013,Other
499282,18/03/2023,Platinum,14/06/2019,Other
414182,30/08/2023,Gold,24/01/1973,White
174968,10/01/2023,Platinum,30/09/1980,Other
753670,14/11/2023,Basic,04/12/1991,Black
694902,21/11/2023,Basic,30/03/2001,Asian
701647,22/10/2023,Platinum,27/04/1954,Other
549892,30/08/2023,Gold,05/07/1959,Asian
881176,25/04/2023,Basic,18/01/1979,Other
145716,05/09/2023,Gold,20/03/1995,Asian
970794,26/06/2023,Platinum,01/11/1969,Asian
