Transaction Code,Value,Customer Code,Online or In-Person,Transaction Date
DTB-716-679-576,1448,100001,2,20/03/2023 00:00:00
DS-795-814-303,7839,100001,2,15/11/2023 00:00:00
DSB-807-592-406,5520,100005,1,14/07/2023 00:00:00
DS-367-545-264,7957,100007,2,18/08/2023 00:00:00
DSB-474-374-857,5375,100000,2,26/08/2023 00:00:00
DSB-448-546-348,4525,100009,1,27/05/2023 00:00:00
DS-213-969-866,2321,100007,2,04/01/2023 00:00:00
DS-341-615-729,1967,100004,1,22/01/2023 00:00:00
DTB-200-951-620,8105,100003,2,10/01/2023 00:00:00
DS-481-733-170,7908,100008,2,26/11/2023 00:00:00
DTB-625-200-665,8772,100009,2,03/03/2023 00:00:00
DSB-422-218-322,118,100010,1,12/05/2023 00:00:00
DSB-669-227-170,830,100001,1,15/04/2023 00:00:00
DS-350-414-539,1309,100005,1,02/05/2023 00:00:00
DSB-694-734-879,2735,100009,1,16/11/2023 00:00:00
DTB-210-744-537,5053,100003,1,08/09/2023 00:00:00
DTB-395-412-673,4305,100000,2,29/03/2023 00:00:00
DTB-849-468-150,8573,100010,1,01/05/2023 00:00:00
DS-827-477-284,6423,100002,2,01/11/2023 00:00:00
DSB-285-481-368,3289,100005,2,18/11/2023 00:00:00
DTB-376-157-113,1428,100000,1,31/05/2023 00:00:00
DS-812-253-860,8805,100006,1,26/07/2023 00:00:00
DTB-148-931-227,4684,100010,2,26/02/2023 00:00:00
DS-151-159-356,4209,100003,2,19/07/2023 00:00:00
DTB-879-606-315,2006,100002,2,23/03/2023 00:00:00
DSB-736-207-386,5726,100001,2,23/05/2023 00:00:00
DTB-674-351-540,8906,100006,1,31/08/2023 00:00:00
DTB-671-331-311,7103,100000,1,25/05/2023 00:00:00
DSB-460-438-644,1873,100002,1,05/06/2023 00:00:00
DTB-282-579-579,8872,100000,2,11/11/2023 00:00:00
DTB-503-676-601,1428,100005,2,17/12/2023 00:00:00
DTB-583-201-191,1582,100005,1,29/10/2023 00:00:00
DTB-591-795-428,1273,100010,1,07/06/2023 00:00:00
DS-572-444-870,2916,100000,1,29/07/2023 00:00:00
DS-546-394-608,8867,100002,2,13/08/2023 00:00:00
DSB-329-539-882,7759,100009,1,17/11/2023 00:00:00
DS-935-899-967,4160,100010,1,24/06/2023 00:00:00
DTB-740-461-459,7017,100010,1,20/01/2023 00:00:00
DSB-839-525-960,5285,100003,2,04/07/2023 00:00:00
DS-601-340-151,5177,100004,2,21/05/2023 00:00:00
DSB-916-313-878,891,100004,1,23/08/2023 00:00:00
DTB-387-329-401,8191,100008,2,28/07/2023 00:00:00
DS-300-637-714,7768,100006,2,13/11/2023 00:00:00
DTB-363-112-552,3723,100008,2,14/01/2023 00:00:00
DTB-893-876-909,1725,100010,2,10/04/2023 00:00:00
DS-909-642-426,1487,100004,1,26/06/2023 00:00:00
