Transaction Date,Bank,Value,Bank Rank per Month,Avg Transaction Value per Rank,Avg Rank per Bank
August,DS,102237,1,66967.75,1.916666667
August,DTB,66063,2,48633.666666667,1.75
August,DSB,38167,3,34620.833333333,2.333333333
March,DTB,80358,1,66967.75,1.75
March,DSB,78480,2,48633.666666667,2.333333333
March,DS,36799,3,34620.833333333,1.916666667
June,DSB,64642,1,66967.75,2.333333333
June,DS,55182,2,48633.666666667,1.916666667
June,DTB,19720,3,34620.833333333,1.75
February,DTB,43400,1,66967.75,1.75
February,DS,31204,2,48633.666666667,1.916666667
February,DSB,28622,3,34620.833333333,2.333333333
May,DTB,58384,1,66967.75,1.75
May,DSB,45000,2,48633.666666667,2.333333333
May,DS,38715,3,34620.833333333,1.916666667
October,DS,70993,1,66967.75,1.916666667
October,DTB,58924,2,48633.666666667,1.75
October,DSB,41707,3,34620.833333333,2.333333333
April,DTB,42360,1,66967.75,1.75
April,DS,40785,2,48633.666666667,1.916666667
April,DSB,30317,3,34620.833333333,2.333333333
November,DS,96868,1,66967.75,1.916666667
November,DSB,42639,2,48633.666666667,2.333333333
November,DTB,37385,3,34620.833333333,1.75
July,DSB,71515,1,66967.75,2.333333333
July,DTB,57589,2,48633.666666667,1.75
July,DS,55002,3,34620.833333333,1.916666667
January,DTB,67063,1,66967.75,1.75
January,DS,50207,2,48633.666666667,1.916666667
January,DSB,45036,3,34620.833333333,2.333333333
December,DTB,63797,1,66967.75,1.75
December,DS,33952,2,48633.666666667,1.916666667
December,DSB,20785,3,34620.833333333,2.333333333
September,DS,41996,1,66967.75,1.916666667
September,DSB,23579,2,48633.666666667,2.333333333
September,DTB,23195,3,34620.833333333,1.75
