Transaction Date,Bank,Value,Bank Rank per Month,Avg Transaction Value per Rank,Avg Rank per Bank
April,DSB,30317,3,34620.833333333336,2.3333333333333335
July,DS,55002,3,34620.833333333336,1.9166666666666667
April,DTB,42360,1,66967.75,1.75
September,DS,41996,1,66967.75,1.9166666666666667
December,DS,33952,2,48633.666666666664,1.9166666666666667
August,DSB,38167,3,34620.833333333336,2.3333333333333335
May,DTB,58384,1,66967.75,1.75
October,DS,70993,1,66967.75,1.9166666666666667
February,DS,31204,2,48633.666666666664,1.9166666666666667
March,DS,36799,3,34620.833333333336,1.9166666666666667
January,DSB,45036,3,34620.833333333336,2.3333333333333335
November,DS,96868,1,66967.75,1.9166666666666667
May,DSB,45000,2,48633.666666666664,2.3333333333333335
January,DTB,67063,1,66967.75,1.75
August,DTB,66063,2,48633.666666666664,1.75
June,DS,55182,2,48633.666666666664,1.9166666666666667
July,DTB,57589,2,48633.666666666664,1.75
December,DSB,20785,3,34620.833333333336,2.3333333333333335
September,DSB,23579,2,48633.666666666664,2.3333333333333335
July,DSB,71515,1,66967.75,2.3333333333333335
September,DTB,23195,3,34620.833333333336,1.75
December,DTB,63797,1,66967.75,1.75
April,DS,40785,2,48633.666666666664,1.9166666666666667
March,DTB,80358,1,66967.75,1.75
May,DS,38715,3,34620.833333333336,1.9166666666666667
November,DSB,42639,2,48633.666666666664,2.3333333333333335
February,DTB,43400,1,66967.75,1.75
June,DSB,64642,1,66967.75,2.3333333333333335
October,DTB,58924,2,48633.666666666664,1.75
August,DS,102237,1,66967.75,1.9166666666666667
January,DS,50207,2,48633.666666666664,1.9166666666666667
November,DTB,37385,3,34620.833333333336,1.75
June,DTB,19720,3,34620.833333333336,1.75
October,DSB,41707,3,34620.833333333336,2.3333333333333335
March,DSB,78480,2,48633.666666666664,2.3333333333333335
February,DSB,28622,3,34620.833333333336,2.3333333333333335
