Customer ID,Mobile App - Ease of Use,Mobile App - Ease of Access,Mobile App - Navigation,Mobile App - Likelihood to Recommend,Mobile App - Overall Rating,Online Interface - Ease of Use,Online Interface - Ease of Access,Online Interface - Navigation,Online Interface - Likelihood to Recommend,Online Interface - Overall Rating
535084,2,1,5,4,1,4,4,5,2,3
250892,3,5,4,4,2,5,5,2,4,3
544191,5,3,4,4,1,3,3,2,3,1
949343,2,5,4,3,1,1,4,3,5,1
915305,3,1,2,1,1,4,2,4,3,2
304319,4,4,5,1,4,4,5,3,5,4
564184,5,3,2,2,3,3,1,3,4,4
502340,5,1,5,3,2,2,2,2,2,3
951386,4,1,4,4,3,5,1,5,3,3
236296,5,3,5,1,3,1,1,3,4,5
199140,4,4,5,3,4,3,5,4,4,2
625873,3,3,2,5,2,1,4,2,2,2
615580,1,2,4,2,1,1,1,4,1,1
299629,2,4,4,5,3,2,4,3,4,2
948218,2,5,5,3,5,2,4,1,3,2
675929,5,4,2,4,2,5,5,4,2,3
380852,5,3,1,3,2,1,5,3,3,3
777929,2,4,1,3,5,5,1,4,3,1
855583,3,4,5,1,3,3,5,2,4,1
388715,1,4,5,5,3,4,4,5,1,1
731145,3,2,4,4,2,2,4,1,3,2
285539,1,1,2,3,5,4,5,5,1,2
251293,2,2,5,1,5,5,5,5,1,4
983414,3,3,3,5,3,2,1,5,2,5
488885,1,5,2,5,3,2,1,4,1,4
434467,5,5,5,1,3,4,1,1,5,2
358291,2,3,4,1,3,5,3,4,1,1
594701,3,1,4,3,3,1,4,4,2,1
273432,2,3,2,1,4,4,3,1,2,1
964634,2,2,3,1,2,2,2,1,5,3
453169,5,5,2,4,3,4,3,5,1,1
820974,2,4,4,5,2,5,4,1,3,4
680311,4,1,3,2,4,3,2,2,4,4
977752,4,5,4,1,4,4,3,5,4,5
326312,4,4,1,5,5,2,2,4,3,5
431164,1,3,1,5,4,4,5,1,3,5
168833,5,1,4,1,5,2,3,4,5,3
457127,2,4,3,2,2,3,1,1,1,5
241753,1,1,1,1,2,2,4,3,3,1
284241,2,3,5,3,1,5,5,2,1,1
558664,4,5,3,2,3,1,5,1,3,3
189544,4,4,2,1,4,1,1,2,3,4
662807,1,5,4,5,2,1,4,3,5,1
523999,4,4,2,2,4,1,5,2,4,4
791255,4,2,2,5,1,4,2,2,1,1
657298,5,5,2,2,2,5,2,5,3,1
864316,4,1,2,3,4,4,1,1,3,1
918223,3,3,2,5,1,3,1,2,4,4
660864,2,2,3,1,2,1,2,3,5,4
460082,2,4,1,4,4,4,5,4,5,5
758792,2,1,1,1,1,1,4,5,1,2
913778,2,4,1,3,3,4,3,2,2,4
214622,2,2,4,1,2,5,2,1,2,4
112862,2,1,5,5,5,4,5,3,2,3
377345,5,3,5,5,5,4,4,2,2,3
423730,1,2,2,3,5,2,2,2,4,4
361884,2,1,5,2,1,5,1,4,5,2
692899,3,4,1,4,4,1,2,4,5,1
365881,1,3,4,5,1,2,4,1,2,2
315288,4,1,4,5,1,4,2,5,4,1
150299,2,1,2,5,1,3,5,1,2,1
311376,1,4,5,2,3,3,2,3,4,1
125074,4,3,2,2,1,3,4,5,3,4
961254,2,3,3,1,3,5,4,2,1,4
690440,4,2,5,5,2,5,5,1,5,2
548403,5,1,3,5,5,2,3,2,1,3
786195,2,4,5,5,4,1,1,4,3,2
130688,2,3,4,2,2,4,4,3,1,5
614516,4,4,3,4,3,3,3,3,5,1
800308,2,2,2,5,4,4,3,2,1,1
101650,1,4,2,2,2,4,5,1,2,5
560560,5,1,3,3,4,1,2,5,4,4
726330,1,5,4,4,3,2,2,2,5,4
765055,1,4,4,4,2,2,1,1,1,5
660102,2,3,4,2,3,1,1,1,4,2
790030,2,5,5,4,1,1,2,1,3,3
722546,5,5,4,5,5,4,3,4,3,3
460654,4,5,2,1,1,3,5,5,3,1
336150,2,2,4,2,1,3,3,5,3,5
519920,4,5,2,2,2,2,3,5,5,4
254901,4,4,3,4,5,5,2,3,1,2
772060,4,1,1,2,5,2,5,3,1,5
509735,2,4,1,2,2,4,2,5,5,2
538505,4,4,5,1,1,1,5,5,5,1
254467,3,3,4,5,2,1,2,3,2,2
977809,5,4,3,5,2,2,3,4,3,3
401690,1,1,3,3,2,1,1,3,3,1
986070,5,3,3,4,3,4,5,5,4,1
336937,5,1,3,3,3,5,2,5,1,2
881296,5,4,5,2,3,2,3,2,4,3
595666,3,4,3,3,2,3,3,2,5,1
