Transaction ID,Transaction Date,Value,Cancelled?
0001957155,2023-02-01,128.78,N
0028234510,2023-02-01,163.82,N
0033688648,2023-02-01,54.71,N
0041670299,2023-02-01,88.1,N
0042825784,2023-02-01,217.22,Y
0057723869,2023-02-01,89.22,N
0090399803,2023-02-01,80.86,N
0100789145,2023-02-01,117.31,N
0111960312,2023-02-01,187.15,N
0119530112,2023-02-01,87.59,N
0123069807,2023-02-01,70.5,N
0143294652,2023-02-01,109.32,N
0171835549,2023-02-01,124.24,N
0192994875,2023-02-01,249.75,N
0198481640,2023-02-01,35.88,N
0198485719,2023-02-01,9.8,N
0205795064,2023-02-01,1152.9,N
0215633717,2023-02-01,89.01,N
0222837330,2023-02-01,84.96,N
0223681946,2023-02-01,54.5,N
0235578975,2023-02-01,182.19,N
0240440552,2023-02-01,83.63,N
0275656446,2023-02-01,1139.7,N
0308295765,2023-02-01,85.94,N
0347446345,2023-02-01,34.17,N
0369974336,2023-02-01,189.46,N
0391419013,2023-02-01,41.55,N
0394517229,2023-02-01,158.57,N
0407861793,2023-02-01,102.31,N
0411531409,2023-02-01,4.45,N
0436266598,2023-02-01,119.45,N
0448383039,2023-02-01,76.18,N
0449428117,2023-02-01,143.97,N
0473884003,2023-02-01,160.4,N
0488566371,2023-02-01,48.78,N
0492245371,2023-02-01,79.2,N
0510617514,2023-02-01,205.89,N
0512345414,2023-02-01,98.45,N
0536164207,2023-02-01,111.01,Y
0597742677,2023-02-01,99.3,N
0603673147,2023-02-01,94.29,N
0612308820,2023-02-01,105.16,N
0632467614,2023-02-01,162.41,N
0635438364,2023-02-01,142.26,N
0659314975,2023-02-01,122.46,N
0664959989,2023-02-01,1255.3,N
0688753930,2023-02-01,103.04,N
0691580049,2023-02-01,89.15,N
0694599549,2023-02-01,90.71,N
0694775908,2023-02-01,84.03,N
0708166946,2023-02-01,161.89,N
0715053205,2023-02-01,101.62,N
0716311623,2023-02-01,119.97,N
0721313957,2023-02-01,78.07,N
0744878462,2023-02-01,106.33,N
0766380424,2023-02-01,58.02,N
0774296801,2023-02-01,86.91,N
0776204661,2023-02-01,89.8,N
0797369163,2023-02-01,52.99,N
0805846913,2023-02-01,989.3,N
0826394388,2023-02-01,1089.6,N
0833759612,2023-02-01,169.18,N
0841226172,2023-02-01,78.47,N
0858246023,2023-02-01,60.58,N
0869281070,2023-02-01,92.35,N
0892906286,2023-02-01,161.85,N
0900992182,2023-02-01,974.4,N
0908048920,2023-02-01,1194.4,N
0938410660,2023-02-01,124.27,N
0973893052,2023-02-01,1187.7,N
0980434483,2023-02-01,68.47,N
1008463647,2023-02-01,71.22,N
1011211149,2023-02-01,127.41,N
1011925613,2023-02-01,189.07,N
1055458751,2023-02-01,115.14,N
1104490994,2023-02-01,105.36,N
1152449451,2023-02-01,754.9,N
1179964047,2023-02-01,637.1,N
1209482010,2023-02-01,126.5,N
1228140804,2023-02-01,158.92,N
1236875931,2023-02-01,136.51,N
1242747273,2023-02-01,86.03,N
1248198034,2023-02-01,36.3,N
1255918470,2023-02-01,216.49,N
1291127348,2023-02-01,116.71,N
1295019833,2023-02-01,83.96,N
1307637485,2023-02-01,78.4,N
1332163963,2023-02-01,104.57,N
1345375565,2023-02-01,82.09,N
1364984466,2023-02-01,807.2,N
1367429285,2023-02-01,167.53,N
1380537061,2023-02-01,99.56,N
1380646375,2023-02-01,62,N
1393303455,2023-02-01,112.17,N
1425052576,2023-02-01,67.01,N
1441161112,2023-02-01,99.52,N
1442030747,2023-02-01,98.52,N
1443893021,2023-02-01,844.6,N
1470060779,2023-02-01,93.43,N
1471668185,2023-02-01,1820.3,N
1476097224,2023-02-01,27.36,N
1497470986,2023-02-01,140.67,N
1506660185,2023-02-01,129.54,N
1525117173,2023-02-01,208.23,N
1543436315,2023-02-01,72.18,N
1576250644,2023-02-01,144.25,N
1581320299,2023-02-01,61.16,N
1583220038,2023-02-01,86.21,N
1597814555,2023-02-01,106.89,N
1600095577,2023-02-01,98.26,N
1613420439,2023-02-01,189.32,N
1648934889,2023-02-01,103.94,N
1697962130,2023-02-01,107.29,N
1730648770,2023-02-01,152.86,N
1732802637,2023-02-01,67.83,Y
1752619595,2023-02-01,134.06,N
1754186955,2023-02-01,96.2,N
1757635122,2023-02-01,899.8,N
1772088870,2023-02-01,114.22,N
1777545765,2023-02-01,130.78,N
1796788503,2023-02-01,28.95,N
1804589055,2023-02-01,12.21,N
1829375423,2023-02-01,105.85,N
1830912372,2023-02-01,130.44,N
1855627485,2023-02-01,110.9,N
1899204237,2023-02-01,49.69,N
1912738236,2023-02-01,94.56,N
1925587738,2023-02-01,83.35,N
2019114135,2023-02-01,1821.6,N
2032058588,2023-02-01,52.56,N
2034896548,2023-02-01,57.48,N
2035070708,2023-02-01,116,N
2050954123,2023-02-01,117.24,N
2054435007,2023-02-01,137.75,N
2060679249,2023-02-01,89.56,N
2086604580,2023-02-01,137.25,N
2097385567,2023-02-01,77.81,N
2104335078,2023-02-01,82.18,N
2134145129,2023-02-01,466.7,N
2159404098,2023-02-01,102.6,N
2181081123,2023-02-01,75.36,N
2182827811,2023-02-01,116.66,N
2193337969,2023-02-01,490.9,N
2208803779,2023-02-01,38.91,N
2227679565,2023-02-01,79.4,N
2240805757,2023-02-01,18.27,N
2253198560,2023-02-01,139.18,N
2284737935,2023-02-01,177.63,N
2285014589,2023-02-01,97.36,N
2300385597,2023-02-01,188.33,N
2330463898,2023-02-01,187.01,N
2364289769,2023-02-01,57.95,N
2367383979,2023-02-01,2239.3,N
2376210461,2023-02-01,104.47,N
2381887334,2023-02-01,54.25,N
2393732950,2023-02-01,52.9,N
2396808656,2023-02-01,47.33,N
2407385683,2023-02-01,152.59,N
2412653224,2023-02-01,130.93,N
2445963192,2023-02-01,104.71,Y
2453579630,2023-02-01,103.16,N
2470730090,2023-02-01,223.94,N
2476252913,2023-02-01,218.14,N
2519509945,2023-02-01,76.39,N
2538739888,2023-02-01,96.35,N
2559047756,2023-02-01,63.48,N
2573182568,2023-02-01,1821.2,N
2583375601,2023-02-01,142.37,N
2644221455,2023-02-01,173.96,N
2654779653,2023-02-01,1277.2,N
2666359573,2023-02-01,182.36,N
2683566891,2023-02-01,128.93,N
2686008474,2023-02-01,345.3,N
2694944515,2023-02-01,67.52,N
2743925744,2023-02-01,101.12,N
2783980185,2023-02-01,913.5,N
2807768571,2023-02-01,92.81,N
2837583324,2023-02-01,129.52,N
2888220008,2023-02-01,133.29,N
2889432416,2023-02-01,65.9,N
2907126601,2023-02-01,119.2,N
2941500715,2023-02-01,105.63,N
2974216110,2023-02-01,102.95,N
2974326110,2023-02-01,13.37,N
2974460097,2023-02-01,72.35,N
3004164027,2023-02-01,62.95,N
3017360822,2023-02-01,114.21,N
3030568601,2023-02-01,14.22,N
3035491070,2023-02-01,57.37,N
3068040744,2023-02-01,181.06,N
3069327745,2023-02-01,102.39,N
3085035168,2023-02-01,162.51,Y
3094424287,2023-02-01,80.43,N
3101134668,2023-02-01,856.5,N
3102426875,2023-02-01,50.95,N
3119649449,2023-02-01,168.84,N
3137587484,2023-02-01,0.5,N
3154036822,2023-02-01,570.3,N
3174636604,2023-02-01,58.05,N
3222999783,2023-02-01,142.15,N
3237087645,2023-02-01,125.68,N
3271008094,2023-02-01,53.09,N
3277033376,2023-02-01,42.34,N
3298186899,2023-02-01,1663.4,N
3303593175,2023-02-01,156.79,N
3314460341,2023-02-01,138.19,N
3353832920,2023-02-01,169.68,N
3354143894,2023-02-01,387.9,N
3391213833,2023-02-01,99.09,N
3392622575,2023-02-01,131.53,N
3403237117,2023-02-01,102.1,N
3429759250,2023-02-01,774.6,N
3434491996,2023-02-01,81.36,N
3436108669,2023-02-01,94.06,N
3437729322,2023-02-01,102.89,N
3442958598,2023-02-01,1057.7,N
3444557175,2023-02-01,153.43,N
3448002852,2023-02-01,115.4,N
3472297123,2023-02-01,180.83,N
3499369915,2023-02-01,229.8,N
3505637173,2023-02-01,140.1,N
3542199176,2023-02-01,63.28,N
3548407560,2023-02-01,1058.7,N
3579560166,2023-02-01,21.82,N
3582889726,2023-02-01,58.96,N
3604226198,2023-02-01,132.46,N
3623062863,2023-02-01,118.27,N
3626364925,2023-02-01,151.18,N
3639366506,2023-02-01,456.2,N
3651204529,2023-02-01,98.33,N
3718521210,2023-02-01,90.79,N
3725421765,2023-02-01,58.18,N
3747568548,2023-02-01,645.5,N
3753765244,2023-02-01,469.6,N
3782564960,2023-02-01,33.51,N
3818441081,2023-02-01,94.91,N
3822445215,2023-02-01,108.17,N
3830472846,2023-02-01,100.12,N
3834885029,2023-02-01,18.77,N
3839776384,2023-02-01,128.83,N
3861616122,2023-02-01,131.11,N
3875688252,2023-02-01,75.85,N
3886993043,2023-02-01,83.37,N
3896849425,2023-02-01,3.55,N
3948775451,2023-02-01,66.19,N
3949308547,2023-02-01,170.89,N
3963342668,2023-02-01,76.26,N
3966083809,2023-02-01,121.91,N
3973846308,2023-02-01,36.43,N
3976975354,2023-02-01,88.65,N
4030847587,2023-02-01,119.5,N
4086952092,2023-02-01,80.58,N
4132581691,2023-02-01,83.41,N
4136585438,2023-02-01,96.06,N
4138734724,2023-02-01,172.77,N
4139057696,2023-02-01,76.9,N
4147464475,2023-02-01,321.2,N
4148037058,2023-02-01,99.45,N
4163785906,2023-02-01,104.85,N
4167488191,2023-02-01,1775.6,N
4191973045,2023-02-01,99.68,N
4211180649,2023-02-01,170.96,N
4251086198,2023-02-01,143.86,N
4311239092,2023-02-01,53.43,N
4324902453,2023-02-01,66.43,N
4336456046,2023-02-01,161.31,N
4376099422,2023-02-01,84.08,N
