Market Capitalisation Categorisation,Purchase Price Categorisation,File Date,Ticker,Sector,Market,Stock Name,Market Capitalisation,Purchase Price,Rank
Large,Small,01/10/2023,OAS,Energy,NYSE,Oasis Petroleum Inc.,1940000000.00,23636.92,4
Large,Medium,01/10/2023,HGV,Consumer Services,NYSE,Hilton Grand Vacations Inc.,3620000000.00,49006.88,4
Large,Medium,01/10/2023,PXD,Energy,NYSE,Pioneer Natural Resources Company,27010000000.00,49057.30,3
Large,Medium,01/10/2023,TPH,Capital Goods,NYSE,"TRI Pointe Group, Inc.",1980000000.00,48946.23,5
Medium,Large,01/10/2023,VBTX,Finance,NASDAQ,"Veritex Holdings, Inc.",425820000.00,74509.82,2
Large,Small,01/10/2023,EDN,Public Utilities,NYSE,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),1410000000.00,23851.25,3
Medium,Medium,01/10/2023,WNEB,Finance,NASDAQ,"Western New England Bancorp, Inc.",332530000.00,49422.93,4
Large,Small,01/10/2023,DDC,Basic Industries,NYSE,Dominion Diamond Corporation,1030000000.00,24592.57,1
Small,Very Large,01/10/2023,TLF,Consumer Non-Durables,NASDAQ,"Tandy Leather Factory, Inc.",76520000.00,98740.90,3
Large,Small,01/10/2023,BGS,Consumer Non-Durables,NYSE,"B&G Foods, Inc.",2450000000.00,22604.98,5
Large,Large,01/10/2023,CYH,Health Care,NYSE,"Community Health Systems, Inc.",1030000000.00,74297.45,1
Medium,Very Large,01/10/2023,STON,Consumer Services,NYSE,StoneMor Partners L.P.,345320000.00,99845.03,1
Large,Very Large,01/10/2023,JELD,Basic Industries,NYSE,"JELD-WEN Holding, Inc.",3600000000.00,99030.70,2
Medium,Very Large,01/10/2023,BRSS,Capital Goods,NYSE,"Global Brass and Copper Holdings, Inc.",675150000.00,98376.42,5
Small,Large,01/10/2023,ALOT,Technology,NASDAQ,"AstroNova, Inc.",90180000.00,72689.82,2
Medium,Large,01/10/2023,PGC,Finance,NASDAQ,Peapack-Gladstone Financial Corporation,531920000.00,73357.90,5
Medium,Small,01/10/2023,HIIQ,Finance,NASDAQ,"Health Insurance Innovations, Inc.",392380000.00,23013.07,5
Large,Large,01/10/2023,HEP,Energy,NYSE,"Holly Energy Partners, L.P.",2050000000.00,73994.00,4
Medium,Very Large,01/10/2023,MERC,Basic Industries,NASDAQ,Mercer International Inc.,769940000.00,99152.32,2
Medium,Small,01/10/2023,CCS,Capital Goods,NYSE,"Century Communities, Inc.",551700000.00,24600.23,1
Huge,Medium,01/10/2023,MDT,Health Care,NYSE,Medtronic plc,120570000000.00,43741.32,2
Huge,Large,01/10/2023,TIG,Health Care,NASDAQ,TiGenix,103100000000.00,71434.86,1
Medium,Large,01/10/2023,ONEQ,n/a,NASDAQ,Fidelity Nasdaq Composite Index Tracking Stock,798860000.00,74324.90,4
Small,Large,01/10/2023,PFBX,Finance,NASDAQ,Peoples Financial Corporation,66090000.00,69169.20,5
