Customer,Address Long,Address Lat,Branch,Branch Long,Branch Lat,Distance,Customer Priority
9,-1.428223,53.357109,Nottingham,-1.142578,52.948638,30.64,11
52,-0.856934,51.590723,Oxford,-1.252441,51.727028,19.41,6
106,-0.549316,51.69299,London,-0.109863,51.481383,23.89,30
29,-0.549316,53.330873,Nottingham,-1.142578,52.948638,36.12,13
32,-2.175293,53.981935,Newcastle,-1.604004,54.965002,71.77,13
85,-0.571289,51.220647,London,-0.109863,51.481383,26.88,33
65,-1.010742,52.86913,Nottingham,-1.142578,52.948638,7.78,1
93,0.966797,51.179343,London,-0.109863,51.481383,51.0,45
16,-0.615234,52.241256,Oxford,-1.252441,51.727028,44.74,13
101,-2.06543,51.399206,Oxford,-1.252441,51.727028,41.67,12
10,-2.988281,53.409532,Nottingham,-1.142578,52.948638,82.88,33
56,0.0,51.618017,London,-0.109863,51.481383,10.57,12
15,0.0,53.14677,Nottingham,-1.142578,52.948638,49.44,19
124,-0.304871,51.376924,London,-0.109863,51.481383,11.09,15
48,-1.647949,51.930718,Oxford,-1.252441,51.727028,22.01,7
76,-1.120605,52.549636,Nottingham,-1.142578,52.948638,27.61,8
6,-2.109375,52.57635,Nottingham,-1.142578,52.948638,47.96,18
46,-2.570801,50.903033,Oxford,-1.252441,51.727028,80.6,21
89,-1.032715,53.696706,Nottingham,-1.142578,52.948638,51.94,21
73,-0.878906,53.014783,Nottingham,-1.142578,52.948638,11.9,3
37,-1.867676,53.917281,Newcastle,-1.604004,54.965002,73.24,14
70,-0.043945,51.206883,London,-0.109863,51.481383,19.2,23
8,1.296387,52.61639,London,-0.109863,51.481383,98.69,50
38,-2.570801,53.357109,Nottingham,-1.142578,52.948638,65.63,27
75,0.461426,51.795027,London,-0.109863,51.481383,32.74,38
12,-2.131348,54.622978,Newcastle,-1.604004,54.965002,31.65,4
81,-0.109863,52.375599,Nottingham,-1.142578,52.948638,58.72,22
27,0.483398,52.762892,Nottingham,-1.142578,52.948638,69.11,29
42,-2.856445,52.025459,Oxford,-1.252441,51.727028,71.53,19
28,0.922852,52.456009,London,-0.109863,51.481383,80.5,48
99,-0.241699,52.842595,Nottingham,-1.142578,52.948638,38.3,14
115,0.906372,51.908696,London,-0.109863,51.481383,52.65,46
20,-2.548828,54.175297,Newcastle,-1.604004,54.965002,66.47,12
57,-0.549316,51.37178,London,-0.109863,51.481383,20.41,24
95,-1.582031,51.781436,Oxford,-1.252441,51.727028,14.61,4
120,-0.156555,51.53096,London,-0.109863,51.481383,3.97,2
83,-1.230469,51.563412,Oxford,-1.252441,51.727028,11.36,2
100,-2.548828,54.584797,Newcastle,-1.604004,54.965002,45.96,7
123,-0.299377,51.390637,London,-0.109863,51.481383,10.3,11
108,-0.291138,51.460852,London,-0.109863,51.481383,7.94,6
92,0.41748,51.412912,London,-0.109863,51.481383,23.22,29
69,-0.197754,51.37178,London,-0.109863,51.481383,8.48,9
107,-0.450439,51.76784,London,-0.109863,51.481383,24.63,31
110,-0.986023,51.75594,Oxford,-1.252441,51.727028,11.58,3
63,-1.252441,52.776186,Nottingham,-1.142578,52.948638,12.78,4
43,-2.087402,51.835778,Oxford,-1.252441,51.727028,36.51,10
62,-1.801758,53.13359,Nottingham,-1.142578,52.948638,30.25,10
68,-0.834961,52.66972,Nottingham,-1.142578,52.948638,23.19,6
125,-0.499878,51.501904,London,-0.109863,51.481383,16.86,22
96,0.021973,51.903613,London,-0.109863,51.481383,29.75,36
45,-3.537598,50.792047,Oxford,-1.252441,51.727028,118.17,23
54,-0.241699,51.6998,London,-0.109863,51.481383,16.13,20
49,-1.318359,51.069017,Oxford,-1.252441,51.727028,45.6,14
33,-2.702637,54.072283,Newcastle,-1.604004,54.965002,75.88,16
104,-0.505371,51.041394,London,-0.109863,51.481383,34.92,39
86,-0.241699,52.241256,London,-0.109863,51.481383,52.86,47
22,-2.416992,51.957807,Oxford,-1.252441,51.727028,52.26,16
58,-0.043945,51.481383,London,-0.109863,51.481383,2.84,1
113,0.134583,51.445449,London,-0.109863,51.481383,10.82,13
114,0.593262,51.628248,London,-0.109863,51.481383,31.9,37
71,-1.82373,53.735716,Nottingham,-1.142578,52.948638,61.28,26
91,-1.40625,54.226708,Newcastle,-1.604004,54.965002,51.68,8
59,-0.461426,51.385495,London,-0.109863,51.481383,16.55,21
18,-2.922363,51.055207,Oxford,-1.252441,51.727028,85.75,22
51,-1.274414,50.875311,Oxford,-1.252441,51.727028,58.92,17
77,-1.164551,51.76784,Oxford,-1.252441,51.727028,4.7,1
80,-0.549316,51.795027,London,-0.109863,51.481383,28.75,35
122,-0.263672,51.623132,London,-0.109863,51.481383,11.83,16
19,-1.889648,55.453941,Newcastle,-1.604004,54.965002,35.65,5
87,-2.06543,53.631611,Nottingham,-1.142578,52.948638,60.72,24
14,-1.054688,54.09806,Newcastle,-1.604004,54.965002,63.89,11
31,-1.010742,53.917281,Nottingham,-1.142578,52.948638,67.22,28
