Misalignment Flag,Reporting Month,Reporting Day,Reporting Date,New Customers,ROI New Customers,ROI Reporting Month
,September-2023,13,18/09/2023,13,7,Sept-23
,June-2022,8,13/06/2022,20,12,Jun-22
,September-2023,9,12/09/2023,7,5,Sept-23
,August-2022,6,05/08/2022,9,6,Aug-22
,February-2023,13,16/02/2023,6,4,Feb-23
,October-2023,5,05/10/2023,3,2,Oct-23
,July-2023,12,17/07/2023,13,7,Jul-23
,November-2023,15,20/11/2023,13,9,Nov-23
,May-2023,13,18/05/2023,6,4,May-23
,November-2023,12,15/11/2023,5,3,Nov-23
,October-2022,9,12/10/2022,3,1,Oct-22
,September-2023,11,14/09/2023,5,3,Sept-23
,August-2023,20,25/08/2023,3,1,Aug-23
,November-2022,16,21/11/2022,28,19,Nov-22
,December-2023,3,04/12/2023,20,13,Dec-23
,September-2022,14,20/09/2022,20,11,Sept-22
,November-2023,1,31/10/2023,6,13,Nov-23
,January-2022,4,06/01/2022,9,6,Jan-22
,June-2023,14,19/06/2023,8,3,Jun-23
,April-2023,16,25/04/2023,6,4,Apr-23
,May-2022,6,09/05/2022,11,7,May-22
,December-2022,18,23/12/2022,2,1,Dec-22
,July-2022,1,30/06/2022,3,1,Jul-22
,March-2023,18,23/03/2023,9,6,Mar-23
,March-2022,6,07/03/2022,14,9,Mar-22
,July-2022,15,20/07/2022,3,2,Jul-22
,July-2023,15,20/07/2023,3,2,Jul-23
,February-2023,20,27/02/2023,14,8,Feb-23
,May-2023,16,23/05/2023,6,4,May-23
,August-2022,17,22/08/2022,14,7,Aug-22
,January-2023,9,12/01/2023,7,5,Jan-23
,September-2023,14,19/09/2023,6,3,Sept-23
,May-2023,9,12/05/2023,5,3,May-23
,September-2022,13,16/09/2022,9,6,Sept-22
,January-2023,6,09/01/2023,14,10,Jan-23
,November-2023,13,16/11/2023,5,3,Nov-23
,November-2023,4,03/11/2023,7,5,Nov-23
,October-2022,11,14/10/2022,3,1,Oct-22
,March-2023,3,02/03/2023,2,1,Mar-23
,April-2023,10,17/04/2023,20,13,Apr-23
,September-2023,2,01/09/2023,2,1,Sept-23
,March-2023,22,29/03/2023,3,1,Mar-23
