Sector,Trade Order,Rolling Avg. Purchase Price,Previous Trades
Public Utilities,372,30934.99,1
Public Utilities,373,19531.51,2
Public Utilities,374,6433.53,3
Public Utilities,375,35726.84,4
Public Utilities,376,41957.75,5
Public Utilities,377,48608.46,6
Public Utilities,378,22509.06,7
Public Utilities,379,44278.38,8
Public Utilities,380,50747.85,9
Public Utilities,381,53867.19,10
Public Utilities,382,57130.37,11
Public Utilities,383,45213.22,12
Public Utilities,384,41358.9,13
Public Utilities,385,36892.48,14
Public Utilities,386,35911.64,15
Public Utilities,387,33934.6,16
Public Utilities,388,18297.56,17
Public Utilities,389,28759.7,18
Public Utilities,390,35054.67,19
Public Utilities,391,34077.95,20
Public Utilities,392,42135.64,21
Public Utilities,393,47811.73,22
Public Utilities,394,38890.44,23
Public Utilities,395,30206.87,24
Public Utilities,396,40677.71,25
Public Utilities,397,59020.83,26
Public Utilities,398,66320.56,27
Public Utilities,399,66618.79,28
Public Utilities,400,66361.79,29
Public Utilities,401,51967.14,30
Public Utilities,402,57033.64,31
Public Utilities,403,42817.48,32
Public Utilities,404,45212.72,33
Public Utilities,405,38716.72,34
Public Utilities,406,37792.35,35
Public Utilities,407,38859.99,36
Public Utilities,408,37770.7,37
Public Utilities,409,64999.51,38
Public Utilities,410,84346.66,39
Public Utilities,411,77840.61,40
Public Utilities,412,74814.02,41
Public Utilities,413,76971.51,42
Public Utilities,414,61953.33,43
Public Utilities,415,52832.82,44
Public Utilities,416,21383.56,45
Public Utilities,417,46064.93,46
Public Utilities,418,48498.0,47
Public Utilities,419,50174.26,48
Public Utilities,420,26132.77,49
Public Utilities,421,17562.96,50
Public Utilities,422,18733.84,51
Public Utilities,423,46371.12,52
Public Utilities,424,34458.92,53
Public Utilities,425,34443.05,54
Public Utilities,426,13257.72,55
Public Utilities,427,31408.79,56
Public Utilities,428,30840.34,57
Public Utilities,429,46222.34,58
Public Utilities,430,41143.73,59
Public Utilities,431,42070.21,60
Public Utilities,432,33256.96,61
Public Utilities,433,50738.31,62
Public Utilities,434,53865.33,63
Public Utilities,435,63718.57,64
Public Utilities,436,44473.94,65
Public Utilities,437,68045.77,66
Public Utilities,438,70164.13,67
Public Utilities,439,83588.0,68
Public Utilities,440,84583.13,69
Public Utilities,441,76646.38,70
Public Utilities,442,77993.48,71
