Previous Trades,Trade Order,Sector,Rolling Avg. Purchase Price
1,1427,Consumer Services,29527.64
2,1428,Consumer Services,29927.5
3,1429,Consumer Services,29142.68
4,1430,Consumer Services,47349.52
5,1431,Consumer Services,70503.41
6,1432,Consumer Services,73990.08
7,1433,Consumer Services,61084.75
8,1434,Consumer Services,40535.34
9,1435,Consumer Services,22817.57
10,1436,Consumer Services,23686.12
11,1437,Consumer Services,26294.27
12,1438,Consumer Services,41246.89
13,1439,Consumer Services,40575.92
14,1440,Consumer Services,49382.49
15,1441,Consumer Services,64105.96
16,1442,Consumer Services,59759.8
17,1443,Consumer Services,57290.59
18,1444,Consumer Services,32957.62
19,1445,Consumer Services,43531.22
20,1446,Consumer Services,39037.63
21,1447,Consumer Services,50137.71
22,1448,Consumer Services,42395.68
23,1449,Consumer Services,44249.55
24,1450,Consumer Services,58882.6
25,1451,Consumer Services,76958.96
26,1452,Consumer Services,94433.7
27,1453,Consumer Services,81150.56
28,1454,Consumer Services,72740.05
29,1455,Consumer Services,50184.36
30,1456,Consumer Services,62609.96
31,1457,Consumer Services,62936.31
32,1458,Consumer Services,77112.43
33,1459,Consumer Services,57284.82
34,1460,Consumer Services,60508.51
35,1461,Consumer Services,41865.27
36,1462,Consumer Services,42910.22
37,1463,Consumer Services,31960.77
38,1464,Consumer Services,38289.33
39,1465,Consumer Services,35597.14
40,1466,Consumer Services,50886.36
41,1467,Consumer Services,64942.67
42,1468,Consumer Services,78204.94
43,1469,Consumer Services,78524.62
44,1470,Consumer Services,57708.29
45,1471,Consumer Services,36124.18
46,1472,Consumer Services,18011.46
47,1473,Consumer Services,27017.84
48,1474,Consumer Services,34919.2
49,1475,Consumer Services,26104.16
50,1476,Consumer Services,24776.69
51,1477,Consumer Services,32434.35
52,1478,Consumer Services,29585.63
53,1479,Consumer Services,31769.14
54,1480,Consumer Services,34517.85
55,1481,Consumer Services,41603.47
56,1482,Consumer Services,49763.78
57,1483,Consumer Services,61648.81
58,1484,Consumer Services,72500.31
59,1485,Consumer Services,67643.92
60,1486,Consumer Services,48520.09
61,1487,Consumer Services,45304.02
62,1488,Consumer Services,54278.72
63,1489,Consumer Services,62297.43
64,1490,Consumer Services,75823.55
65,1491,Consumer Services,59919.52
66,1492,Consumer Services,43475.92
67,1493,Consumer Services,33639.75
68,1494,Consumer Services,41213.25
69,1495,Consumer Services,70562.14
70,1496,Consumer Services,78844.98
71,1497,Consumer Services,80490.6
72,1498,Consumer Services,54766.78
73,1499,Consumer Services,58145.76
74,1500,Consumer Services,47198.67
75,1501,Consumer Services,60642.86
76,1502,Consumer Services,33622.02
77,1503,Consumer Services,45256.82
78,1504,Consumer Services,32822.01
79,1505,Consumer Services,40945.36
80,1506,Consumer Services,37782.46
81,1507,Consumer Services,49535.8
82,1508,Consumer Services,46108.18
83,1509,Consumer Services,32461.7
84,1510,Consumer Services,15508.13
85,1511,Consumer Services,37562.66
86,1512,Consumer Services,47088.9
87,1513,Consumer Services,59205.55
88,1514,Consumer Services,40095.17
89,1515,Consumer Services,59906.88
90,1516,Consumer Services,67645.77
91,1517,Consumer Services,72739.84
92,1518,Consumer Services,73178.52
93,1519,Consumer Services,69600.78
94,1520,Consumer Services,51902.52
95,1521,Consumer Services,25951.06
96,1522,Consumer Services,17072.31
97,1523,Consumer Services,41009.03
98,1524,Consumer Services,59880.15
99,1525,Consumer Services,58351.45
100,1526,Consumer Services,33240.73
1,174,Consumer Durables,37980.04
2,175,Consumer Durables,31071.44
3,176,Consumer Durables,30784.44
4,177,Consumer Durables,52523.97
5,178,Consumer Durables,55395.6
6,179,Consumer Durables,44902.08
7,180,Consumer Durables,39656.94
8,181,Consumer Durables,40872.99
9,182,Consumer Durables,46389.01
10,183,Consumer Durables,52995.24
11,184,Consumer Durables,48012.3
12,185,Consumer Durables,53890.23
13,186,Consumer Durables,51831.55
14,187,Consumer Durables,82741.36
15,188,Consumer Durables,72693.4
16,189,Consumer Durables,44164.04
17,190,Consumer Durables,26024.76
18,191,Consumer Durables,45940.97
19,192,Consumer Durables,60557.76
20,193,Consumer Durables,60205.25
21,194,Consumer Durables,58506.38
22,195,Consumer Durables,68298.97
23,196,Consumer Durables,57425.56
24,197,Consumer Durables,40720.69
25,198,Consumer Durables,29302.32
26,199,Consumer Durables,41263.07
27,200,Consumer Durables,40244.91
28,201,Consumer Durables,52014.08
29,202,Consumer Durables,60334
30,203,Consumer Durables,76167.56
31,204,Consumer Durables,70813.44
32,205,Consumer Durables,74372.89
33,206,Consumer Durables,72323.01
34,207,Consumer Durables,57674.71
35,208,Consumer Durables,54614.48
36,209,Consumer Durables,48337.33
37,210,Consumer Durables,58181.45
38,211,Consumer Durables,40303.94
39,212,Consumer Durables,35299.37
40,213,Consumer Durables,39018.64
41,214,Consumer Durables,47886.88
42,215,Consumer Durables,54232.21
43,216,Consumer Durables,55898.03
44,217,Consumer Durables,73138.06
45,218,Consumer Durables,53405.27
46,219,Consumer Durables,59756.4
47,220,Consumer Durables,52147.37
48,221,Consumer Durables,61568.63
49,222,Consumer Durables,41182.53
50,223,Consumer Durables,37884.93
51,224,Consumer Durables,53997.76
52,225,Consumer Durables,77265.54
53,226,Consumer Durables,75969.83
54,227,Consumer Durables,80431.13
55,228,Consumer Durables,71029.22
56,229,Consumer Durables,82350.99
57,230,Consumer Durables,71505.78
58,231,Consumer Durables,83777.83
59,232,Consumer Durables,84190.61
60,233,Consumer Durables,94993.76
61,234,Consumer Durables,82492.36
62,235,Consumer Durables,77937.16
63,236,Consumer Durables,60718.23
64,237,Consumer Durables,72142.19
65,238,Consumer Durables,65571.53
66,239,Consumer Durables,56606.85
67,240,Consumer Durables,45514.94
68,241,Consumer Durables,38119.02
69,242,Consumer Durables,56607.02
70,243,Consumer Durables,65171.93
71,244,Consumer Durables,55656.15
72,245,Consumer Durables,35235.5
73,246,Consumer Durables,37955.79
74,247,Consumer Durables,53768.4
75,248,Consumer Durables,74081.25
76,249,Consumer Durables,56948.38
77,250,Consumer Durables,49636.91
78,251,Consumer Durables,39027.2
79,252,Consumer Durables,38732.7
80,253,Consumer Durables,59873.5
81,254,Consumer Durables,50835.97
82,255,Consumer Durables,48614.25
83,256,Consumer Durables,45458.26
84,257,Consumer Durables,46703.35
85,258,Consumer Durables,67010.92
86,259,Consumer Durables,55962.44
87,260,Consumer Durables,77848.08
88,261,Consumer Durables,58214.17
89,262,Consumer Durables,61062.35
90,263,Consumer Durables,38551.7
91,264,Consumer Durables,41638.06
92,265,Consumer Durables,40196.95
93,266,Consumer Durables,35405.77
94,267,Consumer Durables,50130.3
95,268,Consumer Durables,34418.99
96,269,Consumer Durables,66247.95
97,270,Consumer Durables,44581.98
98,271,Consumer Durables,59984.17
99,272,Consumer Durables,31047.72
100,273,Consumer Durables,43192.28
1,1776,Finance,80867.81
2,1777,Finance,66741.23
3,1778,Finance,74371.82
4,1779,Finance,50831.75
5,1780,Finance,50976.35
6,1781,Finance,28171.36
7,1782,Finance,45499.5
8,1783,Finance,41949.12
9,1784,Finance,59719.53
10,1785,Finance,61474.85
11,1786,Finance,69866.87
12,1787,Finance,51840.83
13,1788,Finance,55012.55
14,1789,Finance,45197.84
15,1790,Finance,44266.37
16,1791,Finance,42059.94
17,1792,Finance,50077.14
18,1793,Finance,47086.35
19,1794,Finance,40416.25
20,1795,Finance,40261.21
21,1796,Finance,47026.1
22,1797,Finance,39863.32
23,1798,Finance,34281.83
24,1799,Finance,39022.74
25,1800,Finance,51264.33
26,1801,Finance,61007.19
27,1802,Finance,62665.17
28,1803,Finance,65336.67
29,1804,Finance,54171.97
30,1805,Finance,64631.31
31,1806,Finance,44527.62
32,1807,Finance,59466.14
33,1808,Finance,49393.13
34,1809,Finance,75880.19
35,1810,Finance,61462.88
36,1811,Finance,59786.61
37,1812,Finance,39017.96
38,1813,Finance,40711.1
39,1814,Finance,44831.49
40,1815,Finance,51867.8
41,1816,Finance,55758.56
42,1817,Finance,65624.2
43,1818,Finance,70496.57
44,1819,Finance,72236.62
45,1820,Finance,72076.24
46,1821,Finance,58287.88
47,1822,Finance,42046.53
48,1823,Finance,15654.63
49,1824,Finance,20356.32
50,1825,Finance,51431.73
51,1826,Finance,50737.71
52,1827,Finance,38282.35
53,1828,Finance,11619.66
54,1829,Finance,20916.4
55,1830,Finance,22068.5
56,1831,Finance,26772.83
57,1832,Finance,46153.28
58,1833,Finance,47522.99
59,1834,Finance,42427.5
60,1835,Finance,13430.08
61,1836,Finance,24583.36
62,1837,Finance,40688.71
63,1838,Finance,37794.81
64,1839,Finance,39622.93
65,1840,Finance,41729.23
66,1841,Finance,62770.93
67,1842,Finance,52234.68
68,1843,Finance,49516.06
69,1844,Finance,38305.98
70,1845,Finance,42955.85
71,1846,Finance,51395.95
72,1847,Finance,62029.92
73,1848,Finance,78235.81
74,1849,Finance,75663.68
75,1850,Finance,75556.66
76,1851,Finance,49041.39
77,1852,Finance,45328.8
78,1853,Finance,26770.66
79,1854,Finance,28655.99
80,1855,Finance,8141.36
81,1856,Finance,31063.74
82,1857,Finance,34537.13
83,1858,Finance,34701.64
84,1859,Finance,31747.1
85,1860,Finance,47339.58
86,1861,Finance,72344.32
87,1862,Finance,62708.35
88,1863,Finance,69816.91
89,1864,Finance,75179.85
90,1865,Finance,83281.74
91,1866,Finance,85451.13
92,1867,Finance,81479.34
93,1868,Finance,63419.98
94,1869,Finance,46499.29
95,1870,Finance,41634.21
96,1871,Finance,51314.18
97,1872,Finance,60257.22
98,1873,Finance,51156.34
99,1874,Finance,47475.56
100,1875,Finance,44308.76
1,127,Transportation,56458.2
2,128,Transportation,69086.8
3,129,Transportation,65634.22
4,130,Transportation,65570.42
5,131,Transportation,41736.72
6,132,Transportation,24952.61
7,133,Transportation,31160.11
8,134,Transportation,53867.56
9,135,Transportation,66931.76
10,136,Transportation,74570.87
11,137,Transportation,73932.6
12,138,Transportation,86008.51
13,139,Transportation,71084.59
14,140,Transportation,46481.4
15,141,Transportation,31096.09
16,142,Transportation,33558.62
17,143,Transportation,45868.1
18,144,Transportation,45390.08
19,145,Transportation,33364.43
20,146,Transportation,37359.02
