Trade Order,Sector,Purchase Price,Previous_Trades
434,Basic Industries,22345.58,1
435,Basic Industries,91255.93,2
436,Basic Industries,67464.57,3
437,Basic Industries,39281.49,4
438,Basic Industries,2901.18,5
439,Basic Industries,97818.79,6
440,Basic Industries,62859.06,7
441,Basic Industries,1740.27,8
442,Basic Industries,2651.38,9
443,Basic Industries,99576.99,10
444,Basic Industries,52790.68,11
445,Basic Industries,33084.55,12
446,Basic Industries,92517.53,13
447,Basic Industries,48676.82,14
448,Basic Industries,78081.91,15
449,Basic Industries,48058.41,16
450,Basic Industries,6304.32,17
451,Basic Industries,2924.99,18
452,Basic Industries,8039.2,19
453,Basic Industries,76324.03,20
454,Basic Industries,27748.88,21
455,Basic Industries,24610.74,22
456,Basic Industries,45590.8,23
457,Basic Industries,18495.77,24
458,Basic Industries,50422.43,25
459,Basic Industries,82780.44,26
460,Basic Industries,68764.33,27
461,Basic Industries,22616.42,28
462,Basic Industries,23658.39,29
463,Basic Industries,79642.37,30
464,Basic Industries,66100.93,31
465,Basic Industries,81130.48,32
466,Basic Industries,61944.4,33
467,Basic Industries,97136.6,34
468,Basic Industries,83730.4,35
469,Basic Industries,58823.49,36
470,Basic Industries,66753.55,37
471,Basic Industries,87736.85,38
472,Basic Industries,18755.28,39
473,Basic Industries,89833.07,40
474,Basic Industries,80788.3,41
475,Basic Industries,84138.88,42
476,Basic Industries,95378.74,43
477,Basic Industries,44109.68,44
478,Basic Industries,26606.43,45
479,Basic Industries,46315.96,46
480,Basic Industries,91388.15,47
481,Basic Industries,11157.13,48
482,Basic Industries,54429.95,49
483,Basic Industries,80270.9,50
484,Basic Industries,48162.34,51
485,Basic Industries,45957.24,52
486,Basic Industries,76900.2,53
487,Basic Industries,83949.26,54
488,Basic Industries,51477.53,55
489,Basic Industries,17440.82,56
490,Basic Industries,16875.69,57
491,Basic Industries,41825.32,58
492,Basic Industries,68208.87,59
493,Basic Industries,54784.42,60
494,Basic Industries,93746.74,61
495,Basic Industries,30349.94,62
496,Basic Industries,68258.25,63
497,Basic Industries,19488.14,64
498,Basic Industries,33928.8,65
499,Basic Industries,76957.7,66
500,Basic Industries,76885.36,67
501,Basic Industries,56717.09,68
502,Basic Industries,48821.28,69
503,Basic Industries,17251.09,70
504,Basic Industries,71754.75,71
505,Basic Industries,90382.93,72
506,Basic Industries,75895.04,73
507,Basic Industries,54216.32,74
508,Basic Industries,17839.15,75
509,Basic Industries,38350.38,76
510,Basic Industries,45212.86,77
511,Basic Industries,73563.2,78
512,Basic Industries,96963.14,79
513,Basic Industries,65235.1,80
514,Basic Industries,76495.62,81
515,Basic Industries,89668.1,82
516,Basic Industries,14906.82,83
517,Basic Industries,21068.21,84
518,Basic Industries,90187.32,85
519,Basic Industries,95221.27,86
520,Basic Industries,8649.78,87
521,Basic Industries,72243.07,88
522,Basic Industries,98608.35,89
523,Basic Industries,7135.27,90
524,Basic Industries,86746.5,91
525,Basic Industries,83245.48,92
526,Basic Industries,81034.59,93
527,Basic Industries,93418.9,94
528,Basic Industries,73447.04,95
529,Basic Industries,23499.88,96
530,Basic Industries,10329.77,97
531,Basic Industries,53616.16,98
532,Basic Industries,80278.83,99
533,Basic Industries,15657.58,100
593,Capital Goods,11067.37,1
594,Capital Goods,67737.27,2
595,Capital Goods,89158.38,3
596,Capital Goods,2861.39,4
597,Capital Goods,61677.73,5
598,Capital Goods,55931.22,6
599,Capital Goods,35198.67,7
600,Capital Goods,1372.46,8
601,Capital Goods,82765.11,9
602,Capital Goods,33271.41,10
603,Capital Goods,15719.41,11
