Calculation1,Easter Sunday
1,11/04/1700
2,27/03/1701
3,16/04/1702
4,08/04/1703
5,23/03/1704
6,12/04/1705
7,04/04/1706
8,24/04/1707
9,08/04/1708
10,31/03/1709
11,20/04/1710
12,05/04/1711
13,27/03/1712
14,16/04/1713
15,01/04/1714
16,21/04/1715
17,12/04/1716
18,28/03/1717
19,17/04/1718
20,09/04/1719
21,31/03/1720
22,13/04/1721
23,05/04/1722
24,28/03/1723
25,16/04/1724
26,01/04/1725
27,21/04/1726
28,13/04/1727
29,28/03/1728
30,17/04/1729
31,09/04/1730
32,25/03/1731
33,13/04/1732
34,05/04/1733
35,25/04/1734
36,10/04/1735
37,01/04/1736
38,21/04/1737
39,06/04/1738
40,29/03/1739
41,17/04/1740
42,02/04/1741
43,25/03/1742
44,14/04/1743
45,05/04/1744
46,18/04/1745
47,10/04/1746
48,02/04/1747
49,14/04/1748
50,06/04/1749
51,29/03/1750
52,11/04/1751
53,02/04/1752
54,22/04/1753
55,14/04/1754
56,30/03/1755
57,18/04/1756
58,10/04/1757
59,26/03/1758
60,15/04/1759
61,06/04/1760
62,22/03/1761
63,11/04/1762
64,03/04/1763
65,22/04/1764
66,07/04/1765
67,30/03/1766
68,19/04/1767
69,03/04/1768
70,26/03/1769
71,15/04/1770
72,31/03/1771
73,19/04/1772
74,11/04/1773
75,03/04/1774
76,16/04/1775
77,07/04/1776
78,30/03/1777
79,19/04/1778
80,04/04/1779
81,26/03/1780
82,15/04/1781
83,31/03/1782
84,20/04/1783
85,11/04/1784
86,27/03/1785
87,16/04/1786
88,08/04/1787
89,23/03/1788
90,12/04/1789
91,04/04/1790
92,24/04/1791
93,08/04/1792
94,31/03/1793
95,20/04/1794
96,05/04/1795
97,27/03/1796
98,16/04/1797
99,08/04/1798
100,24/03/1799
101,13/04/1800
102,05/04/1801
103,18/04/1802
104,10/04/1803
105,01/04/1804
106,14/04/1805
107,06/04/1806
108,29/03/1807
109,17/04/1808
110,02/04/1809
111,22/04/1810
112,14/04/1811
113,29/03/1812
114,18/04/1813
115,10/04/1814
116,26/03/1815
117,14/04/1816
118,06/04/1817
119,22/03/1818
120,11/04/1819
121,02/04/1820
122,22/04/1821
123,07/04/1822
124,30/03/1823
125,18/04/1824
126,03/04/1825
127,26/03/1826
128,15/04/1827
129,06/04/1828
130,19/04/1829
131,11/04/1830
132,03/04/1831
133,22/04/1832
134,07/04/1833
135,30/03/1834
136,19/04/1835
137,03/04/1836
138,26/03/1837
139,15/04/1838
140,31/03/1839
141,19/04/1840
142,11/04/1841
143,27/03/1842
144,16/04/1843
145,07/04/1844
146,23/03/1845
147,12/04/1846
148,04/04/1847
149,23/04/1848
150,08/04/1849
151,31/03/1850
152,20/04/1851
153,11/04/1852
154,27/03/1853
155,16/04/1854
156,08/04/1855
157,23/03/1856
158,12/04/1857
159,04/04/1858
160,24/04/1859
161,08/04/1860
162,31/03/1861
163,20/04/1862
164,05/04/1863
165,27/03/1864
166,16/04/1865
167,01/04/1866
168,21/04/1867
169,12/04/1868
170,28/03/1869
171,17/04/1870
172,09/04/1871
173,31/03/1872
174,13/04/1873
175,05/04/1874
176,28/03/1875
177,16/04/1876
178,01/04/1877
179,21/04/1878
180,13/04/1879
181,28/03/1880
182,17/04/1881
183,09/04/1882
184,25/03/1883
185,13/04/1884
186,05/04/1885
187,25/04/1886
188,10/04/1887
189,01/04/1888
190,21/04/1889
191,06/04/1890
192,29/03/1891
193,17/04/1892
194,02/04/1893
195,25/03/1894
196,14/04/1895
197,05/04/1896
198,18/04/1897
199,10/04/1898
200,02/04/1899
201,15/04/1900
202,07/04/1901
203,30/03/1902
204,12/04/1903
205,03/04/1904
206,23/04/1905
207,15/04/1906
208,31/03/1907
209,19/04/1908
210,11/04/1909
211,27/03/1910
212,16/04/1911
213,07/04/1912
214,23/03/1913
215,12/04/1914
216,04/04/1915
217,23/04/1916
218,08/04/1917
219,31/03/1918
220,20/04/1919
221,04/04/1920
222,27/03/1921
223,16/04/1922
224,01/04/1923
225,20/04/1924
226,12/04/1925
227,04/04/1926
228,17/04/1927
229,08/04/1928
230,31/03/1929
231,20/04/1930
232,05/04/1931
233,27/03/1932
234,16/04/1933
235,01/04/1934
236,21/04/1935
237,12/04/1936
238,28/03/1937
239,17/04/1938
240,09/04/1939
241,24/03/1940
242,13/04/1941
243,05/04/1942
244,25/04/1943
245,09/04/1944
246,01/04/1945
247,21/04/1946
248,06/04/1947
249,28/03/1948
250,17/04/1949
251,09/04/1950
252,25/03/1951
253,13/04/1952
254,05/04/1953
255,18/04/1954
256,10/04/1955
257,01/04/1956
258,21/04/1957
259,06/04/1958
260,29/03/1959
261,17/04/1960
262,02/04/1961
263,22/04/1962
264,14/04/1963
265,29/03/1964
266,18/04/1965
267,10/04/1966
268,26/03/1967
269,14/04/1968
270,06/04/1969
271,29/03/1970
272,11/04/1971
273,02/04/1972
274,22/04/1973
275,14/04/1974
276,30/03/1975
277,18/04/1976
278,10/04/1977
279,26/03/1978
280,15/04/1979
281,06/04/1980
282,19/04/1981
283,11/04/1982
284,03/04/1983
285,22/04/1984
286,07/04/1985
287,30/03/1986
288,19/04/1987
289,03/04/1988
290,26/03/1989
291,15/04/1990
292,31/03/1991
293,19/04/1992
294,11/04/1993
295,03/04/1994
296,16/04/1995
297,07/04/1996
298,30/03/1997
299,12/04/1998
300,04/04/1999
301,23/04/2000
302,15/04/2001
303,31/03/2002
304,20/04/2003
305,11/04/2004
306,27/03/2005
307,16/04/2006
308,08/04/2007
309,23/03/2008
310,12/04/2009
311,04/04/2010
312,24/04/2011
313,08/04/2012
314,31/03/2013
315,20/04/2014
316,05/04/2015
317,27/03/2016
318,16/04/2017
319,01/04/2018
320,21/04/2019
321,12/04/2020
322,04/04/2021
323,17/04/2022
324,09/04/2023
