Calculation1,Easter Sunday
62,22/03/1761
119,22/03/1818
5,23/03/1704
89,23/03/1788
146,23/03/1845
157,23/03/1856
214,23/03/1913
309,23/03/2008
100,24/03/1799
241,24/03/1940
32,25/03/1731
43,25/03/1742
184,25/03/1883
195,25/03/1894
252,25/03/1951
59,26/03/1758
70,26/03/1769
81,26/03/1780
116,26/03/1815
127,26/03/1826
138,26/03/1837
268,26/03/1967
279,26/03/1978
290,26/03/1989
2,27/03/1701
13,27/03/1712
86,27/03/1785
97,27/03/1796
143,27/03/1842
154,27/03/1853
165,27/03/1864
211,27/03/1910
222,27/03/1921
233,27/03/1932
306,27/03/2005
317,27/03/2016
18,28/03/1717
24,28/03/1723
29,28/03/1728
170,28/03/1869
176,28/03/1875
181,28/03/1880
238,28/03/1937
249,28/03/1948
40,29/03/1739
51,29/03/1750
108,29/03/1807
113,29/03/1812
192,29/03/1891
260,29/03/1959
265,29/03/1964
271,29/03/1970
56,30/03/1755
67,30/03/1766
78,30/03/1777
124,30/03/1823
135,30/03/1834
203,30/03/1902
276,30/03/1975
287,30/03/1986
298,30/03/1997
10,31/03/1709
21,31/03/1720
72,31/03/1771
83,31/03/1782
94,31/03/1793
140,31/03/1839
151,31/03/1850
162,31/03/1861
173,31/03/1872
208,31/03/1907
219,31/03/1918
230,31/03/1929
292,31/03/1991
303,31/03/2002
314,31/03/2013
15,01/04/1714
26,01/04/1725
37,01/04/1736
105,01/04/1804
167,01/04/1866
178,01/04/1877
189,01/04/1888
224,01/04/1923
235,01/04/1934
246,01/04/1945
257,01/04/1956
319,01/04/2018
42,02/04/1741
48,02/04/1747
53,02/04/1752
110,02/04/1809
121,02/04/1820
194,02/04/1893
200,02/04/1899
262,02/04/1961
273,02/04/1972
64,03/04/1763
69,03/04/1768
75,03/04/1774
126,03/04/1825
132,03/04/1831
137,03/04/1836
205,03/04/1904
284,03/04/1983
289,03/04/1988
295,03/04/1994
7,04/04/1706
80,04/04/1779
91,04/04/1790
148,04/04/1847
159,04/04/1858
216,04/04/1915
221,04/04/1920
227,04/04/1926
300,04/04/1999
311,04/04/2010
322,04/04/2021
12,05/04/1711
23,05/04/1722
34,05/04/1733
45,05/04/1744
96,05/04/1795
102,05/04/1801
164,05/04/1863
175,05/04/1874
186,05/04/1885
197,05/04/1896
232,05/04/1931
243,05/04/1942
254,05/04/1953
316,05/04/2015
39,06/04/1738
50,06/04/1749
61,06/04/1760
107,06/04/1806
118,06/04/1817
129,06/04/1828
191,06/04/1890
248,06/04/1947
259,06/04/1958
270,06/04/1969
281,06/04/1980
66,07/04/1765
77,07/04/1776
123,07/04/1822
134,07/04/1833
145,07/04/1844
202,07/04/1901
213,07/04/1912
286,07/04/1985
297,07/04/1996
4,08/04/1703
9,08/04/1708
88,08/04/1787
93,08/04/1792
99,08/04/1798
150,08/04/1849
156,08/04/1855
161,08/04/1860
218,08/04/1917
229,08/04/1928
308,08/04/2007
313,08/04/2012
20,09/04/1719
31,09/04/1730
172,09/04/1871
183,09/04/1882
240,09/04/1939
245,09/04/1944
251,09/04/1950
324,09/04/2023
36,10/04/1735
47,10/04/1746
58,10/04/1757
104,10/04/1803
115,10/04/1814
188,10/04/1887
199,10/04/1898
256,10/04/1955
267,10/04/1966
278,10/04/1977
1,11/04/1700
52,11/04/1751
63,11/04/1762
74,11/04/1773
85,11/04/1784
120,11/04/1819
131,11/04/1830
142,11/04/1841
153,11/04/1852
210,11/04/1909
272,11/04/1971
283,11/04/1982
294,11/04/1993
305,11/04/2004
6,12/04/1705
17,12/04/1716
90,12/04/1789
147,12/04/1846
158,12/04/1857
169,12/04/1868
204,12/04/1903
215,12/04/1914
226,12/04/1925
237,12/04/1936
299,12/04/1998
310,12/04/2009
321,12/04/2020
22,13/04/1721
28,13/04/1727
33,13/04/1732
101,13/04/1800
174,13/04/1873
180,13/04/1879
185,13/04/1884
242,13/04/1941
253,13/04/1952
44,14/04/1743
49,14/04/1748
55,14/04/1754
106,14/04/1805
112,14/04/1811
117,14/04/1816
196,14/04/1895
264,14/04/1963
269,14/04/1968
275,14/04/1974
60,15/04/1759
71,15/04/1770
82,15/04/1781
128,15/04/1827
139,15/04/1838
201,15/04/1900
207,15/04/1906
280,15/04/1979
291,15/04/1990
302,15/04/2001
3,16/04/1702
14,16/04/1713
25,16/04/1724
76,16/04/1775
87,16/04/1786
98,16/04/1797
144,16/04/1843
155,16/04/1854
166,16/04/1865
177,16/04/1876
212,16/04/1911
223,16/04/1922
234,16/04/1933
296,16/04/1995
307,16/04/2006
318,16/04/2017
19,17/04/1718
30,17/04/1729
41,17/04/1740
109,17/04/1808
171,17/04/1870
182,17/04/1881
193,17/04/1892
228,17/04/1927
239,17/04/1938
250,17/04/1949
