Student ID,Nationality,Classroom
1,USA,A
2,Canada,A
3,Mexico,A
4,USA,A
5,China,A
6,France,A
7,Germany,A
8,Canada,A
9,USA,A
10,China,A
11,Meksiko,A
12,Frans,A
13,Germany,A
14,USA,A
15,Canada,A
16,China,A
17,Mexico,A
18,France,A
19,Germany,A
20,USA,A
21,South Korea,B
22,Brasil,B
23,Egypt,B
24,South Korea,B
25,Brasil,B
26,Egypt,B
27,Brasil,B
28,China,B
29,Italy,B
30,Egypt,B
31,Spain,B
32,South Korea,B
33,Brasil,B
34,Egipt,B
35,China,B
36,Mexico,B
37,Italy,B
38,South Korea,B
39,Brasil,B
40,Meksiko,B
41,Italy,B
42,Egypt,B
43,South Korea,B
44,Meksiko,B
45,China,B
46,Spain,B
47,Chyna,B
48,Brasil,B
