Calendar Date,Reporting Year,Reporting Month,Reporting Week,Reporting Day
30/01/2023,2023,1,1,1
31/01/2023,2023,1,1,2
01/02/2023,2023,1,1,3
02/02/2023,2023,1,1,4
03/02/2023,2023,1,1,5
04/02/2023,2023,1,1,6
05/02/2023,2023,1,1,7
06/02/2023,2023,1,2,8
07/02/2023,2023,1,2,9
08/02/2023,2023,1,2,10
09/02/2023,2023,1,2,11
10/02/2023,2023,1,2,12
11/02/2023,2023,1,2,13
12/02/2023,2023,1,2,14
13/02/2023,2023,1,3,15
14/02/2023,2023,1,3,16
15/02/2023,2023,1,3,17
16/02/2023,2023,1,3,18
17/02/2023,2023,1,3,19
18/02/2023,2023,1,3,20
19/02/2023,2023,1,3,21
20/02/2023,2023,1,4,22
21/02/2023,2023,1,4,23
22/02/2023,2023,1,4,24
23/02/2023,2023,1,4,25
24/02/2023,2023,1,4,26
25/02/2023,2023,1,4,27
26/02/2023,2023,1,4,28
27/02/2023,2023,2,5,29
28/02/2023,2023,2,5,30
01/03/2023,2023,2,5,31
02/03/2023,2023,2,5,32
03/03/2023,2023,2,5,33
04/03/2023,2023,2,5,34
05/03/2023,2023,2,5,35
06/03/2023,2023,2,6,36
07/03/2023,2023,2,6,37
08/03/2023,2023,2,6,38
09/03/2023,2023,2,6,39
10/03/2023,2023,2,6,40
11/03/2023,2023,2,6,41
12/03/2023,2023,2,6,42
13/03/2023,2023,2,7,43
14/03/2023,2023,2,7,44
15/03/2023,2023,2,7,45
16/03/2023,2023,2,7,46
17/03/2023,2023,2,7,47
18/03/2023,2023,2,7,48
19/03/2023,2023,2,7,49
20/03/2023,2023,2,8,50
21/03/2023,2023,2,8,51
22/03/2023,2023,2,8,52
23/03/2023,2023,2,8,53
24/03/2023,2023,2,8,54
25/03/2023,2023,2,8,55
26/03/2023,2023,2,8,56
27/03/2023,2023,3,9,57
28/03/2023,2023,3,9,58
29/03/2023,2023,3,9,59
30/03/2023,2023,3,9,60
31/03/2023,2023,3,9,61
01/04/2023,2023,3,9,62
02/04/2023,2023,3,9,63
03/04/2023,2023,3,10,64
04/04/2023,2023,3,10,65
05/04/2023,2023,3,10,66
06/04/2023,2023,3,10,67
07/04/2023,2023,3,10,68
08/04/2023,2023,3,10,69
09/04/2023,2023,3,10,70
10/04/2023,2023,3,11,71
11/04/2023,2023,3,11,72
12/04/2023,2023,3,11,73
13/04/2023,2023,3,11,74
14/04/2023,2023,3,11,75
15/04/2023,2023,3,11,76
16/04/2023,2023,3,11,77
17/04/2023,2023,3,12,78
18/04/2023,2023,3,12,79
19/04/2023,2023,3,12,80
20/04/2023,2023,3,12,81
21/04/2023,2023,3,12,82
22/04/2023,2023,3,12,83
23/04/2023,2023,3,12,84
24/04/2023,2023,4,13,85
25/04/2023,2023,4,13,86
26/04/2023,2023,4,13,87
27/04/2023,2023,4,13,88
28/04/2023,2023,4,13,89
29/04/2023,2023,4,13,90
30/04/2023,2023,4,13,91
01/05/2023,2023,4,14,92
02/05/2023,2023,4,14,93
03/05/2023,2023,4,14,94
04/05/2023,2023,4,14,95
05/05/2023,2023,4,14,96
06/05/2023,2023,4,14,97
07/05/2023,2023,4,14,98
08/05/2023,2023,4,15,99
09/05/2023,2023,4,15,100
10/05/2023,2023,4,15,101
11/05/2023,2023,4,15,102
12/05/2023,2023,4,15,103
13/05/2023,2023,4,15,104
14/05/2023,2023,4,15,105
15/05/2023,2023,4,16,106
16/05/2023,2023,4,16,107
17/05/2023,2023,4,16,108
18/05/2023,2023,4,16,109
19/05/2023,2023,4,16,110
20/05/2023,2023,4,16,111
21/05/2023,2023,4,16,112
22/05/2023,2023,5,17,113
23/05/2023,2023,5,17,114
24/05/2023,2023,5,17,115
25/05/2023,2023,5,17,116
26/05/2023,2023,5,17,117
27/05/2023,2023,5,17,118
28/05/2023,2023,5,17,119
29/05/2023,2023,5,18,120
30/05/2023,2023,5,18,121
31/05/2023,2023,5,18,122
01/06/2023,2023,5,18,123
02/06/2023,2023,5,18,124
03/06/2023,2023,5,18,125
04/06/2023,2023,5,18,126
05/06/2023,2023,5,19,127
06/06/2023,2023,5,19,128
07/06/2023,2023,5,19,129
08/06/2023,2023,5,19,130
09/06/2023,2023,5,19,131
10/06/2023,2023,5,19,132
11/06/2023,2023,5,19,133
12/06/2023,2023,5,20,134
13/06/2023,2023,5,20,135
14/06/2023,2023,5,20,136
15/06/2023,2023,5,20,137
16/06/2023,2023,5,20,138
17/06/2023,2023,5,20,139
18/06/2023,2023,5,20,140
19/06/2023,2023,6,21,141
20/06/2023,2023,6,21,142
21/06/2023,2023,6,21,143
22/06/2023,2023,6,21,144
23/06/2023,2023,6,21,145
24/06/2023,2023,6,21,146
25/06/2023,2023,6,21,147
26/06/2023,2023,6,22,148
27/06/2023,2023,6,22,149
28/06/2023,2023,6,22,150
29/06/2023,2023,6,22,151
30/06/2023,2023,6,22,152
01/07/2023,2023,6,22,153
02/07/2023,2023,6,22,154
03/07/2023,2023,6,23,155
04/07/2023,2023,6,23,156
05/07/2023,2023,6,23,157
06/07/2023,2023,6,23,158
07/07/2023,2023,6,23,159
08/07/2023,2023,6,23,160
09/07/2023,2023,6,23,161
10/07/2023,2023,6,24,162
11/07/2023,2023,6,24,163
12/07/2023,2023,6,24,164
13/07/2023,2023,6,24,165
14/07/2023,2023,6,24,166
15/07/2023,2023,6,24,167
16/07/2023,2023,6,24,168
17/07/2023,2023,7,25,169
18/07/2023,2023,7,25,170
19/07/2023,2023,7,25,171
20/07/2023,2023,7,25,172
21/07/2023,2023,7,25,173
22/07/2023,2023,7,25,174
23/07/2023,2023,7,25,175
24/07/2023,2023,7,26,176
25/07/2023,2023,7,26,177
26/07/2023,2023,7,26,178
27/07/2023,2023,7,26,179
28/07/2023,2023,7,26,180
29/07/2023,2023,7,26,181
30/07/2023,2023,7,26,182
31/07/2023,2023,7,27,183
01/08/2023,2023,7,27,184
02/08/2023,2023,7,27,185
03/08/2023,2023,7,27,186
04/08/2023,2023,7,27,187
05/08/2023,2023,7,27,188
06/08/2023,2023,7,27,189
07/08/2023,2023,7,28,190
08/08/2023,2023,7,28,191
09/08/2023,2023,7,28,192
10/08/2023,2023,7,28,193
11/08/2023,2023,7,28,194
12/08/2023,2023,7,28,195
13/08/2023,2023,7,28,196
14/08/2023,2023,8,29,197
15/08/2023,2023,8,29,198
16/08/2023,2023,8,29,199
17/08/2023,2023,8,29,200
18/08/2023,2023,8,29,201
19/08/2023,2023,8,29,202
20/08/2023,2023,8,29,203
21/08/2023,2023,8,30,204
22/08/2023,2023,8,30,205
23/08/2023,2023,8,30,206
24/08/2023,2023,8,30,207
25/08/2023,2023,8,30,208
26/08/2023,2023,8,30,209
27/08/2023,2023,8,30,210
28/08/2023,2023,8,31,211
29/08/2023,2023,8,31,212
30/08/2023,2023,8,31,213
31/08/2023,2023,8,31,214
01/09/2023,2023,8,31,215
02/09/2023,2023,8,31,216
03/09/2023,2023,8,31,217
04/09/2023,2023,8,32,218
05/09/2023,2023,8,32,219
06/09/2023,2023,8,32,220
07/09/2023,2023,8,32,221
08/09/2023,2023,8,32,222
09/09/2023,2023,8,32,223
10/09/2023,2023,8,32,224
11/09/2023,2023,9,33,225
12/09/2023,2023,9,33,226
13/09/2023,2023,9,33,227
14/09/2023,2023,9,33,228
15/09/2023,2023,9,33,229
16/09/2023,2023,9,33,230
17/09/2023,2023,9,33,231
18/09/2023,2023,9,34,232
19/09/2023,2023,9,34,233
20/09/2023,2023,9,34,234
21/09/2023,2023,9,34,235
22/09/2023,2023,9,34,236
23/09/2023,2023,9,34,237
24/09/2023,2023,9,34,238
25/09/2023,2023,9,35,239
26/09/2023,2023,9,35,240
27/09/2023,2023,9,35,241
28/09/2023,2023,9,35,242
29/09/2023,2023,9,35,243
30/09/2023,2023,9,35,244
01/10/2023,2023,9,35,245
02/10/2023,2023,9,36,246
03/10/2023,2023,9,36,247
04/10/2023,2023,9,36,248
05/10/2023,2023,9,36,249
06/10/2023,2023,9,36,250
07/10/2023,2023,9,36,251
08/10/2023,2023,9,36,252
09/10/2023,2023,10,37,253
10/10/2023,2023,10,37,254
11/10/2023,2023,10,37,255
12/10/2023,2023,10,37,256
13/10/2023,2023,10,37,257
14/10/2023,2023,10,37,258
15/10/2023,2023,10,37,259
16/10/2023,2023,10,38,260
17/10/2023,2023,10,38,261
18/10/2023,2023,10,38,262
19/10/2023,2023,10,38,263
20/10/2023,2023,10,38,264
21/10/2023,2023,10,38,265
22/10/2023,2023,10,38,266
23/10/2023,2023,10,39,267
24/10/2023,2023,10,39,268
25/10/2023,2023,10,39,269
26/10/2023,2023,10,39,270
27/10/2023,2023,10,39,271
28/10/2023,2023,10,39,272
29/10/2023,2023,10,39,273
30/10/2023,2023,10,40,274
31/10/2023,2023,10,40,275
01/11/2023,2023,10,40,276
02/11/2023,2023,10,40,277
03/11/2023,2023,10,40,278
04/11/2023,2023,10,40,279
05/11/2023,2023,10,40,280
06/11/2023,2023,11,41,281
07/11/2023,2023,11,41,282
08/11/2023,2023,11,41,283
09/11/2023,2023,11,41,284
10/11/2023,2023,11,41,285
11/11/2023,2023,11,41,286
12/11/2023,2023,11,41,287
13/11/2023,2023,11,42,288
14/11/2023,2023,11,42,289
15/11/2023,2023,11,42,290
16/11/2023,2023,11,42,291
17/11/2023,2023,11,42,292
18/11/2023,2023,11,42,293
19/11/2023,2023,11,42,294
20/11/2023,2023,11,43,295
21/11/2023,2023,11,43,296
22/11/2023,2023,11,43,297
23/11/2023,2023,11,43,298
24/11/2023,2023,11,43,299
25/11/2023,2023,11,43,300
26/11/2023,2023,11,43,301
27/11/2023,2023,11,44,302
28/11/2023,2023,11,44,303
29/11/2023,2023,11,44,304
30/11/2023,2023,11,44,305
01/12/2023,2023,11,44,306
02/12/2023,2023,11,44,307
03/12/2023,2023,11,44,308
04/12/2023,2023,12,45,309
05/12/2023,2023,12,45,310
06/12/2023,2023,12,45,311
07/12/2023,2023,12,45,312
08/12/2023,2023,12,45,313
09/12/2023,2023,12,45,314
10/12/2023,2023,12,45,315
11/12/2023,2023,12,46,316
12/12/2023,2023,12,46,317
13/12/2023,2023,12,46,318
14/12/2023,2023,12,46,319
15/12/2023,2023,12,46,320
16/12/2023,2023,12,46,321
17/12/2023,2023,12,46,322
18/12/2023,2023,12,47,323
19/12/2023,2023,12,47,324
20/12/2023,2023,12,47,325
21/12/2023,2023,12,47,326
22/12/2023,2023,12,47,327
23/12/2023,2023,12,47,328
24/12/2023,2023,12,47,329
25/12/2023,2023,12,48,330
26/12/2023,2023,12,48,331
27/12/2023,2023,12,48,332
28/12/2023,2023,12,48,333
29/12/2023,2023,12,48,334
30/12/2023,2023,12,48,335
31/12/2023,2023,12,48,336
01/01/2023,2022,12,48,336
02/01/2023,2022,13,49,337
03/01/2023,2022,13,49,338
04/01/2023,2022,13,49,339
05/01/2023,2022,13,49,340
06/01/2023,2022,13,49,341
07/01/2023,2022,13,49,342
08/01/2023,2022,13,49,343
09/01/2023,2022,13,50,344
10/01/2023,2022,13,50,345
11/01/2023,2022,13,50,346
12/01/2023,2022,13,50,347
13/01/2023,2022,13,50,348
14/01/2023,2022,13,50,349
15/01/2023,2022,13,50,350
16/01/2023,2022,13,51,351
17/01/2023,2022,13,51,352
18/01/2023,2022,13,51,353
19/01/2023,2022,13,51,354
20/01/2023,2022,13,51,355
21/01/2023,2022,13,51,356
22/01/2023,2022,13,51,357
