Calendar Date,Reporting Day,Reporting Week,Reporting Month,Reporting Year
01/01/2023,336,48,12,2022
02/01/2023,337,49,13,2022
03/01/2023,338,49,13,2022
04/01/2023,339,49,13,2022
05/01/2023,340,49,13,2022
06/01/2023,341,49,13,2022
07/01/2023,342,49,13,2022
08/01/2023,343,49,13,2022
09/01/2023,344,50,13,2022
10/01/2023,345,50,13,2022
11/01/2023,346,50,13,2022
12/01/2023,347,50,13,2022
13/01/2023,348,50,13,2022
14/01/2023,349,50,13,2022
15/01/2023,350,50,13,2022
16/01/2023,351,51,13,2022
17/01/2023,352,51,13,2022
18/01/2023,353,51,13,2022
19/01/2023,354,51,13,2022
20/01/2023,355,51,13,2022
21/01/2023,356,51,13,2022
22/01/2023,357,51,13,2022
23/01/2023,358,52,13,2022
24/01/2023,359,52,13,2022
25/01/2023,360,52,13,2022
26/01/2023,361,52,13,2022
27/01/2023,362,52,13,2022
28/01/2023,363,52,13,2022
29/01/2023,364,52,13,2022
30/01/2023,1,1,1,2023
31/01/2023,2,1,1,2023
01/02/2023,3,1,1,2023
02/02/2023,4,1,1,2023
03/02/2023,5,1,1,2023
04/02/2023,6,1,1,2023
05/02/2023,7,1,1,2023
06/02/2023,8,2,1,2023
07/02/2023,9,2,1,2023
08/02/2023,10,2,1,2023
09/02/2023,11,2,1,2023
10/02/2023,12,2,1,2023
11/02/2023,13,2,1,2023
12/02/2023,14,2,1,2023
13/02/2023,15,3,1,2023
14/02/2023,16,3,1,2023
15/02/2023,17,3,1,2023
16/02/2023,18,3,1,2023
17/02/2023,19,3,1,2023
18/02/2023,20,3,1,2023
19/02/2023,21,3,1,2023
20/02/2023,22,4,1,2023
21/02/2023,23,4,1,2023
22/02/2023,24,4,1,2023
23/02/2023,25,4,1,2023
24/02/2023,26,4,1,2023
25/02/2023,27,4,1,2023
26/02/2023,28,4,1,2023
27/02/2023,29,5,2,2023
28/02/2023,30,5,2,2023
01/03/2023,31,5,2,2023
02/03/2023,32,5,2,2023
03/03/2023,33,5,2,2023
04/03/2023,34,5,2,2023
05/03/2023,35,5,2,2023
06/03/2023,36,6,2,2023
07/03/2023,37,6,2,2023
08/03/2023,38,6,2,2023
09/03/2023,39,6,2,2023
10/03/2023,40,6,2,2023
11/03/2023,41,6,2,2023
12/03/2023,42,6,2,2023
13/03/2023,43,7,2,2023
14/03/2023,44,7,2,2023
15/03/2023,45,7,2,2023
16/03/2023,46,7,2,2023
17/03/2023,47,7,2,2023
18/03/2023,48,7,2,2023
19/03/2023,49,7,2,2023
20/03/2023,50,8,2,2023
21/03/2023,51,8,2,2023
22/03/2023,52,8,2,2023
23/03/2023,53,8,2,2023
24/03/2023,54,8,2,2023
25/03/2023,55,8,2,2023
26/03/2023,56,8,2,2023
27/03/2023,57,9,3,2023
28/03/2023,58,9,3,2023
29/03/2023,59,9,3,2023
30/03/2023,60,9,3,2023
31/03/2023,61,9,3,2023
01/04/2023,62,9,3,2023
02/04/2023,63,9,3,2023
03/04/2023,64,10,3,2023
04/04/2023,65,10,3,2023
05/04/2023,66,10,3,2023
06/04/2023,67,10,3,2023
07/04/2023,68,10,3,2023
08/04/2023,69,10,3,2023
09/04/2023,70,10,3,2023
10/04/2023,71,11,3,2023
11/04/2023,72,11,3,2023
12/04/2023,73,11,3,2023
13/04/2023,74,11,3,2023
14/04/2023,75,11,3,2023
15/04/2023,76,11,3,2023
16/04/2023,77,11,3,2023
17/04/2023,78,12,3,2023
18/04/2023,79,12,3,2023
19/04/2023,80,12,3,2023
20/04/2023,81,12,3,2023
21/04/2023,82,12,3,2023
22/04/2023,83,12,3,2023
23/04/2023,84,12,3,2023
24/04/2023,85,13,4,2023
25/04/2023,86,13,4,2023
26/04/2023,87,13,4,2023
27/04/2023,88,13,4,2023
28/04/2023,89,13,4,2023
29/04/2023,90,13,4,2023
30/04/2023,91,13,4,2023
01/05/2023,92,14,4,2023
02/05/2023,93,14,4,2023
03/05/2023,94,14,4,2023
04/05/2023,95,14,4,2023
05/05/2023,96,14,4,2023
06/05/2023,97,14,4,2023
07/05/2023,98,14,4,2023
08/05/2023,99,15,4,2023
09/05/2023,100,15,4,2023
10/05/2023,101,15,4,2023
11/05/2023,102,15,4,2023
12/05/2023,103,15,4,2023
13/05/2023,104,15,4,2023
14/05/2023,105,15,4,2023
15/05/2023,106,16,4,2023
16/05/2023,107,16,4,2023
