Year,Week,Level,Themes,Watch out for...,Comes from Real Example
2019,1,Beginner,"Date Conversion, Pivot Cols to Rows, Multiple Join Clause, Aggregate",,N
2019,2,Beginner,"Group Values, Pivot Rows to Cols, Data Interpretor",,N
2019,3,Intermediate,"Scaffolding, Date Calcs",,N
2019,4,Beginner,"String Calculations, Date Calculations, Profile Pane",Doesn't need analysis in Desktop,N
2019,5,Beginner,"Date Calculations, String Calculations, Join, Wildcard Union",,N
2019,6,Beginner,"Date Conversion, Wildcard Union, Aggregation, Join, Union, Split",,N
2019,7,Beginner,"String Calculations, Aggregation, Multiple Join Clause, Logical Calcs",,N
2019,8,Beginner,"Profile Pane, Split, Pivot Rows to Cols, Aggregation, Join",,N
2019,9,Intermediate,"Pivot Cols to Rows, Left only join, Split, String Calcs",,N
2019,10,Beginner,"Split, Right Join, Date Calcs, String Calcs, Aggregate",,N
2019,11,Intermediate,"Split, Pivot Rows to Cols, Date Calcs",JSON Parsing,N
2019,12,Intermediate,"Date Calcs, Left only join, Non equal join clause, multiple join clause, Fixed LOD",,N
2019,13,Beginner,"Date Calcs, Logical Calcs, Aggregate",,N
2019,14,Intermediate,"Pivot Cols to Rows, Aggregate, Aggregate Calcs, Numeric Calcs",,N
2019,15,Intermediate,"Wildcard Union, Split, Fixed LOD",,N
2019,16,Intermediate,"Wildcard Union, Date Calculation, Rank, Aggregate",,N
2019,17,Intermediate,"Pivot Cols to Rows, Aggregate, Union, Fixed LOD, String Calcs",,N
2019,18,Intermediate,"Split, Pivot Cols to Rows, Fixed LOD",,N
2019,19,Beginner,"String calcs, Split, Aggregate, Numeric Calc",,N
2019,20,Intermediate,"Non-equal join clause, Date Calcs, Split, multiple join clause, Aggregate",,N
2019,21,Intermediate,"Union, String Calcs, Date Calcs, Update a workflow",Follow on from previous week,N
2019,22,Intermediate,Moving average,,N
2019,23,Beginner,"String calcs, Wildcard Union, Split",Clean step only,N
2019,24,Intermediate,"Regex, Date Conversion, String Calcs, Logical calc, Aggregate",,N
2019,25,Beginner,"Split, Pivot Cols to Rows, Aggregate to deduplicate",WOW Collab,N
2019,26,Intermediate,"Split, Pivot Cols to Rows, Fixed LOD",Click only challenge,N
