Total,Technique,Beginner,Intermediate,Advanced,3-in-1,Priority
61,Date Calcs,19,30,12,,23
85,Pivot Cols to Rows,16,50,18,1,26
45,Multiple Join Clause,7,21,16,1,19
108,Aggregate,31,61,16,,27
22,Group Values,8,13,1,,14
49,Pivot Rows to Cols,11,28,10,,20
11,Data Interpreter,1,9,1,,9
36,Scaffolding,2,11,23,,18
51,String Calcs,11,30,9,1,21
2,Profile Pane,2,,,,2
22,Join,13,9,,,14
32,Wildcard Union,8,16,8,,16
33,Union,5,22,6,,17
79,Split,18,52,8,1,25
4,Logical Calcs,2,1,1,,4
9,Left only join,,7,2,,7
23,Left Join,1,11,11,,15
21,Non Equal Join Clause,,10,11,,13
60,Fixed LOD,2,36,22,,22
1,Aggregate Calcs,,1,,,1
10,Numeric Calcs,2,7,1,,8
73,Rank,8,36,29,,24
2,Update a workflow,,2,,,2
6,Moving Calculation,,2,4,,6
2,Regex,,1,1,,2
6,Aggregate to Deduplicate,2,3,1,,6
15,Running Total,,1,14,,11
5,Multiple Pivot,,5,,,5
2,Conversions,1,1,,,2
2,Full outer join,,1,1,,2
16,IF statements,5,11,,,12
4,Data Roles,,3,1,,4
1,Space function,,1,,,1
16,% of Total,3,9,4,,12
1,NPS,,1,,,1
4,Merge fields,1,2,1,,4
14,Append,,5,9,,10
1,Complex Logical Filters,,1,,,1
2,Cleaning calcs,,2,,,2
1,Normalise,,1,,,1
3,Filters,,3,,,3
4,Non inner join,,3,1,,4
15,Lookup,,4,11,,11
9,Fill down,,4,5,,7
1,Fiscal Date,,,1,,1
5,Source Row Number,,3,2,,5
1,Grouping steps,,1,,,1
2,Custom Fiscal Year,,2,,,2
2,Concatenate,1,1,,,2
1,Data Densification,,,1,,1
1,Changing Separator in csv,,1,,,1
3,Clean step only,3,,,,3
4,Targets,4,,,,4
1,Currency Conversion,,1,,,1
1,Random,,,1,,1
3,Rank with multiple order bys,,3,,,3
15,Parameter,,7,8,,11
1,Self Join,,,1,,1
2,Tile,1,1,,,2
2,Dynamic Rename,,2,,,2
1,Title Case,,1,,,1
1,Remove Punctuation,1,,,,1
1,Aggregate to correct LOD,1,,,,1
1,Changing Data Type at input to avoid nulls,,1,,,1
1,Country Roles,,1,,,1
1,CASE function,,1,,,1
1,Adding datetime stamp to output,,,1,,1
2,Difference From,,1,1,,2
1,SIGN function,,,1,,1
1,Create Lookup Table,,1,,,1
2,Percentile Rank,,2,,,2
1,Mod function,,,1,,1
1,Compound interest,,,1,,1
