Flight Details,Flow Card?,Bags Checked,Meal Type
2024-07-22//PA010//Tokyo-New York//Economy//2380,1,0,Egg Free
2024-09-28//PA008//Perth-New York//Economy//1855,0,2,Vegetarian
2024-04-20//PA002//New York-London//Economy//3490,1,1,Vegan
2024-01-23//PA010//Tokyo-New York//Premium Economy//825,1,1,Vegetarian
2024-10-01//PA008//Perth-New York//Business Class//634.79999999999995,0,0,Vegetarian
2024-03-04//PA007//New York-Perth//Business Class//458.39999999999998,0,3,Nut Free
2024-06-05//PA006//Tokyo-London//First Class//618,1,3,Vegan
2024-02-25//PA010//Tokyo-New York//Premium Economy//1435,0,0,None
2024-03-30//PA004//Perth-London//First Class//446,1,1,Nut Free
2024-06-14//PA006//Tokyo-London//Premium Economy//1062.5,1,3,Egg Free
2024-07-15//PA006//Tokyo-London//First Class//499,1,1,Egg Free
2024-02-25//PA004//Perth-London//Premium Economy//827.5,1,0,Vegetarian
2024-07-26//PA004//Perth-London//Economy//2245,1,1,Vegan
2024-03-29//PA004//Perth-London//Economy//2730,0,2,Vegan
2024-06-07//PA005//London-Tokyo//Business Class//294,0,2,Egg Free
2024-06-30//PA009//New York-Tokyo//First Class//236,0,1,Vegetarian
2024-08-12//PA011//Perth-Tokyo//Economy//2570,0,2,Vegan
2024-12-10//PA004//Perth-London//Business Class//391.19999999999999,1,2,Vegetarian
2024-11-05//PA010//Tokyo-New York//First Class//397,0,2,None
2024-09-23//PA005//London-Tokyo//First Class//626,1,2,Vegetarian
2024-03-19//PA003//London-Perth//First Class//585,0,2,Egg Free
2024-02-19//PA011//Perth-Tokyo//Premium Economy//630,0,3,Nut Free
2024-03-10//PA011//Perth-Tokyo//Business Class//556.79999999999995,0,3,Dairy Free
2024-06-04//PA006//Tokyo-London//First Class//537,1,2,Dairy Free
2024-04-16//PA008//Perth-New York//First Class//216,1,0,Vegan
2024-06-21//PA004//Perth-London//Business Class//646.79999999999995,1,3,None
2024-12-21//PA006//Tokyo-London//Business Class//307.19999999999999,0,3,Nut Free
2024-10-20//PA003//London-Perth//Economy//2215,1,3,Nut Free
2024-02-17//PA003//London-Perth//Business Class//784.79999999999995,1,3,Vegan
2024-12-18//PA002//New York-London//Premium Economy//917.5,0,2,Dairy Free
2024-05-28//PA005//London-Tokyo//Economy//1505,1,2,Dairy Free
2024-06-19//PA003//London-Perth//First Class//454,1,1,Dairy Free
2024-02-11//PA012//Tokyo-Perth//Premium Economy//1142.5,1,3,Vegan
2024-01-17//PA006//Tokyo-London//Business Class//712.79999999999995,1,3,Vegetarian
2024-06-16//PA012//Tokyo-Perth//Business Class//555.60000000000002,0,1,Vegetarian
2024-03-07//PA006//Tokyo-London//Business Class//811.19999999999993,0,0,Egg Free
2024-07-29//PA008//Perth-New York//Economy//2225,0,0,Nut Free
2024-07-04//PA004//Perth-London//Economy//2705,0,0,Egg Free
2024-04-08//PA003//London-Perth//First Class//525,1,2,Dairy Free
2024-04-12//PA007//New York-Perth//First Class//696,1,1,Vegetarian
2024-09-03//PA004//Perth-London//Economy//3445,1,0,Vegetarian
2024-11-02//PA008//Perth-New York//First Class//242,1,2,Egg Free
2024-01-11//PA002//New York-London//First Class//406,1,3,Vegan
2024-01-06//PA011//Perth-Tokyo//Premium Economy//632.5,0,1,Dairy Free
2024-08-31//PA012//Tokyo-Perth//Premium Economy//1207.5,0,2,Dairy Free
2024-03-26//PA008//Perth-New York//Business Class//484.79999999999995,0,2,Egg Free
2024-08-07//PA005//London-Tokyo//Business Class//739.19999999999993,1,0,Nut Free
2024-11-17//PA009//New York-Tokyo//First Class//578,0,2,Vegan
2024-02-12//PA010//Tokyo-New York//Premium Economy//842.5,0,2,Vegan
2024-05-05//PA012//Tokyo-Perth//Business Class//788.39999999999998,0,1,Egg Free
2024-02-25//PA010//Tokyo-New York//Economy//1495,1,3,Egg Free
2024-08-30//PA005//London-Tokyo//First Class//417,0,2,Egg Free
2024-12-04//PA003//London-Perth//Economy//2820,1,0,Vegetarian
2024-02-13//PA005//London-Tokyo//First Class//693,1,2,None
2024-12-24//PA006//Tokyo-London//Premium Economy//1710,0,0,Vegan
2024-03-23//PA005//London-Tokyo//Economy//3375,1,2,None
2024-10-09//PA012//Tokyo-Perth//Economy//1340,1,2,Nut Free
2024-07-05//PA005//London-Tokyo//Premium Economy//1677.5,1,3,Dairy Free
2024-05-19//PA004//Perth-London//Business Class//811.19999999999993,0,1,Vegetarian
2024-06-09//PA003//London-Perth//Business Class//432,1,1,Vegan
2024-03-21//PA002//New York-London//First Class//230,0,3,Nut Free
2024-10-06//PA001//London-New York//Business Class//349.19999999999999,0,2,None
2024-04-16//PA010//Tokyo-New York//Economy//3105,1,1,Dairy Free
2024-08-19//PA001//London-New York//Economy//2550,1,3,Dairy Free
2024-07-16//PA003//London-Perth//First Class//284,1,3,Nut Free
2024-05-31//PA009//New York-Tokyo//Economy//2450,1,3,None
2024-07-25//PA007//New York-Perth//Business Class//573.60000000000002,1,1,Vegan
