Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
28/09/2024,PA008,Perth,New York,Economy,1855,No,2,Vegetarian
01/10/2024,PA008,Perth,New York,Business Class,634.8,No,0,Vegetarian
04/03/2024,PA007,New York,Perth,Business Class,458.4,No,3,Nut Free
25/02/2024,PA010,Tokyo,New York,Premium Economy,1435,No,0,None
29/03/2024,PA004,Perth,London,Economy,2730,No,2,Vegan
07/06/2024,PA005,London,Tokyo,Business Class,294,No,2,Egg Free
30/06/2024,PA009,New York,Tokyo,First Class,236,No,1,Vegetarian
12/08/2024,PA011,Perth,Tokyo,Economy,2570,No,2,Vegan
05/11/2024,PA010,Tokyo,New York,First Class,397,No,2,None
19/03/2024,PA003,London,Perth,First Class,585,No,2,Egg Free
19/02/2024,PA011,Perth,Tokyo,Premium Economy,630,No,3,Nut Free
10/03/2024,PA011,Perth,Tokyo,Business Class,556.8,No,3,Dairy Free
21/12/2024,PA006,Tokyo,London,Business Class,307.2,No,3,Nut Free
18/12/2024,PA002,New York,London,Premium Economy,917.5,No,2,Dairy Free
16/06/2024,PA012,Tokyo,Perth,Business Class,555.6,No,1,Vegetarian
07/03/2024,PA006,Tokyo,London,Business Class,811.2,No,0,Egg Free
29/07/2024,PA008,Perth,New York,Economy,2225,No,0,Nut Free
04/07/2024,PA004,Perth,London,Economy,2705,No,0,Egg Free
06/01/2024,PA011,Perth,Tokyo,Premium Economy,632.5,No,1,Dairy Free
31/08/2024,PA012,Tokyo,Perth,Premium Economy,1207.5,No,2,Dairy Free
26/03/2024,PA008,Perth,New York,Business Class,484.8,No,2,Egg Free
17/11/2024,PA009,New York,Tokyo,First Class,578,No,2,Vegan
12/02/2024,PA010,Tokyo,New York,Premium Economy,842.5,No,2,Vegan
05/05/2024,PA012,Tokyo,Perth,Business Class,788.4,No,1,Egg Free
30/08/2024,PA005,London,Tokyo,First Class,417,No,2,Egg Free
24/12/2024,PA006,Tokyo,London,Premium Economy,1710,No,0,Vegan
19/05/2024,PA004,Perth,London,Business Class,811.2,No,1,Vegetarian
21/03/2024,PA002,New York,London,First Class,230,No,3,Nut Free
06/10/2024,PA001,London,New York,Business Class,349.2,No,2,None
06/01/2024,PA008,Perth,New York,Premium Economy,820,No,3,None
01/06/2024,PA006,Tokyo,London,First Class,416,No,2,Vegan
06/11/2024,PA001,London,New York,Business Class,546,No,1,Dairy Free
16/03/2024,PA011,Perth,Tokyo,Economy,3210,No,0,Nut Free
16/05/2024,PA009,New York,Tokyo,Economy,1540,No,3,Vegan
09/05/2024,PA012,Tokyo,Perth,Economy,3325,No,1,Egg Free
23/05/2024,PA004,Perth,London,Economy,3375,No,2,Vegan
18/12/2024,PA002,New York,London,Economy,2910,No,2,Egg Free
02/02/2024,PA012,Tokyo,Perth,Economy,3155,No,2,Egg Free
20/10/2024,PA002,New York,London,Premium Economy,1547.5,No,3,Egg Free
