Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
22/07/2024,PA010,Tokyo,New York,Economy,2380,Yes,0,Egg Free
20/04/2024,PA002,New York,London,Economy,3490,Yes,1,Vegan
23/01/2024,PA010,Tokyo,New York,Premium Economy,825,Yes,1,Vegetarian
05/06/2024,PA006,Tokyo,London,First Class,618,Yes,3,Vegan
30/03/2024,PA004,Perth,London,First Class,446,Yes,1,Nut Free
14/06/2024,PA006,Tokyo,London,Premium Economy,1062.5,Yes,3,Egg Free
15/07/2024,PA006,Tokyo,London,First Class,499,Yes,1,Egg Free
25/02/2024,PA004,Perth,London,Premium Economy,827.5,Yes,0,Vegetarian
26/07/2024,PA004,Perth,London,Economy,2245,Yes,1,Vegan
10/12/2024,PA004,Perth,London,Business Class,391.2,Yes,2,Vegetarian
23/09/2024,PA005,London,Tokyo,First Class,626,Yes,2,Vegetarian
04/06/2024,PA006,Tokyo,London,First Class,537,Yes,2,Dairy Free
16/04/2024,PA008,Perth,New York,First Class,216,Yes,0,Vegan
21/06/2024,PA004,Perth,London,Business Class,646.8,Yes,3,None
20/10/2024,PA003,London,Perth,Economy,2215,Yes,3,Nut Free
17/02/2024,PA003,London,Perth,Business Class,784.8,Yes,3,Vegan
28/05/2024,PA005,London,Tokyo,Economy,1505,Yes,2,Dairy Free
19/06/2024,PA003,London,Perth,First Class,454,Yes,1,Dairy Free
11/02/2024,PA012,Tokyo,Perth,Premium Economy,1142.5,Yes,3,Vegan
17/01/2024,PA006,Tokyo,London,Business Class,712.8,Yes,3,Vegetarian
08/04/2024,PA003,London,Perth,First Class,525,Yes,2,Dairy Free
12/04/2024,PA007,New York,Perth,First Class,696,Yes,1,Vegetarian
03/09/2024,PA004,Perth,London,Economy,3445,Yes,0,Vegetarian
02/11/2024,PA008,Perth,New York,First Class,242,Yes,2,Egg Free
11/01/2024,PA002,New York,London,First Class,406,Yes,3,Vegan
07/08/2024,PA005,London,Tokyo,Business Class,739.2,Yes,0,Nut Free
25/02/2024,PA010,Tokyo,New York,Economy,1495,Yes,3,Egg Free
04/12/2024,PA003,London,Perth,Economy,2820,Yes,0,Vegetarian
13/02/2024,PA005,London,Tokyo,First Class,693,Yes,2,None
23/03/2024,PA005,London,Tokyo,Economy,3375,Yes,2,None
09/10/2024,PA012,Tokyo,Perth,Economy,1340,Yes,2,Nut Free
05/07/2024,PA005,London,Tokyo,Premium Economy,1677.5,Yes,3,Dairy Free
09/06/2024,PA003,London,Perth,Business Class,432,Yes,1,Vegan
16/04/2024,PA010,Tokyo,New York,Economy,3105,Yes,1,Dairy Free
19/08/2024,PA001,London,New York,Economy,2550,Yes,3,Dairy Free
16/07/2024,PA003,London,Perth,First Class,284,Yes,3,Nut Free
31/05/2024,PA009,New York,Tokyo,Economy,2450,Yes,3,None
25/07/2024,PA007,New York,Perth,Business Class,573.6,Yes,1,Vegan
21/11/2024,PA006,Tokyo,London,Economy,2270,Yes,2,Dairy Free
28/07/2024,PA010,Tokyo,New York,Premium Economy,1020,Yes,0,Nut Free
16/08/2024,PA007,New York,Perth,Premium Economy,1665,Yes,3,Egg Free
18/03/2024,PA003,London,Perth,Business Class,615.6,Yes,3,Nut Free
21/09/2024,PA002,New York,London,Premium Economy,1175,Yes,0,Vegan
05/07/2024,PA001,London,New York,Premium Economy,850,Yes,0,Egg Free
20/08/2024,PA010,Tokyo,New York,Premium Economy,1365,Yes,0,Egg Free
15/10/2024,PA008,Perth,New York,Business Class,386.4,Yes,3,Egg Free
12/12/2024,PA010,Tokyo,New York,Business Class,793.2,Yes,1,None
14/02/2024,PA006,Tokyo,London,Business Class,270,Yes,0,Dairy Free
23/11/2024,PA003,London,Perth,Business Class,538.8,Yes,1,Vegetarian
