Away Score,Away Team,Home Score,Home Team,Matchday,Source Row Number,Date
1,Nottm Forest,2,Arsenal,1,1,12/08/2023
3,Man City,0,Burnley,1,1,11/08/2023
1,West Ham,1,Bournemouth,1,2,12/08/2023
1,Crystal Palace,0,Sheffield United,1,2,12/08/2023
1,Fulham,0,Everton,1,3,12/08/2023
1,Luton Town,4,Brighton,1,3,12/08/2023
2,Tottenham,2,Brentford,1,4,13/08/2023
1,Aston Villa,5,Newcastle,1,4,12/08/2023
0,Wolves,1,Man United,1,5,14/08/2023
1,Liverpool,1,Chelsea,1,5,13/08/2023
1,Bournemouth,3,Liverpool,2,7,19/08/2023
1,Sheffield United,2,Nottm Forest,2,7,18/08/2023
3,Brentford,0,Fulham,2,8,19/08/2023
4,Brighton,1,Wolves,2,8,19/08/2023
0,Newcastle,1,Man City,2,9,19/08/2023
0,Man United,2,Tottenham,2,9,19/08/2023
1,Chelsea,3,West Ham,2,10,20/08/2023
0,Everton,4,Aston Villa,2,10,20/08/2023
1,Arsenal,0,Crystal Palace,2,11,21/08/2023
2,Tottenham,0,Bournemouth,3,13,26/08/2023
0,Luton Town,3,Chelsea,3,13,25/08/2023
2,Fulham,2,Arsenal,3,14,26/08/2023
1,Crystal Palace,1,Brentford,3,14,26/08/2023
1,Wolves,0,Everton,3,15,26/08/2023
2,Nottm Forest,3,Man United,3,15,26/08/2023
2,Man City,1,Sheffield United,3,16,27/08/2023
3,West Ham,1,Brighton,3,16,26/08/2023
2,Liverpool,1,Newcastle,3,17,27/08/2023
3,Aston Villa,1,Burnley,3,17,27/08/2023
2,West Ham,1,Luton Town,4,19,01/09/2023
1,Fulham,5,Man City,4,20,02/09/2023
2,Everton,2,Sheffield United,4,20,02/09/2023
5,Tottenham,2,Burnley,4,21,02/09/2023
1,Nottm Forest,0,Chelsea,4,21,02/09/2023
1,Newcastle,3,Brighton,4,22,02/09/2023
2,Bournemouth,2,Brentford,4,22,02/09/2023
0,Aston Villa,3,Liverpool,4,23,03/09/2023
2,Wolves,3,Crystal Palace,4,23,03/09/2023
1,Man United,3,Arsenal,4,24,03/09/2023
0,Luton Town,1,Fulham,5,26,16/09/2023
3,Liverpool,1,Wolves,5,26,16/09/2023
3,Man City,1,West Ham,5,27,16/09/2023
1,Sheffield United,2,Tottenham,5,27,16/09/2023
1,Crystal Palace,3,Aston Villa,5,28,16/09/2023
3,Brighton,1,Man United,5,28,16/09/2023
0,Chelsea,0,Bournemouth,5,29,17/09/2023
0,Brentford,1,Newcastle,5,29,16/09/2023
1,Burnley,1,Nottm Forest,5,30,18/09/2023
1,Arsenal,0,Everton,5,30,17/09/2023
0,Fulham,0,Crystal Palace,6,32,23/09/2023
0,Nottm Forest,2,Man City,6,32,23/09/2023
3,Everton,1,Brentford,6,33,23/09/2023
1,Wolves,1,Luton Town,6,33,23/09/2023
1,Aston Villa,0,Chelsea,6,34,24/09/2023
1,Man United,0,Burnley,6,34,23/09/2023
1,West Ham,3,Liverpool,6,35,24/09/2023
