Source Row Number,Matchday,Date,Home Score,Home Team,Away Score,Away Team
1,1,11/08/2023,0,Burnley,3,Man City
2,1,12/08/2023,0,Sheffield United,1,Crystal Palace
3,1,12/08/2023,4,Brighton,1,Luton Town
4,1,12/08/2023,5,Newcastle,1,Aston Villa
5,1,13/08/2023,1,Chelsea,1,Liverpool
7,2,18/08/2023,2,Nottm Forest,1,Sheffield United
8,2,19/08/2023,1,Wolves,4,Brighton
9,2,19/08/2023,2,Tottenham,0,Man United
10,2,20/08/2023,4,Aston Villa,0,Everton
11,2,21/08/2023,0,Crystal Palace,1,Arsenal
13,3,25/08/2023,3,Chelsea,0,Luton Town
14,3,26/08/2023,1,Brentford,1,Crystal Palace
15,3,26/08/2023,3,Man United,2,Nottm Forest
16,3,26/08/2023,1,Brighton,3,West Ham
17,3,27/08/2023,1,Burnley,3,Aston Villa
19,4,01/09/2023,1,Luton Town,2,West Ham
20,4,02/09/2023,2,Sheffield United,2,Everton
21,4,02/09/2023,0,Chelsea,1,Nottm Forest
22,4,02/09/2023,2,Brentford,2,Bournemouth
23,4,03/09/2023,3,Crystal Palace,2,Wolves
24,4,03/09/2023,3,Arsenal,1,Man United
26,5,16/09/2023,1,Wolves,3,Liverpool
27,5,16/09/2023,2,Tottenham,1,Sheffield United
28,5,16/09/2023,1,Man United,3,Brighton
29,5,16/09/2023,1,Newcastle,0,Brentford
30,5,17/09/2023,0,Everton,1,Arsenal
32,6,23/09/2023,2,Man City,0,Nottm Forest
33,6,23/09/2023,1,Luton Town,1,Wolves
34,6,23/09/2023,0,Burnley,1,Man United
35,6,24/09/2023,2,Arsenal,2,Tottenham
36,6,24/09/2023,3,Brighton,1,Bournemouth
38,7,30/09/2023,6,Aston Villa,1,Brighton
39,7,30/09/2023,2,Newcastle,0,Burnley
40,7,30/09/2023,0,Bournemouth,4,Arsenal
41,7,30/09/2023,1,Everton,2,Luton Town
42,7,01/10/2023,1,Nottm Forest,1,Brentford
44,2,03/10/2023,1,Luton Town,2,Burnley
46,8,07/10/2023,0,Luton Town,1,Tottenham
47,8,07/10/2023,1,Burnley,4,Chelsea
48,8,07/10/2023,3,Everton,0,Bournemouth
49,8,08/10/2023,2,Brighton,2,Liverpool
50,8,08/10/2023,1,Wolves,1,Aston Villa
52,9,21/10/2023,2,Liverpool,0,Everton
53,9,21/10/2023,1,Bournemouth,2,Wolves
54,9,21/10/2023,2,Man City,1,Brighton
55,9,21/10/2023,2,Chelsea,2,Arsenal
56,9,22/10/2023,4,Aston Villa,1,West Ham
58,10,27/10/2023,1,Crystal Palace,2,Tottenham
59,10,28/10/2023,5,Arsenal,0,Sheffield United
60,10,28/10/2023,2,Wolves,2,Newcastle
61,10,29/10/2023,1,Brighton,1,Fulham
62,10,29/10/2023,3,Liverpool,0,Nottm Forest
64,11,04/11/2023,0,Fulham,1,Man United
65,11,04/11/2023,6,Man City,1,Bournemouth
66,11,04/11/2023,0,Burnley,2,Crystal Palace
67,11,04/11/2023,1,Newcastle,0,Arsenal
68,11,05/11/2023,1,Luton Town,1,Liverpool
70,12,11/11/2023,2,Wolves,1,Tottenham
71,12,11/11/2023,3,Arsenal,1,Burnley
72,12,11/11/2023,2,Bournemouth,0,Newcastle
73,12,12/11/2023,1,Brighton,1,Sheffield United
74,12,12/11/2023,3,Liverpool,0,Brentford
76,13,25/11/2023,1,Man City,1,Liverpool
77,13,25/11/2023,2,Nottm Forest,3,Brighton
78,13,25/11/2023,2,Luton Town,1,Crystal Palace
79,13,25/11/2023,0,Brentford,1,Arsenal
80,13,26/11/2023,0,Everton,3,Man United
82,14,02/12/2023,3,Brentford,1,Luton Town
83,14,02/12/2023,5,Burnley,0,Sheffield United
84,14,02/12/2023,1,Newcastle,0,Man United
85,14,03/12/2023,4,Liverpool,3,Fulham
86,14,03/12/2023,2,Bournemouth,2,Aston Villa
88,15,05/12/2023,1,Wolves,0,Burnley
89,15,06/12/2023,0,Sheffield United,2,Liverpool
90,15,06/12/2023,0,Crystal Palace,2,Bournemouth
91,15,06/12/2023,1,Aston Villa,0,Man City
92,15,06/12/2023,2,Man United,1,Chelsea
93,15,07/12/2023,1,Tottenham,2,West Ham
95,16,09/12/2023,1,Crystal Palace,2,Liverpool
96,16,09/12/2023,1,Brighton,1,Burnley
97,16,09/12/2023,0,Man United,3,Bournemouth
98,16,10/12/2023,1,Luton Town,2,Man City
99,16,10/12/2023,2,Everton,0,Chelsea
101,17,15/12/2023,0,Nottm Forest,2,Tottenham
102,17,16/12/2023,2,Man City,2,Crystal Palace
103,17,16/12/2023,0,Burnley,2,Everton
104,17,17/12/2023,1,Brentford,2,Aston Villa
105,17,17/12/2023,0,Liverpool,0,Man United
107,18,21/12/2023,1,Crystal Palace,1,Brighton
108,18,23/12/2023,2,West Ham,0,Man United
109,18,23/12/2023,2,Nottm Forest,3,Bournemouth
110,18,23/12/2023,1,Luton Town,0,Newcastle
111,18,24/12/2023,2,Wolves,1,Chelsea
113,19,26/12/2023,1,Newcastle,3,Nottm Forest
114,19,26/12/2023,3,Bournemouth,0,Fulham
115,19,26/12/2023,3,Man United,2,Aston Villa
116,19,27/12/2023,1,Brentford,4,Wolves
117,19,28/12/2023,4,Brighton,2,Tottenham
119,20,30/12/2023,2,Luton Town,3,Chelsea
120,20,30/12/2023,2,Man City,0,Sheffield United
121,20,30/12/2023,3,Wolves,0,Everton
122,20,31/12/2023,2,Fulham,1,Arsenal
123,20,01/01/2024,4,Liverpool,2,Newcastle
125,21,12/01/2024,1,Burnley,1,Luton Town
126,21,13/01/2024,2,Newcastle,3,Man City
127,21,14/01/2024,2,Man United,2,Tottenham
128,21,20/01/2024,3,Brentford,2,Nottm Forest
129,21,21/01/2024,0,Bournemouth,4,Liverpool
131,22,30/01/2024,1,Nottm Forest,2,Arsenal
