Engagement Start Date,Engagement End Date,Initials,Engagement Order,Grade Name,Day Rate
30/03/2024,08/06/2024,OL,1,Junior Consultant,500
24/08/2024,10/12/2024,OL,2,Junior Consultant,500
28/08/2024,05/10/2024,RP,1,Junior Consultant,500
02/04/2024,19/06/2024,FN,1,Junior Consultant,500
27/09/2024,24/12/2024,FN,2,Junior Consultant,500
27/01/2024,21/05/2024,BZ,1,Junior Consultant,500
11/09/2024,14/10/2024,BZ,3,Junior Consultant,500
19/04/2024,12/05/2024,ON,1,Manager,1000
14/08/2024,14/09/2024,RR,1,Senior Consultant,750
18/01/2024,26/04/2024,HM,1,Manager,1000
21/03/2024,23/06/2024,UQ,1,Senior Consultant,750
25/08/2024,29/12/2024,UQ,3,Senior Consultant,750
20/03/2024,24/06/2024,DI,1,Junior Consultant,500
30/08/2024,14/12/2024,DI,3,Junior Consultant,500
16/04/2024,11/06/2024,YU,1,Junior Consultant,500
06/08/2024,18/11/2024,YU,2,Junior Consultant,500
11/03/2024,10/06/2024,BT,1,Manager,1000
02/09/2024,17/10/2024,BT,2,Manager,1000
10/01/2024,13/04/2024,OG,1,Senior Consultant,750
30/01/2024,14/06/2024,TZ,1,Junior Consultant,500
20/08/2024,03/12/2024,TZ,4,Junior Consultant,500
21/01/2024,29/05/2024,MV,1,Senior Consultant,750
30/07/2024,17/10/2024,MV,2,Senior Consultant,750
17/07/2024,28/09/2024,PJ,1,Senior Consultant,750
17/08/2024,02/10/2024,DH,1,Manager,1000
10/04/2024,04/05/2024,YT,1,Junior Consultant,500
09/08/2024,24/10/2024,YT,2,Junior Consultant,500
28/08/2024,17/10/2024,QB,1,Senior Consultant,750
27/07/2024,24/11/2024,MC,1,Manager,1000
20/03/2024,30/04/2024,FU,1,Junior Consultant,500
06/08/2024,15/11/2024,FU,2,Junior Consultant,500
18/03/2024,27/05/2024,NI,1,Junior Consultant,500
13/09/2024,10/11/2024,NI,2,Junior Consultant,500
10/07/2024,06/09/2024,SU,1,Manager,1000
13/01/2024,02/04/2024,RA,1,Senior Consultant,750
20/01/2024,09/06/2024,CU,1,Junior Consultant,500
10/04/2024,04/04/2024,QO,1,Senior Consultant,750
10/07/2024,04/10/2024,CV,1,Senior Consultant,750
27/01/2024,10/04/2024,KA,1,Junior Consultant,500
06/08/2024,04/10/2024,KA,2,Junior Consultant,500
20/03/2024,30/05/2024,BQ,1,Junior Consultant,500
10/08/2024,07/10/2024,BQ,2,Junior Consultant,500
11/07/2024,10/10/2024,UA,1,Senior Consultant,750
17/04/2024,14/05/2024,AN,1,Junior Consultant,500
01/07/2024,21/12/2024,AN,3,Junior Consultant,500
08/04/2024,26/04/2024,HD,1,Junior Consultant,500
10/04/2024,06/05/2024,CF,1,Manager,1000
27/01/2024,12/05/2024,GY,1,Junior Consultant,500
23/09/2024,06/10/2024,GY,2,Junior Consultant,500
06/09/2024,24/12/2024,ZE,1,Manager,1000
10/03/2024,06/05/2024,CP,1,Senior Consultant,750
28/07/2024,27/12/2024,CP,2,Senior Consultant,750
17/01/2024,08/05/2024,JS,1,Junior Consultant,500
12/01/2024,16/05/2024,WO,1,Junior Consultant,500
05/08/2024,22/11/2024,WO,2,Junior Consultant,500
25/02/2024,03/05/2024,DX,1,Junior Consultant,500
20/07/2024,30/09/2024,DX,2,Junior Consultant,500
27/03/2024,26/05/2024,YD,1,Junior Consultant,500
22/07/2024,05/12/2024,YD,2,Junior Consultant,500
07/07/2024,23/11/2024,JD,1,Junior Consultant,500
11/08/2024,02/11/2024,WX,1,Manager,1000
01/04/2024,09/06/2024,WL,1,Junior Consultant,500
20/07/2024,23/12/2024,WL,2,Junior Consultant,500
04/08/2024,26/11/2024,JJ,1,Manager,1000
21/07/2024,13/10/2024,WV,1,Junior Consultant,500
02/03/2024,23/06/2024,UM,1,Junior Consultant,500
09/07/2024,26/12/2024,HI,1,Junior Consultant,500
01/09/2024,09/09/2024,UU,1,Junior Consultant,500
07/07/2024,02/12/2024,BW,1,Senior Consultant,750
07/07/2024,20/09/2024,MI,1,Manager,1000
24/07/2024,21/09/2024,PU,1,Senior Consultant,750
26/03/2024,26/05/2024,AH,1,Senior Consultant,750
21/07/2024,13/12/2024,AH,3,Senior Consultant,750
03/02/2024,26/05/2024,FK,1,Junior Consultant,500
23/07/2024,26/12/2024,FK,3,Junior Consultant,500
09/08/2024,24/12/2024,KP,1,Manager,1000
23/02/2024,29/06/2024,VL,1,Senior Consultant,750
10/08/2024,29/11/2024,BE,1,Senior Consultant,750
09/09/2024,11/12/2024,GV,1,Senior Consultant,750
14/01/2024,14/06/2024,ZJ,1,Junior Consultant,500
