Continent,Rank,Country,% Years Above Continent Avg,% Change
North America,1,Guatemala,0,82.1
North America,2,Nicaragua,0,75
North America,3,Haiti,0,70.9
Africa,1,Libya,84.5,115.8
Africa,2,Mali,0,108.1
Africa,3,Sierra Leone,0,102.1
Oceania,1,Solomon Islands,0,75.4
Oceania,2,Tuvalu,0,74.9
Oceania,3,Papua New Guinea,0,68.1
Asia,1,North Korea,62,430.2
Asia,2,South Korea,94.4,292.3
Asia,3,Oman,59.2,152
South America,1,Peru,23.9,59.3
South America,2,Bolivia,0,58.7
South America,3,Colombia,98.6,55.1
Europe,1,Albania,42.3,72.1
Europe,2,Bosnia and Herzegovina,21.1,55.7
Europe,3,Cyprus,63.4,42.9
