Series,Week,Couple,Scores,Dance,Music,Result,Film,Broadway musical,Musical,Country,CelebratingBBC
1,Week 1,Couple,Scores,Dance,Music,,,,,,
1,Week 1,Natasha & Brendan,"27 (5, 7, 8, 7)",Cha-cha-cha,"""Chain of Fools"" —Aretha Franklin",,,,,,
1,Week 1,Lesley & Anton,"29 (6, 8, 8, 7)",Waltz,"""He Was Beautiful"" —Cleo Laine",,,,,,
1,Week 1,Christopher & Hanna,"19 (4, 4, 7, 4)",Cha-cha-cha,"""Lady Marmalade"" —Labelle",,,,,,
1,Week 1,Jason & Kylie,"21 (5, 5, 6, 5)",Waltz,"""Three Times A Lady"" —Commodores",,,,,,
1,Week 1,Verona & Paul,"27 (7, 6, 7, 7)",Cha-cha-cha,"""Respect"" —Aretha Franklin",,,,,,
1,Week 1,Claire & John,"27 (7, 7, 8, 5)",Waltz,"""Unchained Melody"" —The Righteous Brothers",,,,,,
1,Week 1,David & Camilla,"16 (2, 4, 6, 4)",Cha-cha-cha,"""Sex Bomb"" —Tom Jones",,,,,,
1,Week 1,Martin & Erin,"25 (5, 6, 7, 7)",Waltz,"""Come Away With Me"" —Norah Jones",,,,,,
1,Week 2,Couple,Scores,Dance,Music,Result,,,,,
1,Week 2,Natasha & Brendan,"31 (7, 8, 8, 8)",Quickstep,"""The Lady is a Tramp"" —Frank Sinatra",Safe,,,,,
1,Week 2,Martin & Erin,"21 (3, 5, 7, 6)",Rumba,"""Hero"" —Mariah Carey",Safe,,,,,
1,Week 2,Christopher & Hanna,"23 (5, 6, 6, 6)",Quickstep,"""You're the One That I Want"" —fromGrease",Safe,,,,,
1,Week 2,Claire & John,"26 (6, 6, 7, 7)",Rumba,"""Angels"" —Robbie Williams",Safe,,,,,
1,Week 2,Verona & Paul,"24 (6, 6, 6, 6)",Quickstep,"""If My Friends Could See Me Now"" —fromSweet Charity",Safe,,,,,
1,Week 2,Jason & Kylie,"19 (2, 5, 7, 5)",Rumba,"""Leave Right Now"" —Will Young",Eliminated,,,,,
1,Week 2,David & Camilla,"21 (3, 6, 6, 6)",Quickstep,"""Let's Face The Music and Dance"" —fromFollow the Fleet",Bottom two,,,,,
1,Week 2,Lesley & Anton,"27 (6, 7, 7, 7)",Rumba,"""You'll Never Find Another Love Like Mine"" —Lou Rawls",Safe,,,,,
1,Week 3,Couple,Scores,Dance,Music,Result,,,,,
1,Week 3,Verona & Paul,"24 (6, 6, 6, 6)",Jive,"""Proud Mary"" —Tina Turner",Safe,,,,,
1,Week 3,Lesley & Anton,"29 (7, 8, 7, 7)",Tango,"""Sensation"" —Chong Lim",Safe,,,,,
1,Week 3,Martin & Erin,"21 (5, 5, 5, 6)",Jive,"""Great Balls of Fire"" —Jerry Lee Lewis",Safe,,,,,
1,Week 3,David & Camilla,"20 (4, 6, 5, 5)",Tango,"""La Cumparsita"" —Gerardo Matos Rodríguez",Eliminated,,,,,
1,Week 3,Christopher & Hanna,"19 (5, 4, 5, 5)",Jive,"""Do You Love Me"" —The Contours",Safe,,,,,
1,Week 3,Claire & John,"34 (8, 9, 9, 8)",Tango,"""Roxanne"" —The Police",Safe,,,,,
1,Week 3,Natasha & Brendan,"26 (7, 7, 5, 7)",Jive,"""Jump, Jive and Wail"" —Louis Prima",Bottom two,,,,,
1,Week 4,Couple,Scores,Dance,Music,Result,,,,,
1,Week 4,Claire & John,"31 (8, 8, 7, 8)",Paso doble,"""España cañí"" —Pascual Marquina Narro",Safe,,,,,
1,Week 4,Christopher & Hanna,"28 (6, 7, 8, 7)",Foxtrot,"""Flying Without Wings"" —Westlife",Safe,,,,,
1,Week 4,Verona & Paul,"24 (5, 6, 6, 7)",Paso doble,"""Boléro"" —Maurice Ravel",Eliminated,,,,,
1,Week 4,Natasha & Brendan,"35 (8, 9, 9, 9)",Foxtrot,"""The Girl from Ipanema"" —Antônio Carlos Jobim",Safe,,,,,
1,Week 4,Lesley & Anton,"30 (7, 7, 8, 8)",Paso doble,"""Scott & Fran's Paso Doble"" —fromStrictly Ballroom",Bottom two,,,,,
1,Week 4,Martin & Erin,"24 (6, 5, 7, 6)",Foxtrot,"""Let There Be Love"" —Nat King Cole",Safe,,,,,
1,Week 5,Couple,Scores,Dance,Music,Result,,,,,
1,Week 5,Lesley & Anton,"27 (7, 6, 7, 7)",Samba,"""Mas que Nada"" —Jorge Ben",Bottom two,,,,,
1,Week 5,Martin & Erin,"22 (5, 5, 6, 6)",Samba,"""Crickets Sing for Anamaria"" —Marcos Valle",Safe,,,,,
1,Week 5,Christopher & Hanna,"15 (3, 4, 4, 4)",Samba,"""Soul Bossa Nova"" —Quincy Jones",Safe,,,,,
1,Week 5,Claire & John,"32 (8, 8, 8, 8)",Samba,"""Shake Your Bon-Bon"" —Ricky Martin",Eliminated,,,,,
1,Week 5,Natasha & Brendan,"37 (9, 10, 9, 9)",Samba,"""Love Is in the Air"" —John Paul Young",Safe,,,,,
1,Week 5,Christopher & HannaClaire & JohnLesley & AntonMartin & ErinNatasha & Brendan,No scoresreceived,GroupViennese waltz,"""If I Ain't Got You"" —Alicia Keys",,,,,,
1,Week 6: Quarterfinal,Couple,Scores,Dance,Music,Result,,,,,
1,Week 6: Quarterfinal,Martin & Erin,"24 (5, 6, 6, 7)",Quickstep,"""It Don't Mean a Thing (If It Ain't Got That Swing)"" —Duke Ellington",Eliminated,,,,,
1,Week 6: Quarterfinal,Martin & Erin,"24 (6, 6, 6, 6)",Cha-cha-cha,"""Smooth"" —Santana",Eliminated,,,,,
1,Week 6: Quarterfinal,Natasha & Brendan,"31 (8, 7, 8, 8)",Tango,"""Libertango"" —Astor Piazzolla",Safe,,,,,
1,Week 6: Quarterfinal,Natasha & Brendan,"36 (9, 9, 9, 9)",Rumba,"""Endless Love"" —Lionel Richie",Safe,,,,,
1,Week 6: Quarterfinal,Christopher & Hanna,"22 (5, 6, 5, 6)",Waltz,"""I Have Nothing"" —Whitney Houston",Safe,,,,,
1,Week 6: Quarterfinal,Christopher & Hanna,"15 (3, 4, 5, 3)",Paso doble,"""Bamboleo"" —Gipsy Kings",Safe,,,,,
1,Week 6: Quarterfinal,Lesley & Anton,"34 (8, 8, 9, 9)",Foxtrot,"""I've Got You Under My Skin"" —Frank Sinatra",Bottom two,,,,,
1,Week 6: Quarterfinal,Lesley & Anton,"26 (6, 6, 7, 7)",Cha-cha-cha,"""Spinning Around"" —Kylie Minogue",Bottom two,,,,,
1,Week 7: Semifinal,Couple,Scores,Dance,Music,Result,,,,,
1,Week 7: Semifinal,Lesley & Anton,"33 (8, 8, 8, 9)",Quickstep,"""That Old Black Magic"" —Sammy Davis Jr",Eliminated,,,,,
1,Week 7: Semifinal,Lesley & Anton,"29 (7, 7, 8, 7)",Jive,"""My Baby Just Cares for Me"" —Nina Simone",Eliminated,,,,,
1,Week 7: Semifinal,Natasha & Brendan,"36 (9, 9, 9, 9)",Waltz,"""With You I'm Born Again"" —Billy Preston&Syreeta Wright",Safe,,,,,
1,Week 7: Semifinal,Natasha & Brendan,"35 (8, 9, 9, 9)",Paso doble,"""O Fortuna"" —Carl Orff",Safe,,,,,
1,Week 7: Semifinal,Christopher & Hanna,"21 (2, 6, 7, 6)",Tango,"""Toxic"" —Britney Spears",Bottom two,,,,,
1,Week 7: Semifinal,Christopher & Hanna,"16 (2, 4, 5, 5)",Rumba,"""Careless Whisper"" —George Michael",Bottom two,,,,,
1,Week 8: Final,Couple,Scores,Dance,Music,Result,,,,,
1,Week 8: Final,Natasha & Brendan,"36 (9, 9, 9, 9)",Quickstep,"""The Lady is a Tramp"" —Frank Sinatra",Winners,,,,,
1,Week 8: Final,Natasha & Brendan,"31 (7, 7, 9, 8)",Samba,"""Love Is in the Air"" —John Paul Young",Winners,,,,,
1,Week 8: Final,Natasha & Brendan,"35 (8, 9, 9, 9)",Showdance,"""(I've Had) The Time of My Life"" —Bill Medley&Jennifer Warnes",Winners,,,,,
1,Week 8: Final,Christopher & Hanna,"24 (6, 5, 6, 7)",Waltz,"""I Have Nothing"" —Whitney Houston",Runners-up,,,,,
1,Week 8: Final,Christopher & Hanna,"17 (3, 3, 7, 4)",Jive,"""Do You Love Me"" —The Contours",Runners-up,,,,,
1,Week 8: Final,Christopher & Hanna,"22 (4, 6, 7, 5)",Showdance,"""Fame"" —Irene Cara",Runners-up,,,,,
2,Week 1,Couple,Scores,Dance,Music,Result,,,,,
2,Week 1,Julian & Erin,"19 (4, 4, 5, 6)",Cha-cha-cha,"""I'm Outta Love"" —Anastacia",Safe,,,,,
2,Week 1,Carol & Paul,"22 (5, 6, 5, 6)",Waltz,"""Until It's Time for You to Go"" —Buffy Sainte-Marie",Bottom two,,,,,
2,Week 1,Diarmuid & Nicole,"12 (2, 2, 4, 4)",Cha-cha-cha,"""September"" —Earth, Wind & Fire",Safe,,,,,
2,Week 1,Esther & Anton,"24 (5, 6, 6, 7)",Waltz,"""Moon River"" —Andy Williams",Safe,,,,,
2,Week 1,Quentin & Hazel,"8 (1, 1, 3, 3)",Cha-cha-cha,"""Pink Cadillac"" —Natalie Cole",Eliminated,,,,,
