Series,Couple,Finalist Positions,Avg Judge's Score,% Change
8,Matt & Aliona,Runners-up,9,0.161290323
15,Alexandra & Gorka,Runners-up,9.916666667,0.652777778
8,Pamela & James,Third place,9.625,0.241935484
19,Rose & Giovanni,Winners,9.916666667,0.803030303
20,Molly & Carlos,Runners-up,9.583333333,0.236559140
4,Matt & Lilia,Runners-up,8.75,0.842105263
21,Layton & Nikita,Runners-up,9.916666667,0.367816092
18,Maisie & Gorka,Runners-up,9.777777778,0.222222222
8,Kara & Artem,Winners,9.375,0.25
6,Lisa & Brendan,Third place,10,0.818181818
15,Gemma & Aljaž,Runners-up,9.5,0.9
4,Mark & Karen,Winners,9.166666667,0.358024691
16,Faye & Giovanni,Runners-up,10,0.379310345
5,Matt & Flavia,Runners-up,9.166666667,0.594202899
6,Rachel & Vincent,Runners-up,9.875,0.274193548
2,Jill & Darren,Winners,9.25,0.370370370
6,Tom & Camilla,Winners,9.125,0.303571429
17,Kelvin & Oti,Winners,9.833333333,0.229166667
19,John & Johannes,Runners-up,9.916666667,0.322222222
9,Jason & Kristina,Third place,9.75,0.21875
10,Louis & Flavia,Winners,9.833333333,0.456790123
13,Georgia & Giovanni,Runners-up,9.333333333,0.382716049
2,Denise & Ian,Runners-up,8.875,0.145161290
14,Danny & Oti,Runners-up,9.666666667,0.247311828
16,Joe & Dianne,Runners-up,9.666666667,0.432098765
12,Simon & Kristina,Runners-up,9.833333333,0.456790123
11,Abbey & Aljaž,Winners,9.666666667,0.208333333
9,Harry & Aliona,Winners,9.75,0.392857143
20,Helen & Gorka,Runners-up,9.666666667,0.487179487
17,Karim & Amy,Runners-up,9.916666667,0.279569892
1,Natasha & Brendan,Winners,8.5,0.259259259
3,Colin & Erin,Runners-up,9.375,0.171875
1,Christopher & Hanna,Runners-up,5.25,0.105263158
15,Debbie & Giovanni,Runners-up,9.75,0.3
3,Zoe & Ian,Third place,9.5,0.085714286
12,Frankie & Kevin,Runners-up,9.666666667,0.288888889
12,Caroline & Pasha,Winners,10,0.481481481
18,HRVY & Janette,Runners-up,9.777777778,0.173333333
2,Julian & Erin,Third place,6.5,0.368421053
14,Ore & Joanne,Winners,9.916666667,0.469135802
16,Stacey & Kevin,Winners,9.5,0.583333333
20,Hamza & Jowita,Winners,9.416666667,0.107843137
3,Darren & Lilia,Winners,9,0.894736842
13,Kellie & Kevin,Runners-up,9.916666667,0.469135802
7,Chris & Ola,Winners,9.3,0.328571429
15,Joe & Katya,Winners,9.833333333,0.356321839
18,Jamie & Karen,Runners-up,9.333333333,1
20,Fleur & Vito,Runners-up,9.916666667,0.367816092
7,Ricky W. & Natalie,Runners-up,9.5,0.169230769
18,Bill & Oti,Winners,9.777777778,0.955555556
9,Chelsee & Pasha,Runners-up,9.5625,0.416666667
21,Bobby & Dianne,Runners-up,9.75,0.344827586
17,Emma B. & Anton,Runners-up,9.666666667,0.681159420
21,Ellie & Vito,Winners,9.583333333,0.321839080
13,Jay & Aliona,Winners,9.166666667,0.358024691
5,Alesha & Matthew,Winners,9.333333333,0.204301075
10,Denise & James,Runners-up,9.916666667,0.586666667
11,Susanna & Kevin,Runners-up,9.333333333,0.333333333
14,Louise & Kevin,Runners-up,9.666666667,0.247311828
11,Natalie & Artem,Runners-up,9.916666667,0.279569892
16,Ashley & Pasha,Runners-up,10,0.379310345
10,Kimberley & Pasha,Runners-up,9.833333333,0.404761905
