Series,Couple,Finalist Positions,Avg Judge's Score,% Change
5,Alesha & Matthew,Winners,9.333333333333334,0.20430107526881724
9,Chelsee & Pasha,Runners-up,9.5625,0.41666666666666674
19,John & Johannes,Runners-up,9.916666666666666,0.3222222222222222
20,Fleur & Vito,Runners-up,9.916666666666666,0.367816091954023
10,Denise & James,Runners-up,9.916666666666666,0.5866666666666667
10,Louis & Flavia,Winners,9.833333333333334,0.45679012345679015
12,Simon & Kristina,Runners-up,9.833333333333334,0.45679012345679015
15,Joe & Katya,Winners,9.833333333333334,0.3563218390804599
1,Natasha & Brendan,Winners,8.5,0.2592592592592593
6,Rachel & Vincent,Runners-up,9.875,0.27419354838709675
9,Harry & Aliona,Winners,9.75,0.3928571428571428
16,Faye & Giovanni,Runners-up,10.0,0.3793103448275863
10,Kimberley & Pasha,Runners-up,9.833333333333334,0.4047619047619049
4,Matt & Lilia,Runners-up,8.75,0.8421052631578947
19,Rose & Giovanni,Winners,9.916666666666666,0.803030303030303
6,Lisa & Brendan,Third place,10.0,0.8181818181818181
21,Ellie & Vito,Winners,9.583333333333334,0.32183908045977017
17,Karim & Amy,Runners-up,9.916666666666666,0.27956989247311825
7,Ricky W. & Natalie,Runners-up,9.5,0.1692307692307693
11,Abbey & Aljaž,Winners,9.666666666666666,0.20833333333333326
20,Helen & Gorka,Runners-up,9.666666666666666,0.487179487179487
12,Frankie & Kevin,Runners-up,9.666666666666666,0.28888888888888875
17,Kelvin & Oti,Winners,9.833333333333334,0.22916666666666674
11,Susanna & Kevin,Runners-up,9.333333333333334,0.3333333333333335
2,Denise & Ian,Runners-up,8.875,0.14516129032258074
8,Pamela & James,Third place,9.625,0.24193548387096775
15,Gemma & Aljaž,Runners-up,9.5,0.8999999999999999
2,Jill & Darren,Winners,9.25,0.37037037037037046
2,Julian & Erin,Third place,6.5,0.368421052631579
16,Stacey & Kevin,Winners,9.5,0.5833333333333333
18,HRVY & Janette,Runners-up,9.777777777777777,0.17333333333333312
18,Maisie & Gorka,Runners-up,9.777777777777777,0.2222222222222221
20,Molly & Carlos,Runners-up,9.583333333333334,0.23655913978494625
14,Ore & Joanne,Winners,9.916666666666666,0.46913580246913567
8,Kara & Artem,Winners,9.375,0.25
8,Matt & Aliona,Runners-up,9.0,0.16129032258064524
3,Colin & Erin,Runners-up,9.375,0.171875
21,Bobby & Dianne,Runners-Up,9.75,0.3448275862068966
13,Jay & Aliona,Winners,9.166666666666666,0.3580246913580245
20,Hamza & Jowita,Winners,9.416666666666666,0.1078431372549018
1,Christopher & Hanna,Runners-up,5.25,0.10526315789473695
15,Alexandra & Gorka,Runners-up,9.916666666666666,0.6527777777777777
6,Tom & Camilla,Winners,9.125,0.3035714285714286
21,Layton & Nikita,Runners-Up,9.916666666666666,0.367816091954023
18,Bill & Oti,Winners,9.777777777777777,0.9555555555555553
13,Georgia & Giovanni,Runners-up,9.333333333333334,0.3827160493827162
3,Darren & Lilia,Winners,9.0,0.894736842105263
14,Louise & Kevin,Runners-up,9.666666666666666,0.24731182795698925
5,Matt & Flavia,Runners-up,9.166666666666666,0.5942028985507246
16,Ashley & Pasha,Runners-up,10.0,0.3793103448275863
15,Debbie & Giovanni,Runners-up,9.75,0.30000000000000004
17,Emma B. & Anton,Runners-up,9.666666666666666,0.681159420289855
12,Caroline & Pasha,Winners,10.0,0.4814814814814814
3,Zoe & Ian,Third place,9.5,0.08571428571428563
9,Jason & Kristina,Third place,9.75,0.21875
18,Jamie & Karen,Runners-up,9.333333333333334,1.0
4,Mark & Karen,Winners,9.166666666666666,0.3580246913580245
11,Natalie & Artem,Runners-up,9.916666666666666,0.27956989247311825
16,Joe & Dianne,Runners-up,9.666666666666666,0.4320987654320987
13,Kellie & Kevin,Runners-up,9.916666666666666,0.46913580246913567
14,Danny & Oti,Runners-up,9.666666666666666,0.24731182795698925
7,Chris & Ola,Winners,9.3,0.32857142857142874
