Year,Challenge Number,"How hard was the challenge (0 = easy, 10 = I cried)"
2019,4,5
2020,1,3
2020,2,2
2020,3,8
2020,5,4
2020,6,3
2020,7,3
2020,12,3
2020,32,1
2021,1,2
2021,2,3
2021,3,4
2021,4,4
2021,5,4
2021,6,4
2021,7,4
2021,8,8
2021,9,5
2021,10,7
2021,11,5
2021,12,8
2021,13,4
2021,14,5
2021,15,3
2021,16,5
2021,17,4
2021,18,3
2021,19,3
2021,20,6
2021,21,3
2021,22,7
2021,23,3
2021,24,1
2021,25,8
2021,26,4
2021,27,6
2021,28,6
2021,29,6
2021,30,5
2021,31,3
2021,32,2
2021,33,3
2021,34,4
2021,35,3
2021,36,5
2021,37,2
2021,38,3
2021,39,5
2021,40,5
