Location,LongLats
"Rochester Hills, MI","42.680396, -83.133654"
"Camden, NJ","39.925640, -75.121151"
"Rochester, MI","42.680396, -83.133654"
"Duluth, GA","34.002978, -84.144473"
"Leeds, United Kingdom","53.802612, -1.551537"
"St. Kilda, VIC","-37.863763, 144.981957"
"Nashville,TN","36.160444, -86.767484"
"Lisboa, Portugal","38.720808, -9.138943"
"Shepton Mallet,","51.190800, -2.547982"
"Pittsburgh, PA","40.439697, -79.994914"
"Heerlen,","50.889214, 5.977673"
"Melbourne, VIC","-37.807092, 144.963180"
"Birmingham, UK","52.484006, -1.906881"
"São Paulo, SP","-23.478709, -46.687127"
Leeds,"53.802612, -1.551537"
"Staffordshire, United Kingdom","52.804227, -2.121790"
"Manhattan, NY","40.745820, -73.988863"
Seattle WA,"47.603573, -122.322863"
"Plymouth,","50.379945, -4.114990"
"Saint-Denis,","48.936149, 2.354530"
Orlando FL,"28.537773, -81.378980"
"Belo Horizonte,","-19.917387, -43.940007"
"Kansas City, MO","39.099697, -94.545458"
"Manchester, England","53.480276, -2.242669"
"Atlanta, GA","33.747525, -84.382869"
Landgraaf,"50.892486, 6.021689"
"Newquay,","50.415417, -5.075340"
"Glasgow,","55.863624, -4.254073"
"Cardiff,","51.481448, -3.177625"
"Greenville, SC","34.852305, -82.393036"
"Madrid,","40.416732, -3.703793"
"Chelmsford, UK","51.734626, 0.470853"
Singapore,"1.352438, 103.858677"
"Rotselaar,","50.953685, 4.719558"
"Frankfurt, DE","50.106908, 8.670165"
"Amsterdam, Netherlands","52.369580, 4.898671"
"Suffolk, UK","52.184132, 1.152585"
"Detroit, MI","42.330650, -83.051879"
"Oeiras, Portugal","38.696917, -9.314353"
"Werchter, Belguim","50.971290, 4.694107"
"Werchter,","50.971290, 4.694107"
"Perth, WA","-31.954034, 115.892358"
"Chicago, IL","41.890135, -87.603714"
"Milan, IT","45.463407, 9.187691"
"New Orleans, LA","29.947893, -90.089888"
"Landgraaf,","50.892486, 6.021689"
"Pasadena, CA","34.146949, -118.149343"
"Brooklyn, NY","40.679985, -73.946298"
"Canandaigua, NY","42.887953, -77.284860"
"Frisco, TX","33.151372, -96.821960"
"Paris, FR","48.858138, 2.348089"
"Ciudad de México, MX","19.438248, -99.149029"
"Scheessel, Germany","53.170100, 9.480335"
"Seattle, WA","47.603573, -122.322863"
"East Rutherford, NJ","40.806756, -74.077492"
"Penrose,","-36.927011, 174.816944"
"Washington, D.C.","38.907194, -77.038258"
"Calgary, AB","51.047865, -114.071192"
"Hollywood, CA","34.093172, -118.326822"
"Foxborough, MA","42.064948, -71.243295"
Melbourne,"-37.807092, 144.963180"
"Birmingham, England","52.484006, -1.906881"
"Brussel, Belgium","50.851044, 4.350322"
"Montreux,","46.431672, 6.913985"
"San Antonio, TX","29.424665, -98.524173"
Glasgow,"55.863624, -4.254073"
"Adelaide, SA, Australia","-34.917185, 138.605106"
"Memphis, TN","35.150033, -90.047665"
"Pilton,","51.165799, -2.589657"
Lisboa,"38.720808, -9.138943"
"Glasgow, UK","55.863624, -4.254073"
"forest hills, ny","40.718028, -73.845163"
"Charleston, SC","32.776623, -79.929763"
"Rosemont, IL","41.986636, -87.871524"
"Byron Bay, NSW","-28.647367, 153.602606"
"Bangor, ME","53.226788, -4.129121"
"Werchter, Belgium","50.971290, 4.694107"
"Morrison, CO","39.653107, -105.190629"
"Buenos Aires, AR","-34.604205, -58.375035"
"Niigata,","37.933058, 139.038569"
"Berlin, Germany","52.523802, 13.394609"
"Omaha, NE","41.254800, -95.944011"
"Buffalo, NY","42.886143, -78.877842"
"London, ON","42.984385, -81.239604"
"Sunrise, FL","26.150822, -80.325977"
"Biddinghuizen, The Netherlands","52.455127, 5.692105"
"Porto Alegre, RS","-30.037468, -51.211555"
"Foxboro, MA","42.064948, -71.243295"
"Belfast, UK","54.597504, -5.927997"
"Neuhausen ob Eck, Germany","47.973915, 8.925297"
"Tucson, AZ","32.220931, -110.970978"
"Toronto, ON","43.654563, -79.394668"
"Ciudad de México, México","19.438248, -99.149029"
"Newcastle Upon Tyne,","54.977101, -1.622572"
"Glendale, AZ","33.539176, -112.197406"
"Perth, WA, Australia","-31.954034, 115.892358"
"Torhout, BE","51.065491, 3.104786"
"Dorset, UK","50.757897, -2.349535"
"Docklands, VIC, Australia","-37.818945, 144.948153"
"Mansfield, MA","53.147265, -1.199164"
"Houston, TX","29.759377, -95.398706"
"London, UK","51.505809, -0.125079"
"Redhill, UK","51.239855, -0.169779"
"Gelsenkirchen, Germany","51.516724, 7.082812"
"St Petersburg, FL","27.767068, -82.640414"
"Dublin, Ireland","53.349187, -6.257303"
"Stockholm, Sweden","59.329375, 18.067239"
"Oakland, CA","37.801775, -122.268916"
"Arlington, TX","32.737495, -97.118866"
"Moore Park, NSW","-33.897890, 151.218700"
"Kiewit, Belgium","50.962551, 5.356348"
Newcastle Upon Tyne,"54.977101, -1.622572"
"San Francisco, CA","37.776648, -122.419722"
Sydney NSW,"-33.875250, 151.197465"
Edinburgh,"55.953271, -3.188144"
"Balado, UK","56.205621, -3.466419"
"Darling Harbour, NSW","-33.874693, 151.201265"
Sydney Olympic Park,"-33.875250, 151.197465"
"Alajuela, Costa Rica","10.015824, -84.215405"
"Milwaukee, WI","43.039057, -87.902928"
"Cleveland, OH","41.497357, -81.702427"
"Charlottesville, VA","38.028447, -78.477599"
"Noblesville, IN","40.045753, -86.015415"
"Southwold, UK","52.325691, 1.680027"
"St Kilda, VIC","-37.863763, 144.981957"
"Brussels, Belgium","50.851044, 4.350322"
"Louisville, KY","38.254158, -85.763138"
"Amsterdam,","52.369580, 4.898671"
"Lake Buena Vista, FL","28.371154, -81.528107"
"Uncasville, CT","41.431591, -72.109794"
"San Diego, CA","32.715551, -117.168317"
"Pilton, Somerset, UK","51.165799, -2.589657"
"Landgraaf, The Netherlands","50.892486, 6.021689"
Columbia SC,"34.001571, -81.028233"
Dublin,"53.349187, -6.257303"
"Edmonton, Alberta","53.543025, -113.513258"
"Ottawa, ON","45.411249, -75.691082"
"Columbia, SC","34.001571, -81.028233"
