Week,UK Sales Value (GBP),US Sales (USD) Best Case,US Sales (USD) Worst Case,US Sales Potential Variance
wk 36 2019,86802.66,62847.33,61501.48,1345.8499999999985
wk 37 2019,115585.36,19711.51,19361.6,349.90999999999985
wk 38 2019,37249.65,32413.64,32172.9,240.73999999999796
wk 39 2019,70397.46,51655.87,50812.44,843.4300000000003
wk 40 2019,51559.56,28575.65,28464.46,111.19000000000233
wk 41 2019,74840.48,12904.88,12464.0,440.8799999999992
wk 42 2019,29299.38,19593.03,19025.51,567.5200000000004
wk 43 2019,29853.6,9677.04,9571.06,105.98000000000138
wk 44 2019,20946.9,7646.26,7578.32,67.94000000000051
wk 45 2019,13330.4,4311.38,4257.4,53.98000000000047
wk 46 2019,107486.25,46233.42,45842.89,390.52999999999884
wk 47 2019,69871.1,48717.89,48288.99,428.90000000000146
wk 48 2019,32330.34,35621.09,35384.24,236.84999999999854
wk 49 2019,97873.88,45254.77,44398.5,856.2699999999968
wk 50 2019,32385.92,24538.41,23920.85,617.5600000000013
wk 51 2019,35755.4,12691.49,12360.73,330.7600000000002
wk 52 2019,70978.4,43705.99,43198.29,507.6999999999971
wk 1 2020,118755.68,34543.13,34099.97,443.1599999999962
wk 2 2020,99532.77,53545.69,53110.69,435.0
wk 3 2020,95939.25,18749.73,18619.27,130.45999999999913
wk 4 2020,9856.88,1766.58,1747.76,18.819999999999936
wk 5 2020,18262.14,6801.71,6706.93,94.77999999999975
