Quarter,Store,Bike,Order ID,Customer Age,Bike Value,Existing Customer?,Day of Month
4,Birmingham,Road,11,57,902,No,4
1,Leeds,Road,12,31,946,Yes,17
4,Birmingham,Road,13,17,1296,Yes,25
3,Manchester,Road,14,59,1166,Yes,18
4,Manchester,Mountain,15,24,1781,No,10
4,York,Mountain,16,59,1074,No,6
3,York,Mountain,17,57,1188,No,14
4,York,Mountain,18,56,544,No,23
4,York,Gravel,19,34,579,Yes,24
2,York,Gravel,20,17,1021,Yes,24
2,London,Road,21,36,786,Yes,9
1,London,Road,22,51,1596,No,2
1,London,Road,23,24,745,No,20
2,London,Road,24,50,1937,No,13
3,Leeds,Mountain,25,35,1958,No,5
4,Birmingham,Mountain,26,34,659,Yes,21
2,Leeds,Mountain,27,56,1403,Yes,7
1,Birmingham,Mountain,28,28,1347,Yes,12
1,Manchester,Gravel,29,24,1755,No,7
1,Manchester,Gravel,30,54,1190,No,3
3,York,Road,31,50,1643,No,17
1,York,Road,32,22,934,No,29
4,York,Road,33,30,968,Yes,13
3,York,Road,34,37,881,Yes,21
4,York,Mountain,35,52,1413,Yes,2
2,London,Mountain,36,59,1906,No,30
2,London,Mountain,37,53,1889,No,5
3,London,Mountain,38,56,1426,No,20
3,London,Gravel,39,50,1116,No,1
2,Leeds,Gravel,40,15,1353,Yes,8
2,Birmingham,Road,41,28,768,Yes,18
1,Leeds,Road,42,56,1737,Yes,7
2,Birmingham,Road,43,47,826,No,16
3,Manchester,Road,44,28,1824,No,1
1,Manchester,Mountain,45,18,1706,No,18
1,York,Mountain,46,38,1411,No,30
2,York,Mountain,47,37,415,Yes,13
4,York,Mountain,48,56,1894,Yes,3
1,York,Gravel,49,15,653,Yes,16
2,York,Gravel,50,56,1666,No,30
2,London,Road,51,53,714,No,1
1,London,Road,52,16,1557,No,31
1,London,Road,53,21,653,No,25
3,London,Road,54,42,936,Yes,21
3,Leeds,Mountain,55,22,1401,Yes,21
2,York,Mountain,56,18,638,Yes,25
2,York,Mountain,57,25,1406,No,25
2,York,Mountain,58,30,1948,No,27
2,York,Gravel,59,28,1327,No,17
4,York,Gravel,60,17,831,No,9
4,London,Road,61,17,1081,Yes,19
4,London,Road,62,73,1074,Yes,17
1,London,Road,63,57,993,Yes,10
3,London,Road,64,54,1569,No,20
1,Leeds,Mountain,65,26,683,No,14
3,Birmingham,Mountain,66,40,1579,No,11
2,Leeds,Mountain,67,22,871,No,30
3,Birmingham,Mountain,68,54,1136,Yes,29
3,Manchester,Gravel,69,21,1659,Yes,16
1,Manchester,Gravel,70,24,1545,Yes,22
1,York,Road,71,60,887,No,3
1,York,Road,72,32,433,No,24
4,York,Road,73,37,675,No,10
2,York,Road,74,39,516,No,1
3,York,Mountain,75,23,1960,Yes,30
2,London,Mountain,76,15,780,Yes,14
3,London,Mountain,77,16,1858,Yes,9
1,London,Mountain,78,20,429,No,19
3,London,Gravel,79,47,1319,No,26
1,Leeds,Gravel,80,37,1988,No,1
4,Birmingham,Road,81,40,1605,No,13
1,Leeds,Road,82,52,870,Yes,1
2,Birmingham,Road,83,28,894,Yes,24
3,Manchester,Road,84,20,895,Yes,26
2,Manchester,Mountain,85,60,681,No,29
2,York,Mountain,86,21,1841,No,13
4,York,Mountain,87,57,487,No,11
4,York,Mountain,88,44,574,No,25
4,York,Gravel,89,56,1093,Yes,1
2,York,Gravel,90,27,453,Yes,17
3,London,Road,91,50,629,Yes,27
1,London,Road,92,51,808,No,15
1,London,Road,93,54,1661,No,6
3,London,Road,94,31,1957,No,17
3,Leeds,Mountain,95,39,437,No,8
3,Birmingham,Mountain,96,31,1667,Yes,8
3,Leeds,Mountain,97,60,1779,Yes,21
2,Birmingham,Mountain,98,50,1892,Yes,25
2,Manchester,Gravel,99,58,1772,No,21
1,Manchester,Gravel,100,25,1155,No,23
