Brand,Store,Total Order Value,Total Quantity Sold,Avg Days to Ship
KONA,Birmingham,435694,184,10.6
SPEC,Birmingham,1488013,651,10.6
KONA,London,524879,216,10.7
SPEC,London,1358343,578,11.2
KONA,Leeds,498341,208,9.2
SPEC,York,1105777,458,10.4
BROM,London,324635,133,11
SPEC,Leeds,1431894,570,10.4
GIA,York,593793,251,10.4
ORRO,York,186457,77,9
BROM,York,361852,145,9.8
GIA,Leeds,460151,203,11.2
SPEC,Manchester,1451471,614,11.1
ORRO,Manchester,118800,43,8.4
ORRO,Leeds,126334,55,11.9
ORRO,London,151734,61,9.4
ORRO,Birmingham,216169,86,11.4
GIA,Manchester,466613,204,11
GIA,London,548821,228,10.7
GIA,Birmingham,581733,269,9.9
KONA,York,430667,171,11.1
BROM,Birmingham,349759,155,11.8
BROM,Leeds,389116,150,9.8
KONA,Manchester,370481,148,10.5
BROM,Manchester,339832,137,10.9
