Brand,Bike Type,Quantity Sold,Order Value,"Avg Bike Value Sold per Brand, Type"
ORRO,Mountain,87,206550,2382.4
KONA,Gravel,324,791841,2463.7
KONA,Mountain,330,820537,2487
ORRO,Gravel,151,411644,2640
GIA,Road,407,896695,2184.7
SPEC,Road,937,2195597,2356.3
BROM,Road,257,656539,2500.7
GIA,Mountain,425,1021329,2378.9
SPEC,Gravel,974,2295397,2355.6
KONA,Road,273,647684,2430.2
BROM,Mountain,277,674770,2359.3
GIA,Gravel,323,733087,2303.2
SPEC,Mountain,960,2344504,2422.7
BROM,Gravel,186,433885,2335.5
ORRO,Road,84,181300,2237.7
