Quantity,Store Name,Region,Sale Value,Present in N orders
4,Notting Hill,West,10744,60
2,Chelsea,West,9279.84,49
2,Dulwich,East,11115.21,62
4,Shoreditch,East,8362.59,57
2,Notting Hill,West,10799.34,60
4,Dulwich,East,9069.22,54
4,Wimbledon,West,13170.55,67
1,Chelsea,West,9928.69,50
1,Lewisham,East,12815.77,63
4,Chelsea,West,10037.28,54
2,Wimbledon,West,11776.84,60
1,Wimbledon,West,10615.26,61
4,Lewisham,East,12023.33,73
2,Lewisham,East,10846.53,51
2,Shoreditch,East,11679.75,67
1,Dulwich,East,9971.78,55
1,Shoreditch,East,9448.980000000,54
1,Notting Hill,West,9679.22,49
