Store Name,Region,Quantity,Sale Value,Present in N orders
Chelsea,West,1,9928.69,50
Chelsea,West,2,9279.84,49
Chelsea,West,4,10037.28,54
Dulwich,East,1,9971.78,55
Dulwich,East,2,11115.21,62
Dulwich,East,4,9069.22,54
Lewisham,East,1,12815.77,63
Lewisham,East,2,10846.53,51
Lewisham,East,4,12023.33,73
Notting Hill,West,1,9679.22,49
Notting Hill,West,2,10799.34,60
Notting Hill,West,4,10744.00,60
Shoreditch,East,1,9448.98,54
Shoreditch,East,2,11679.75,67
Shoreditch,East,4,8362.59,57
Wimbledon,West,1,10615.26,61
Wimbledon,West,2,11776.84,60
Wimbledon,West,4,13170.55,67
