Store Name,Region,Quantity,Sale Value,Present in N orders
Chelsea,West,25,8550.55,48
Chelsea,West,50,9338.79,52
Chelsea,West,100,7989.93,43
Chelsea,West,250,6574.20,40
Chelsea,West,500,11111.00,62
Chelsea,West,750,8822.72,55
Chelsea,West,1000,7253.31,46
Dulwich,East,25,8788.93,51
Dulwich,East,50,9255.96,50
Dulwich,East,100,9079.90,49
Dulwich,East,250,9994.59,62
Dulwich,East,500,12565.49,65
Dulwich,East,750,15411.24,90
Dulwich,East,1000,11361.47,61
Lewisham,East,25,10816.88,58
Lewisham,East,50,14005.22,79
Lewisham,East,100,10640.34,60
Lewisham,East,250,12470.06,71
Lewisham,East,500,11827.43,68
Lewisham,East,750,9944.91,64
Lewisham,East,1000,9029.74,60
Notting Hill,West,25,9739.20,54
Notting Hill,West,50,10334.18,57
Notting Hill,West,100,9379.35,58
Notting Hill,West,250,10059.30,47
Notting Hill,West,500,8602.31,54
Notting Hill,West,750,9160.97,49
Notting Hill,West,1000,10496.83,59
Shoreditch,East,25,9601.53,54
Shoreditch,East,50,10097.66,67
Shoreditch,East,100,8563.37,64
Shoreditch,East,250,9531.96,53
Shoreditch,East,500,9541.02,62
Shoreditch,East,750,10350.78,63
Shoreditch,East,1000,11195.06,72
Wimbledon,West,25,7578.51,46
Wimbledon,West,50,9756.43,50
Wimbledon,West,100,12729.60,64
Wimbledon,West,250,10097.95,51
Wimbledon,West,500,11739.12,54
Wimbledon,West,750,11888.27,64
Wimbledon,West,1000,8489.15,49
