,Category,Function/Method/Concept,year,week,_merge
0,Other,list/dict comprehension,2019.0,4.0,both
1,Other,Loops,2019.0,4.0,in regex match
2,Pandas - Dates,"```DateOffset```, ```offsets```",2019.0,4.0,both
3,Pandas - File I/O,Read Excel files,2019.0,4.0,both
4,Pandas - File I/O,Read Excel files (dynamic sheets),2019.0,4.0,in regex match
5,Pandas - Reshaping,```extract```,2019.0,4.0,both
6,Pandas - Reshaping,"```transpose```, ```T```",2019.0,4.0,in regex match
7,String Functions,"```contains```, ```startswith```, ```endswith```",2019.0,4.0,both
8,String Functions,Count matches,2019.0,4.0,in regex match
9,String Functions,```match```,2019.0,4.0,both
10,String Functions,```replace```,2019.0,4.0,both
11,String Functions,String slicing,2019.0,4.0,both
12,numpy,```where```,2019.0,4.0,both
13,Other,Loops,2019.0,25.0,in regex match
14,Pandas - Dates,```dt.strftime```,2019.0,25.0,in regex match
15,Pandas - File I/O,Read Excel files,2019.0,25.0,in regex match
16,Pandas - File I/O,Read Excel files (dynamic sheets),2019.0,25.0,in regex match
17,Pandas - Joining,```concat```,2019.0,25.0,in regex match
18,Pandas - Joining,```merge```,2019.0,25.0,in regex match
19,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2019.0,25.0,in regex match
20,Pandas - Reshaping,```extract```,2019.0,25.0,in regex match
21,Pandas - Reshaping,```stack```,2019.0,25.0,in regex match
22,Pandas - Reshaping,"```transpose```, ```T```",2019.0,25.0,in regex match
23,Pandas - Selection/slicing,```drop```,2019.0,25.0,in regex match
24,Pandas - Selection/slicing,```drop_duplicates```,2019.0,25.0,in regex match
25,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2019.0,25.0,in regex match
26,String Functions,"```contains```, ```startswith```, ```endswith```",2019.0,25.0,in regex match
27,String Functions,Count matches,2019.0,25.0,in regex match
28,String Functions,```split```,2019.0,25.0,in regex match
29,String Functions,String slicing,2019.0,25.0,in regex match
30,Other,list/dict comprehension,2020.0,1.0,both
31,Other,Loops,2020.0,1.0,both
32,Pandas - Joining,```concat```,2020.0,1.0,both
33,Pandas - Joining,```merge```,2020.0,1.0,both
34,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2020.0,1.0,both
35,Pandas - Reshaping,```extract```,2020.0,1.0,both
36,Pandas - Reshaping,"```transpose```, ```T```",2020.0,1.0,in regex match
37,Pandas - Selection/slicing,slicing a DataFrame,2020.0,1.0,both
38,String Functions,Count matches,2020.0,1.0,both
39,String Functions,String slicing,2020.0,1.0,in regex match
40,Other,list/dict comprehension,2020.0,2.0,both
41,Other,Loops,2020.0,2.0,in regex match
42,Other,```zip```,2020.0,2.0,both
43,Pandas - Dates,```dt.strptime```,2020.0,2.0,both
44,Pandas - Reshaping,"```transpose```, ```T```",2020.0,2.0,in regex match
45,String Functions,Count matches,2020.0,2.0,in regex match
46,String Functions,"```ljust```, ```rjust```",2020.0,2.0,both
47,String Functions,```replace```,2020.0,2.0,both
48,String Functions,String slicing,2020.0,2.0,in regex match
49,Other,list/dict comprehension,2020.0,3.0,both
50,Other,Loops,2020.0,3.0,in regex match
51,Pandas - Aggregation,"Cumulative aggregation(```cumcount```, ```cumsum```, etc.)",2020.0,3.0,both
52,Pandas - Aggregation,Named Aggregation,2020.0,3.0,both
53,Pandas - Aggregation,```rank```,2020.0,3.0,both
54,Pandas - Dates,```dt.strptime```,2020.0,3.0,both
55,Pandas - File I/O,Read Excel files,2020.0,3.0,both
56,Pandas - File I/O,Write multiple tabs to Excel file,2020.0,3.0,both
57,Pandas - Joining,```merge```,2020.0,3.0,both
58,Pandas - Other,```astype```,2020.0,3.0,in regex match
59,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2020.0,3.0,both
60,Pandas - Other,```sort_values```,2020.0,3.0,both
61,Pandas - Reshaping,"```transpose```, ```T```",2020.0,3.0,in regex match
62,Pandas - Selection/slicing,```drop```,2020.0,3.0,both
63,Pandas - Selection/slicing,slicing a DataFrame,2020.0,3.0,both
64,Rounding,Basic,2020.0,3.0,both
65,String Functions,Count matches,2020.0,3.0,in regex match
66,String Functions,String slicing,2020.0,3.0,in regex match
67,numpy,```where```,2020.0,3.0,both
68,Other,Function,2020.0,4.0,both
69,Other,Function (recursive),2020.0,4.0,in regex match
70,Other,list/dict comprehension,2020.0,4.0,both
71,Other,Mapping values with dictionary,2020.0,4.0,both
72,Other,```zip```,2020.0,4.0,in regex match
73,Pandas - Aggregation,```transform```,2020.0,4.0,both
74,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2020.0,4.0,in regex match
75,Pandas - Dates,"```timedelta```, ```to_timedelta```, ```relativedelta```",2020.0,4.0,both
76,Pandas - Dates,```to_datetime```,2020.0,4.0,both
77,Pandas - Joining,```merge```,2020.0,4.0,both
78,Pandas - Other,"```apply```, ```map```",2020.0,4.0,both
79,Pandas - Other,```astype```,2020.0,4.0,both
80,Pandas - Reshaping,```extract```,2020.0,4.0,both
81,Pandas - Reshaping,"```pivot```, ```pivot_table```",2020.0,4.0,both
82,Pandas - Reshaping,"```transpose```, ```T```",2020.0,4.0,in regex match
83,Pandas - Selection/slicing,```drop_duplicates```,2020.0,4.0,in regex match
84,Pandas - Selection/slicing,slicing a DataFrame,2020.0,4.0,both
85,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2020.0,4.0,both
86,String Functions,"```contains```, ```startswith```, ```endswith```",2020.0,4.0,both
87,String Functions,Count matches,2020.0,4.0,in regex match
88,String Functions,```replace```,2020.0,4.0,both
89,String Functions,String slicing,2020.0,4.0,in regex match
90,numpy,```where```,2020.0,4.0,both
91,Pandas - Aggregation,Named Aggregation,2020.0,5.0,both
92,Pandas - Aggregation,```rank```,2020.0,5.0,both
93,Pandas - Other,```sort_values```,2020.0,5.0,both
94,Pandas - Reshaping,"```transpose```, ```T```",2020.0,5.0,in regex match
95,String Functions,Count matches,2020.0,5.0,in regex match
96,String Functions,String slicing,2020.0,5.0,in regex match
97,Other,list/dict comprehension,2020.0,6.0,both
98,Pandas - Aggregation,Named Aggregation,2020.0,6.0,both
99,Pandas - File I/O,Read Excel files,2020.0,6.0,both
100,Pandas - File I/O,Read Excel files (dynamic sheets),2020.0,6.0,in regex match
101,Pandas - Joining,```merge```,2020.0,6.0,both
102,Pandas - Other,```astype```,2020.0,6.0,both
103,Pandas - Reshaping,```extract```,2020.0,6.0,both
104,Pandas - Reshaping,"```transpose```, ```T```",2020.0,6.0,in regex match
105,Pandas - Selection/slicing,```drop```,2020.0,6.0,both
106,Rounding,Basic,2020.0,6.0,both
107,String Functions,Count matches,2020.0,6.0,in regex match
108,String Functions,```join```,2020.0,6.0,both
109,String Functions,String slicing,2020.0,6.0,in regex match
110,Other,list/dict comprehension,2020.0,7.0,both
111,Other,Mapping values with dictionary,2020.0,7.0,in regex match
112,Pandas - Aggregation,Named Aggregation,2020.0,7.0,both
113,Pandas - Dates,"```timedelta```, ```to_timedelta```, ```relativedelta```",2020.0,7.0,both
114,Pandas - Joining,```merge```,2020.0,7.0,both
115,Pandas - Other,```astype```,2020.0,7.0,both
116,Pandas - Reshaping,"```transpose```, ```T```",2020.0,7.0,in regex match
117,String Functions,Count matches,2020.0,7.0,in regex match
118,String Functions,```replace```,2020.0,7.0,both
119,String Functions,String slicing,2020.0,7.0,in regex match
120,Other,list/dict comprehension,,,in regex match
121,Other,list/dict comprehension,,,in regex match
122,Other,list/dict comprehension,,,in regex match
123,Other,list/dict comprehension,,,in regex match
124,Other,Loops,,,in regex match
125,Other,Loops,,,in regex match
126,Other,Loops,,,in regex match
127,Pandas - Aggregation,"Boolean aggregation(```any```, ```all```)",,,in regex match
128,Pandas - File I/O,Read Excel files,,,in regex match
129,Pandas - File I/O,Read Excel files (dynamic sheets),,,in regex match
130,Pandas - Joining,```concat```,,,in regex match
131,Pandas - Joining,```merge```,,,in regex match
132,Pandas - Joining,```merge```,,,in regex match
133,Pandas - Joining,```merge```,,,in regex match
134,Pandas - Joining,```merge```,,,in regex match
135,Pandas - Other,```assign```,,,in regex match
136,Pandas - Other,```assign```,,,in regex match
137,Pandas - Other,```assign```,,,in regex match
138,Pandas - Other,```astype```,,,in regex match
139,Pandas - Other,```astype```,,,in regex match
140,Pandas - Other,```astype```,,,in regex match
141,Pandas - Reshaping,```explode```,,,in regex match
142,Pandas - Reshaping,```extract```,,,in regex match
143,Pandas - Reshaping,```extract```,,,in regex match
144,Pandas - Reshaping,```extract```,,,in regex match
145,Pandas - Reshaping,```melt```,,,in regex match
146,Pandas - Reshaping,```melt```,,,in regex match
147,Pandas - Reshaping,"```pivot```, ```pivot_table```",,,in regex match
148,Pandas - Reshaping,"```transpose```, ```T```",,,in regex match
149,Pandas - Reshaping,"```transpose```, ```T```",,,in regex match
150,Pandas - Selection/slicing,```dropna```,,,in regex match
151,Pandas - Selection/slicing,slicing a DataFrame,,,in regex match
152,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",,,in regex match
153,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",,,in regex match
154,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",,,in regex match
155,String Functions,Count matches,,,in regex match
156,String Functions,Count matches,,,in regex match
157,String Functions,Count matches,,,in regex match
158,String Functions,Count matches,,,in regex match
159,String Functions,Count matches,,,in regex match
160,String Functions,```replace```,,,in regex match
161,String Functions,```replace```,,,in regex match
162,String Functions,```replace```,,,in regex match
163,String Functions,```replace```,,,in regex match
164,String Functions,String slicing,,,in regex match
165,String Functions,String slicing,,,in regex match
166,String Functions,String slicing,,,in regex match
167,String Functions,String slicing,,,in regex match
168,String Functions,String slicing,,,in regex match
169,numpy,"aggregate functions (e.g. ```sum```, ```max```)",,,in regex match
170,Other,list/dict comprehension,2020.0,8.0,both
171,Other,Loops,2020.0,8.0,in regex match
172,Pandas - Aggregation,"Boolean aggregation(```any```, ```all```)",2020.0,8.0,in regex match
173,Pandas - File I/O,Read Excel files,2020.0,8.0,in regex match
174,Pandas - File I/O,Read Excel files (dynamic sheets),2020.0,8.0,both
175,Pandas - Joining,```concat```,2020.0,8.0,both
176,Pandas - Joining,```merge```,2020.0,8.0,both
177,Pandas - Other,```assign```,2020.0,8.0,in regex match
178,Pandas - Other,```astype```,2020.0,8.0,both
179,Pandas - Reshaping,```explode```,2020.0,8.0,both
180,Pandas - Reshaping,```extract```,2020.0,8.0,both
181,Pandas - Reshaping,```melt```,2020.0,8.0,both
182,Pandas - Reshaping,"```pivot```, ```pivot_table```",2020.0,8.0,both
183,Pandas - Reshaping,"```transpose```, ```T```",2020.0,8.0,in regex match
184,Pandas - Selection/slicing,```dropna```,2020.0,8.0,both
