Category,Function/Method/Concept,year,week
Other,Loops,2019.0,4.0
Other,f strings / format,2019.0,4.0
Other,list/dict comprehension,2019.0,4.0
Pandas - Dates,"Dateparts (```dt.month```, ```dt.quarter```, etc.)",2019.0,4.0
Pandas - Dates,"```DateOffset```, ```offsets```",2019.0,4.0
Pandas - File I/O,Read Excel files,2019.0,4.0
Pandas - Reshaping,```extract```,2019.0,4.0
String Functions,String slicing,2019.0,4.0
String Functions,"```contains```, ```startswith```, ```endswith```",2019.0,4.0
String Functions,```match```,2019.0,4.0
numpy,```where```,2019.0,4.0
Pandas - Dates,```dt.strftime```,2019.0,25.0
Pandas - File I/O,Read Excel files,2019.0,25.0
Pandas - Joining,```concat```,2019.0,25.0
Pandas - Joining,```merge```,2019.0,25.0
Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2019.0,25.0
Pandas - Reshaping,```extract```,2019.0,25.0
Pandas - Reshaping,```stack```,2019.0,25.0
Pandas - Selection/slicing,```drop_duplicates```,2019.0,25.0
Pandas - Selection/slicing,```drop```,2019.0,25.0
Pandas - Selection/slicing,slicing a DataFrame,2019.0,25.0
String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2019.0,25.0
String Functions,"```contains```, ```startswith```, ```endswith```",2019.0,25.0
String Functions,```split```,2019.0,25.0
Other,Loops,2020.0,1.0
Other,list/dict comprehension,2020.0,1.0
Pandas - Joining,```concat```,2020.0,1.0
Pandas - Joining,```merge```,2020.0,1.0
Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2020.0,1.0
Pandas - Reshaping,```extract```,2020.0,1.0
Pandas - Selection/slicing,slicing a DataFrame,2020.0,1.0
String Functions,Count matches,2020.0,1.0
Other,```zip```,2020.0,2.0
Other,list/dict comprehension,2020.0,2.0
Pandas - Dates,```dt.strftime```,2020.0,2.0
Pandas - Dates,```dt.strptime```,2020.0,2.0
String Functions,"```ljust```, ```rjust```",2020.0,2.0
String Functions,```replace```,2020.0,2.0
Other,Loops,2020.0,3.0
Other,list/dict comprehension,2020.0,3.0
Pandas - Aggregation,"Cumulative aggregation(```cumcount```, ```cumsum```, etc.)",2020.0,3.0
Pandas - Aggregation,Named Aggregation,2020.0,3.0
Pandas - Aggregation,```rank```,2020.0,3.0
Pandas - Dates,"Dateparts (```dt.month```, ```dt.quarter```, etc.)",2020.0,3.0
Pandas - Dates,```dt.strptime```,2020.0,3.0
Pandas - File I/O,Read Excel files,2020.0,3.0
Pandas - File I/O,Write multiple tabs to Excel file,2020.0,3.0
Pandas - Joining,```concat```,2020.0,3.0
Pandas - Joining,```merge```,2020.0,3.0
Pandas - Other,```astype```,2020.0,3.0
Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2020.0,3.0
Pandas - Other,```sort_values```,2020.0,3.0
Pandas - Reshaping,```melt```,2020.0,3.0
Pandas - Selection/slicing,```drop```,2020.0,3.0
Pandas - Selection/slicing,slicing a DataFrame,2020.0,3.0
Rounding,Basic,2020.0,3.0
numpy,```where```,2020.0,3.0
Other,Function,2020.0,4.0
Other,Mapping values with dictionary,2020.0,4.0
Other,```zip```,2020.0,4.0
Other,list/dict comprehension,2020.0,4.0
Pandas - Aggregation,```transform```,2020.0,4.0
Pandas - Dates,"Dateparts (```dt.month```, ```dt.quarter```, etc.)",2020.0,4.0
Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2020.0,4.0
