Category,Function/Method/Concept,Weeks Used,Regex,May Overcount,May Undercount
Charts,Bokeh,2020:  W09,\n(?:.*from bokeh.*|.*import bokeh.*),,
Charts,matplotlib,2021:  W47  2022:  W22,\n(?:.*from matplotlib.*|.*import matplotlib.*),,
Charts,Seaborn,2021:  W01  W12,\n(?:.*from seaborn.*|.*import seaborn.*),,
Other,decimal module,2021:  W11  2022:  W06,\n(?:.*import decimal.*|.*from decimal.*),,
Other,f strings / format,2019:  W04  2020:  W08  2021:  W12  W17  W36  W41  W42  W46  W51  2022:  W13  W16  W27  W28,f'\S.*,,
Other,Function,2020:  W04  2021:  W08  W09  W10  W34  W35  W42  W51  2022:  W27,\ndef .*,,
Other,Function (recursive),2021:  W10,\ndef .*,1,
Other,"list methods (sort, reverse, append, union, etc.)",2021:  W31  W34  W15,.*sort\(.*|.*reverse\(.*|.*append\(.*.*union\(.*,,
Other,list/dict comprehension,2019:  W04  2020:  W01  W02  W03  W04  W06  W07  W08  2021:  W04  W07  W08  W10  W11  W12  W13  W14  W16  W20  W22  W24  W25  W26  W27  W28  W29  W30  W34  W37  W38  W41  W43  W45  W46  W47  W48  W50  W51  2022:  W12  W15  W16  W28,".*\[.{,50} for .{,20} in .{30}\].*|.*\{.{,50} for .{,20} in .{30}\}.*",,
Other,Loops,2020:  W01  2021:  W27  W33  W47  W51  2022:  W22  W27,\n\s*(?:for|while)\s,,
Other,Mapping values with dictionary,2020:  W04  W08  W09  2021:  W01  W14  W29  W30  W32  W34  W43  W47  W48  2022:  W02  W04  W05  W10  W16  W17  W19  W20  W22  W23,\.replace\((?:\{|[A-Za-z]+),1,
Other,sets,2022:  W28,set\(,,
Other,unpacking a sequence *,2021:  W41,[^A-Za-z\d]\*,1,
Other,user input,2022:  W13,\sinput\(,1,
Other,zip,2020:  W02  2021:  W07  W10  W11  W12  W24  W37  W43  2022:  W10  W15  W19  W20  W22,\szip\(,,
Pandas - Aggregation,"Boolean aggregation(any, all)",2022:  W14,(?:\s|')(?:any|all)(?:\(|'),1,
Pandas - Aggregation,"Cumulative aggregation(cumcount, cumsum, etc.)",2020:  W03  2021:  W49  W50  2022:  W13  W15,cummax|cummin|cumprod|cumsum|cumcount,,
Pandas - Aggregation,Named Aggregation,2020:  W03  W05  W06  W07  2021:  W02  W06  W07  W17  W18  W20  W22  W24  W25  W26  W28  W30  W32  W34  W36  W38  W46  W47  W49  W51  2022:  W03  W04  W06  W09  W19  W27,\.agg\(,,
Pandas - Aggregation,rank,2020:  W03  W05  W09  2021:  W04  W06  W08  W09  W13  W14  W16  W21  W25  W28  W47  2022:  W05  W06  W14  W24,(?:\s|')rank(?:\(|'),1,
Pandas - Aggregation,groupby with filter,2021:  W23  2022:  W06,\.groupby\(.*?\)\s*\.filter\(,,
Pandas - Aggregation,transform,2020:  W04  W09  2021:  W09  W17  W21  W33  W35  W42  W49  W52  2022:  W02  W04  W05  W09  W11  W14  W15  W17  W20,\.transform\(,,
Pandas - Dates,Date Calculations,2019:  W04  2020:  W04  2021:  W02  W08  W10  W18  W21  W33  2022:  W01  W02  W15,[manual],,
Pandas - Dates,DateOffset / offsets,2019:  W04  2020:  W09  2021:  W37  W50  W15,offsets|dateoffset,,
